,original position,computed position,offset
0,0.009338793852145866 -1.1371775304925347 -0.12057479106376601,-0.2735177925480383 20.062543179657276 1.6723775227410358,21.277284696041523
1,-1.8969204409979867 -0.5715475576677722 -0.646979003750821,3.9321665676232507 1.2291800177731074 1.1543736777188107,6.361269263131997
2,-1.1392575251198842 1.0325618385362527 -0.7032637655269739,-2.162544710541535 2.004599505668247 -1.075087958203245,1.4595297600360655
3,0.17750075850234293 1.2338063118573332 0.5620965535338455,1.2718518384446165 8.771615334234312 3.3227209098742057,8.10167982463009
4,-1.9597802692311221 -0.5867368121548364 -0.5089854639477089,3.288573235208199 0.9515946675058629 0.8695144936696654,5.640207476859932
5,-1.1252201469824936 -1.182006520107011 0.7911872118214308,56.813153043892726 51.731223426488185 -32.28662910683687,85.15167011748674
6,0.005183609427414471 -0.9037711998541664 -0.48537962666901985,0.6375661028998884 15.181232854533004 8.651190100876589,18.509569671767224
7,0.4506436092978814 1.2474498369999556 -0.42502532446175334,-12.384943937465904 -33.063241943197816 10.517692492514232,38.23243323839502
8,-1.2855710144895525 0.814913791030333 0.4443159647233125,-4.274201004162889 3.286330827943877 1.5339974331247856,4.028302010537313
9,1.674590047938664 0.8574850236223059 -0.5168124909753129,0.16070531534875063 0.0759908296282972 -0.03961707814086869,1.7692641467133772
10,-1.8522712779339139 -0.6923255826388459 0.44539011815475804,18.00457379703605 8.656521257631367 -3.282222351902423,22.261858150233437
11,0.23403768944232572 1.29377112887386 -0.5432435405523728,0.08342119875193578 0.5359734153683334 -0.23782612646918597,0.8307963039682792
12,-1.6017219590436356 0.619210956353418 0.6259692834234195,-2.3032402802283727 0.9156965116837504 0.8063575845585216,0.782669520719822
13,-0.2839093725044821 -1.334939965800099 0.025839507345461032,0.045572429275231134 0.16303765731161945 0.010169518536985315,1.5338646503510984
14,-0.7598880427770891 -1.2827892065116722 0.7479793331489119,3.0167349754646957 4.192109722174184 -2.6245687970863583,7.457310546838762
15,0.22311335253536901 -1.0474140158036047 -0.7697318417204001,-1.3991783426656685 12.460572945751483 7.099437974907865,15.716913682424861
16,0.7055357386743477 -0.6161536152956654 0.44424001593352125,-2.2596351943380926 2.1192138059683168 -1.4003935911305518,4.435893003173594
17,-0.42594801561866524 -1.3689769447483764 -0.4830878066501572,-2.957200223290344 -9.673021735348383 -3.46391865905802,9.178766267522036
18,-2.094520038411871 -0.26371938459213307 -0.3957731709207103,-12.312235264618977 -1.1241354874526788 -2.1214720948048513,10.39807949045501
19,0.7377866294600861 0.5570740025302117 0.7484429164091947,-3.2520862029679782 -1.8991571332550599 -3.0131017900541552,6.008441993567967
