,original position,computed position,offset
0,-1.8969204409979867 -0.5715475576677722 -0.646979003750821,23.830909749355442 7.449449957296067 6.99608586199248,28.01203469904814
1,-1.1392575251198842 1.0325618385362527 -0.7032637655269739,-0.7669262845846694 0.710912492799943 -0.38126990363129304,0.5880211742697562
2,0.17750075850234293 1.2338063118573332 0.5620965535338455,3.7300250146009897 25.72496546072834 9.744713759682355,26.39616949104835
3,-1.9597802692311221 -0.5867368121548364 -0.5089854639477089,17.361879957841754 5.023902830831486 4.590564108188564,20.755992796601532
4,0.4506436092978814 1.2474498369999556 -0.42502532446175334,0.5830767503750285 1.5566003178087613 -0.4951675187989454,0.3435585598792609
5,1.674590047938664 0.8574850236223059 -0.5168124909753129,1.4260404429177111 0.6743149478637566 -0.3515475237176051,0.35020093119829876
6,-1.8522712779339139 -0.6923255826388459 0.44539011815475804,77.12313986697535 37.08047228663936 -14.059499345769302,88.73720551573315
7,-1.6017219590436356 0.619210956353418 0.6259692834234195,-1.9941140962332153 0.7927975806497694 0.6981334252339844,0.4350994930197735
8,-1.2855710144895525 0.814913791030333 0.4443159647233125,-1.6869072356195611 1.2970225889935434 0.6054257548579759,0.6476542441316062
9,0.23403768944232572 1.29377112887386 -0.5432435405523728,0.13033520808862195 0.8373915463589535 -0.37157363051622383,0.4985048505152333
10,-0.7598880427770891 -1.2827892065116722 0.7479793331489119,-0.9937070810447998 -1.3808734109298249 0.864528246453669,0.279061826492444
11,0.7055357386743477 -0.6161536152956654 0.44424001593352125,1.8364583154509408 -1.7223345723861314 1.138132589623276,1.7274574056440235
12,0.005183609427414471 -0.9037711998541664 -0.48537962666901985,1.620356676875275 38.582684849704755 21.986761183057727,45.46191931676162
13,-2.094520038411871 -0.26371938459213307 -0.3957731709207103,-2.815625750981817 -0.2570731275059185 -0.4851492301553847,0.7266537699610355
14,0.7377866294600861 0.5570740025302117 0.7484429164091947,1.0438279874837335 0.6095758982378131 0.9671207284497781,0.3797864496696886
