,original position,computed position,offset
0,0.009338793852145866 -1.1371775304925347 -0.12057479106376601,-0.7851108814979929 57.58792074963763 4.800425518372957,58.936275436636535
1,-1.1392575251198842 1.0325618385362527 -0.7032637655269739,-1.1670862346481943 1.0818460666471623 -0.5802055101745573,0.1354500144882967
2,-0.2839093725044821 -1.334939965800099 0.025839507345461032,-0.4163801044751606 -1.4896207611581982 -0.09291550304064117,0.2357485859411774
3,-0.42594801561866524 -1.3689769447483764 -0.4830878066501572,-0.43968757893228627 -1.4382210153638058 -0.5150283693421924,0.07748365285998976
4,-1.1252201469824936 -1.182006520107011 0.7911872118214308,56.564281901311546 51.50461377728729 -32.14519688832042,84.78657914159528
5,-1.8969204409979867 -0.5715475576677722 -0.646979003750821,17.913991263652623 5.599844187972243 5.2590447586620845,21.574044945948412
6,0.17750075850234293 1.2338063118573332 0.5620965535338455,2.929075905743966 20.20103785153182 7.652229186165554,20.435190696904428
7,0.4506436092978814 1.2474498369999556 -0.42502532446175334,0.7052376890512206 1.8827250618409512 -0.5989105146558948,0.7061365421156732
8,1.674590047938664 0.8574850236223059 -0.5168124909753129,1.4761865311829845 0.6980269379844464 -0.3639095385828443,0.29693458772370335
9,-1.8522712779339139 -0.6923255826388459 0.44539011815475804,59.993317840222254 28.844527899083747 -10.936743685228471,69.47557539805385
10,-1.6017219590436356 0.619210956353418 0.6259692834234195,-2.1685353281330446 0.8621420233400561 0.759197780723861,0.6309062776504025
11,-1.2855710144895525 0.814913791030333 0.4443159647233125,-2.0062178423775867 1.5425328702499295 0.7200253374838892,1.0605550590221566
12,0.23403768944232572 1.29377112887386 -0.5432435405523728,0.13194572216804654 0.847738948992363 -0.3761650572862058,0.4871167158313246
13,-0.7598880427770891 -1.2827892065116722 0.7479793331489119,-1.0655624014495766 -1.4807248694466284 0.9270425983516076,0.4058065957526912
14,0.22311335253536901 -1.0474140158036047 -0.7697318417204001,-3.2833674708248335 29.24047537783853 16.659823124149735,35.12037924046921
15,0.7055357386743477 -0.6161536152956654 0.44424001593352125,1.9199834060420586 -1.8006691308002392 1.1898966982083623,1.8530957965164845
16,0.005183609427414471 -0.9037711998541664 -0.48537962666901985,1.2450245704250487 29.645565890766058 16.893847069376857,35.16868952402784
17,-2.094520038411871 -0.26371938459213307 -0.3957731709207103,-3.252738423802129 -0.2969825230764076 -0.5604663693866868,1.1703418792211073
18,0.7377866294600861 0.5570740025302117 0.7484429164091947,1.0542964934082897 0.6156893086643263 0.9768199405775768,0.39467748004885217
19,-1.9597802692311221 -0.5867368121548364 -0.5089854639477089,12.636186672237178 3.6564573737243466 3.3410681989966657,15.680237914746888
