,original position,computed position,offset
0,1.8954517470353691 0.7647760898959919 -0.35394938149873845,-105.7914203899797 -42.394890825316594 20.103137753482606,117.80369982701795
1,-0.5510511273848124 -0.8777986506958627 0.34936672453716466,-0.6595244945462407 -0.76737001236687 0.3969010718150698,0.16192735938583697
2,0.616292234674547 -1.269709319373758 -0.31496542604230804,0.8347869298325249 -2.191843829616874 -0.7714416945324023,1.0518757390909486
3,-0.42466636185250195 0.5014684351809313 0.329518058317401,-0.817123267100433 0.8749921246647128 0.5864871940355108,0.5996461504871621
4,-1.972890057184716 -0.011123624735071447 0.35749937812038823,-8.003189862251965 0.1832471458243206 1.4028085580293235,6.123313401831058
5,-0.46861667123274175 0.4114924958910091 -0.12443959267786486,-0.7617966816363833 0.5545610771436172 -0.16639871256550387,0.32891291428531466
6,-1.9766040442301245 0.5572043820851151 -0.14305942043786546,-2.448074634189051 0.8638961704420034 0.04405448191279648,0.5927528850158873
7,0.7905454595907968 -1.1388434976964086 0.006298667265476565,0.8866059189279422 -1.1731063595404916 0.011739329464352598,0.10213303263377796
8,-1.8455579105049413 -0.5374418301289279 0.1994789929009001,22.971332911394963 5.3892472395466005 0.9236112542573804,25.52504810821418
9,-1.0095022644919431 -0.30896253471014323 -0.6547113409493437,-11.452794429498052 -3.694338432423966 -7.597539031344984,12.98945639936576
10,-0.596179861317945 0.24664256206754875 0.148488275659158,-10.480063079815302 4.336285591351898 2.612813706625011,10.976758511216907
11,1.8102112454908008 -0.5636542350443594 0.7304326144863306,7.716315801093939 -2.4758151577335994 3.4462151806785104,6.775980029693808
12,0.743174757587179 0.018881740560528826 -0.09660674186772944,21.01300296044957 1.7951702610778393 -3.303634188977321,20.598693194671146
13,2.0964247867642567 -0.397254127654326 -0.24144081724367472,8.785488376861823 -1.781834461976313 -1.127360958131039,6.8880685907291905
14,1.5164379407462554 -1.1518059022193208 0.11196815728999165,0.5491950420548545 -0.4173002231560281 0.03747582186621366,1.2168017610449373
15,1.0318806123983246 -0.3317443300293612 -0.44293833788802345,-46.772378070929946 13.652865559313769 19.521795556534084,53.660106797273215
16,0.7693856735094857 -0.29677436318082795 -0.7829158905833374,1.9307143721036646 -1.0051691908377247 -2.2583299848194613,2.0068269301312696
17,-2.078388286135661 -1.350721445160028 -0.015917180451468282,-9.965785611285062 -6.279893247535611 0.021414950938046576,9.301030314440576
18,0.34623382425912297 -0.7983790980634776 -0.17204792369104127,0.5825686484294423 -1.828225565602855 -0.24583710310887996,1.0591896614006897
19,0.24710767449556714 0.33720566148722986 0.3486418586820562,0.7225798879755 1.0060716536597054 1.0190710418417426,1.0596843071917887
