,original position,computed position,offset
0,1.8954517470353691 0.7647760898959919 -0.35394938149873845,-69.25643138822566 -27.753846548533133 13.160533958044748,77.83664670848664
1,-0.5510511273848124 -0.8777986506958627 0.34936672453716466,-0.3049323386191023 -0.3547949081378554 0.1835079258311187,0.6013455861826836
2,0.616292234674547 -1.269709319373758 -0.31496542604230804,-0.2617806454191867 0.6873398131548135 0.24191622734016532,2.2161160767795844
3,-0.42466636185250195 0.5014684351809313 0.329518058317401,0.3035063908478441 -0.32500078319839737 -0.21784058624574515,1.229995289617705
4,-1.972890057184716 -0.011123624735071447 0.35749937812038823,-19.394024773607907 0.4440603992880666 3.3994075356591043,17.690571854589432
5,-0.46861667123274175 0.4114924958910091 -0.12443959267786486,0.10773221221223753 -0.07842524532812256 0.02353187122769127,0.7707742748301111
6,-1.9766040442301245 0.5572043820851151 -0.14305942043786546,34.17398912771418 -12.059590799991545 -0.6149801827482703,38.291926258100396
7,0.7905454595907968 -1.1388434976964086 0.006298667265476565,-0.5700989193461509 0.7543223585297169 -0.007548538644506599,2.3314420066183557
8,-1.8455579105049413 -0.5374418301289279 0.1994789929009001,20.523849378467 4.815049219582123 0.8252049778631826,23.009369306988944
9,-1.0095022644919431 -0.30896253471014323 -0.6547113409493437,-22.899520475893368 -7.3867193809293 -15.191052427045847,27.213466362097744
10,-0.596179861317945 0.24664256206754875 0.148488275659158,-68.51009670819327 28.347095142016954 17.08044296662069,75.42298473501997
11,1.8102112454908008 -0.5636542350443594 0.7304326144863306,2.9186271015238088 -0.9364548320715861 1.3034999192989414,1.3022949477343573
12,0.743174757587179 0.018881740560528826 -0.09660674186772944,18.610616001838096 1.5899309798662087 -2.9259343568038676,18.15815924265788
13,2.0964247867642567 -0.397254127654326 -0.24144081724367472,-3.7895027886589485 0.7685704394500337 0.4862720558499916,6.0442415876648745
14,1.5164379407462554 -1.1518059022193208 0.11196815728999165,2.5241211528346197 -1.9179275843599668 0.17224029251692313,1.267280796846362
15,1.0318806123983246 -0.3317443300293612 -0.44293833788802345,-43.67467087993977 12.748644273909552 18.228878476611207,50.183752903916506
16,0.7693856735094857 -0.29677436318082795 -0.7829158905833374,13.284765874043092 -6.916319449951014 -15.539007503201518,20.44982538799959
17,-2.078388286135661 -1.350721445160028 -0.015917180451468282,-11.788544671578505 -7.428496354315185 0.02533178171994322,11.455487172224174
18,0.34623382425912297 -0.7983790980634776 -0.17204792369104127,-0.7472411776698334 2.3450033371520056 0.31532696951210637,3.3636401413334234
19,0.24710767449556714 0.33720566148722986 0.3486418586820562,-8.851252119220181 -12.323888340557792 -12.483124522064577,20.19251546277935
