,original position,computed position,offset
0,1.8954517470353691 0.7647760898959919 -0.35394938149873845,-46.07492550510869 -18.46408176932552 8.75544132970522,52.4774910548564
1,-0.5510511273848124 -0.8777986506958627 0.34936672453716466,-0.7077683351758529 -0.823502691117553 0.4259341588538502,0.18267705505122847
2,0.616292234674547 -1.269709319373758 -0.31496542604230804,-0.4015128395737495 1.054225226200211 0.3710452742706823,2.628157077159124
3,-0.42466636185250195 0.5014684351809313 0.329518058317401,1.3874863339951573 -1.485748435035639 -0.9958631696720733,2.99826010910464
4,-1.972890057184716 -0.011123624735071447 0.35749937812038823,-27.463939448256607 0.6288353273639412 4.813911697500666,25.885570445303355
5,-0.46861667123274175 0.4114924958910091 -0.12443959267786486,1.833941601129023 -1.3350447097721097 0.4005865721187903,2.937314978361737
6,-1.9766040442301245 0.5572043820851151 -0.14305942043786546,-3.0430901677915654 1.0738700142349586 0.05476212158065635,1.2014447093730498
7,0.7905454595907968 -1.1388434976964086 0.006298667265476565,-0.7224731176626278 0.9559352028146768 -0.009566087679219383,2.584100367570568
8,-1.8455579105049413 -0.5374418301289279 0.1994789929009001,15.431662548576059 3.620383941685591 0.6204627853657044,17.775463124598755
9,-1.0095022644919431 -0.30896253471014323 -0.6547113409493437,-14.9365512363867 -4.818097069683588 -9.90858883486532,17.318465174271353
10,-0.596179861317945 0.24664256206754875 0.148488275659158,-118.44095321348046 49.00674689971916 29.528843827089577,130.87453409189158
11,1.8102112454908008 -0.5636542350443594 0.7304326144863306,-7.140158252982179 2.2909523776675536 -3.18889511499589,10.179342951469033
12,0.743174757587179 0.018881740560528826 -0.09660674186772944,0.9919018891591347 0.08473956705173886 -0.15594539244605146,0.2640521061128191
13,2.0964247867642567 -0.397254127654326 -0.24144081724367472,-4.1260304587867145 0.836823514785208 0.5294555580480058,6.390319094684691
14,1.5164379407462554 -1.1518059022193208 0.11196815728999165,5.624764943439107 -4.27391998535722 0.38382117994173937,5.1671898721750225
15,1.0318806123983246 -0.3317443300293612 -0.44293833788802345,-27.0349185353416 7.891497575989729 11.283799847297333,31.510050941062715
16,0.7693856735094857 -0.29677436318082795 -0.7829158905833374,9.334871431109526 -4.85992402530205 -10.918870425323217,14.033084316460158
17,-2.078388286135661 -1.350721445160028 -0.015917180451468282,-9.433475298149732 -5.944460390414276 0.020271097389089974,8.671854014159646
18,0.34623382425912297 -0.7983790980634776 -0.17204792369104127,-0.4260797775336668 1.3371298719446516 0.1798006440692271,2.297969598392086
19,0.24710767449556714 0.33720566148722986 0.3486418586820562,-7.481230286435461 -10.416362053434852 -10.550951208476329,17.15131351434721
