,original position,computed position,offset
0,1.8954517470353691 0.7647760898959919 -0.35394938149873845,-3105.01816543364 -1244.3060661150955 590.034689738324,3398.7751281797846
1,0.616292234674547 -1.269709319373758 -0.31496542604230804,2.2960547873312747 -6.028596445663063 -2.1218257408910643,5.360350092246333
2,-0.42466636185250195 0.5014684351809313 0.329518058317401,-2.9843015415966607 3.1956504626136066 2.141971361919071,4.134650653690317
3,-0.5510511273848124 -0.8777986506958627 0.34936672453716466,-2.0876952401353646 -2.429075395210521 1.2563725612693672,2.364401458126181
4,-1.972890057184716 -0.011123624735071447 0.35749937812038823,-50.28160589963715 1.1512860405862184 8.813419184287751,49.05696487090473
5,-0.46861667123274175 0.4114924958910091 -0.12443959267786486,-3.671135400614422 2.672456905078184 -0.8018835196337379,3.9783183062471204
6,0.7905454595907968 -1.1388434976964086 0.006298667265476565,5.9276451031749255 -7.843121751365977 0.07848648122952853,8.446440121804201
7,-1.8455579105049413 -0.5374418301289279 0.1994789929009001,-3.2491807117291316 -0.7622821996884697 -0.13064021509088802,1.459345350280474
8,-0.596179861317945 0.24664256206754875 0.148488275659158,-4.4791430455305115 1.8533136014559488 1.1167076241970935,4.312336214355604
9,1.8102112454908008 -0.5636542350443594 0.7304326144863306,38.67831196262205 -12.410112999656178 17.27427820278041,42.11050062157299
10,-1.0095022644919431 -0.30896253471014323 -0.6547113409493437,-3.0929530984550198 -0.9976967256023609 -2.051798976423373,2.601341197236497
11,0.743174757587179 0.018881740560528826 -0.09660674186772944,360.4169718520977 30.790926488441936 -56.664239411157034,365.3930159706893
12,2.0964247867642567 -0.397254127654326 -0.24144081724367472,63.78560757617123 -12.93671892579716 -8.18502063714857,63.44993231677973
13,1.5164379407462554 -1.1518059022193208 0.11196815728999165,3.3308799248837055 -2.5309349675831023 0.22729167811791884,2.281993910418688
14,1.0318806123983246 -0.3317443300293612 -0.44293833788802345,33.090306541213884 -9.659066422463226 -13.811189976720748,35.964590395672694
15,0.7693856735094857 -0.29677436318082795 -0.7829158905833374,8.17131740863865 -4.254154123673003 -9.557877325634324,12.142874295935762
16,-2.078388286135661 -1.350721445160028 -0.015917180451468282,-3.6222882295255125 -2.2825680062258282 0.007783744076424084,1.8034763049158207
17,0.24710767449556714 0.33720566148722986 0.3486418586820562,6.725317953187811 9.363880544071245 9.484870652121522,14.384670466051675
18,0.34623382425912297 -0.7983790980634776 -0.17204792369104127,1.853090623918323 -5.815396456983807 -0.7819824015769742,5.273812725315629
19,-1.9766040442301245 0.5572043820851151 -0.14305942043786546,-4.803091822416969 1.6949534845541363 0.08643434267119998,3.055515270410971
