,original position,computed position,offset
0,1.8954517470353691 0.7647760898959919 -0.35394938149873845,-155.48578450655958 -62.309427690306876 29.546367116739663,172.16630806842335
1,0.616292234674547 -1.269709319373758 -0.31496542604230804,0.8419150191298698 -2.210559573700791 -0.7780288907255982,1.0726288334074876
2,-0.42466636185250195 0.5014684351809313 0.329518058317401,-0.801422448304098 0.858179370272918 0.5752179895829216,0.5740699400912781
3,-0.5510511273848124 -0.8777986506958627 0.34936672453716466,-0.6749892661499717 -0.7853635851226024 0.40620775333433456,0.16472949384620078
4,-1.972890057184716 -0.011123624735071447 0.35749937812038823,-9.059060076749994 0.20742315645231704 1.5878827345214095,7.195513285753963
5,-0.46861667123274175 0.4114924958910091 -0.12443959267786486,-1.1365971743545544 0.827402597678039 -0.2482661201830504,0.7965627246070205
6,0.7905454595907968 -1.1388434976964086 0.006298667265476565,1.0020928439759123 -1.3259120687346808 0.013268463246363023,0.2824810155860037
7,-1.8455579105049413 -0.5374418301289279 0.1994789929009001,-4.976887772151327 -1.1676152529353163 -0.20010634886818887,3.2190081843025213
8,-0.596179861317945 0.24664256206754875 0.148488275659158,-1.5572655324821496 0.6443423134940038 0.3882462058802576,1.0673961891939279
9,1.8102112454908008 -0.5636542350443594 0.7304326144863306,9.095338363044133 -2.9182808433978464 4.062106055286982,8.349694096181825
10,-1.0095022644919431 -0.30896253471014323 -0.6547113409493437,-1.656896829993012 -0.5344667343228386 -1.0991499423372952,0.8170052251283089
11,0.743174757587179 0.018881740560528826 -0.09660674186772944,32.24313948631733 2.754576546653811 -5.06922014751782,32.00716619860903
12,2.0964247867642567 -0.397254127654326 -0.24144081724367472,10.961267803622182 -2.223116562408104 -1.4065587299583284,9.125607656189711
13,1.5164379407462554 -1.1518059022193208 0.11196815728999165,0.6118183813451199 -0.46488392559228037 0.04174909625545157,1.138037374499132
14,1.0318806123983246 -0.3317443300293612 -0.44293833788802345,-73.68883489385169 21.509784140172208 30.75615200525909,83.86668545924795
15,0.7693856735094857 -0.29677436318082795 -0.7829158905833374,2.0592117271974746 -1.0720675287330925 -2.408631569647963,2.215328916996512
16,0.34623382425912297 -0.7983790980634776 -0.17204792369104127,0.37028715131760076 -1.1620406255608544 -0.1562568134137818,0.36479806508271945
17,-1.9766040442301245 0.5572043820851151 -0.14305942043786546,-2.6491529115283514 0.9348542823093895 0.04767299877024308,0.7945566573759923
