,original position,computed position,offset
0,1.2658794824291952 -0.7181066713765081 -1.5069843126610412,1.6740269465702615 -1.0130033439332904 -1.888833255112183,0.6319470031742381
1,0.7395320074940295 0.5448604508659044 -0.8330255530182722,6.730122888227442 6.3544929134889285 -9.424987934503893,11.977513348602606
2,1.6439291778349867 0.4527629726678185 1.1064063188117572,234.10037813291063 46.75805916310368 159.52294353178223,285.0894252311652
3,0.25727156068198864 -0.6239820187495739 0.07844769221190728,0.5066093007136354 -1.375432282365822 0.13711591998347122,0.793907279373904
4,-0.20793392988785175 0.8493016269592041 -0.7109856449100423,0.8085142005927688 -4.104847284802006 3.5896169146563657,6.638670094018189
5,1.0150835990396483 -0.6493055180669087 1.050451123444121,-0.1352368286860568 0.08392004923968928 -0.1396976974130943,1.8103345090847027
6,-0.4039390114582244 0.5042712525648071 -0.7883580650458122,0.360849049482718 -0.3352662229925304 0.6408719696522953,1.82549238374367
7,0.9439064259395744 -0.46286590305009806 0.5869241857691896,6.493121644391056 -3.1200744638497464 4.438924483665162,7.258956755021422
8,-0.5937674575510783 -0.2807776434258147 -0.8187581971362885,1.5450774997248156 0.6741901341062252 2.0228209448419294,3.682552542397008
9,-1.7204919730454764 -0.7593095985225565 -1.0690663093171513,2.992373878487219 1.265788274860028 1.7274804383496827,5.842328272461897
10,1.5353050016342764 -0.3321977305364354 1.0160137756701761,13.206714384319685 -2.790351866015549 9.871634100930043,14.85551514008066
11,1.0340166230035188 -0.8888064612085423 -0.41304841686244664,-5.033033586168567 5.012490596899092 2.0785538899803346,8.82283895716731
12,-0.20597116372886903 -0.39001927547420523 1.488674438755067,-0.604000621378916 -0.8351651965029814 3.639533243838461,2.2322132379256496
13,-1.9211531752873838 0.4368863195232663 -1.5247645300058128,-26.07281168845666 5.943365862806047 -20.700456879577597,31.3262047331425
14,-0.9326674379030886 -0.40086907791497434 1.397603048066808,1.1833017771017051 0.5484824197917337 -1.709937214961499,3.8775508341462155
15,-0.8707885701498173 -0.5900947564097294 -1.3882465621104876,46.239157341774074 33.56645905130896 73.60453691965425,94.92067607316554
16,1.376450130605022 0.20401541774190524 1.038315849215353,7.625917576292459 1.6343357373884688 5.931778987823888,8.065211780258556
17,-1.9780914047254883 -0.8136071243425846 1.139495795583941,-7.6605624481099435 -5.687284508521595 4.731494145680512,8.303352368234005
18,0.2823315760108849 0.8507047353318556 -0.6834497451105698,0.3696753743839001 0.8592662774362565 -0.6279610727607948,0.10383271101426582
19,-2.0642332439737663 0.7443887083082391 0.9755175131396898,-1.1611900807842674 0.4276574556470764 0.4045005174691726,1.1143904389127666
