,original position,computed position,offset
0,1.2658794824291952 -0.7181066713765081 -1.5069843126610412,1.637317361271907 -0.9907892853496902 -1.8474132017283535,0.5728994102929632
1,0.7395320074940295 0.5448604508659044 -0.8330255530182722,6.385614790581396 6.029212929528944 -8.942532455223922,11.301348375331772
2,1.6439291778349867 0.4527629726678185 1.1064063188117572,226.46377876665346 45.232762331803215 154.3191381419993,275.7233292713315
3,0.25727156068198864 -0.6239820187495739 0.07844769221190728,0.43201954447986873 -1.172922856437 0.11692789139234804,0.5773678436242909
4,-0.20793392988785175 0.8493016269592041 -0.7109856449100423,0.7520446581015584 -3.8181499726223183 3.3389051464020283,6.253661227264279
5,1.0150835990396483 -0.6493055180669087 1.050451123444121,-0.14079759953251827 0.08737073769326865 -0.14544189365490248,1.8190418794958152
6,-0.4039390114582244 0.5042712525648071 -0.7883580650458122,0.3288347916183504 -0.3055216543661704 0.5840142876827703,1.753889356009898
7,0.9439064259395744 -0.46286590305009806 0.5869241857691896,6.22267142695435 -2.990117739891588 4.254035279744367,6.906523406049749
8,-0.5937674575510783 -0.2807776434258147 -0.8187581971362885,1.465937176469766 0.6396574811111263 1.919210152832864,3.54768300209039
9,-1.7204919730454764 -0.7593095985225565 -1.0690663093171513,2.851963036129763 1.2063938257916724 1.646422056825737,5.669674755217428
10,1.5353050016342764 -0.3321977305364354 1.0160137756701761,12.292399925171164 -2.597172928168662 9.18821068983393,13.697810271855127
11,1.0340166230035188 -0.8888064612085423 -0.41304841686244664,-4.6388419508779855 4.619907906670222 1.9157597136842297,8.24321573750409
12,-0.20597116372886903 -0.39001927547420523 1.488674438755067,-0.5913509176615125 -0.8176741676581253 3.563309783837558,2.1530253311597543
13,-1.9211531752873838 0.4368863195232663 -1.5247645300058128,-24.750904077149233 5.642033552938353 -19.650930966008026,29.61163611873285
14,-0.9326674379030886 -0.40086907791497434 1.397603048066808,1.1079637174958796 0.5135618255404284 -1.6010695074029768,3.740641186281689
15,-0.8707885701498173 -0.5900947564097294 -1.3882465621104876,45.67041225630317 33.15358910039303 72.69919562348849,93.7745629912534
16,1.376450130605022 0.20401541774190524 1.038315849215353,7.4144327283044165 1.5890117168328903 5.767276635813353,7.793492074788941
17,-1.9780914047254883 -0.8136071243425846 1.139495795583941,-7.207459616160431 -5.350896059975037 4.451638272005163,7.674866159112658
18,0.2823315760108849 0.8507047353318556 -0.6834497451105698,0.38794990724242373 0.9017432475276513 -0.6590037011132139,0.11982391533586315
19,-2.0642332439737663 0.7443887083082391 0.9755175131396898,-1.0889305681330108 0.4010448279316702 0.37932891917256784,1.1935414401145321
