,original position,computed position,offset
0,1.2658794824291952 -0.7181066713765081 -1.5069843126610412,1.0537285721064162 -0.6376424043405018 -1.1889399826772369,0.3906849150597864
1,0.7395320074940295 0.5448604508659044 -0.8330255530182722,-2.965087099438068 -2.799595976800819 4.152362534990392,7.05433809170402
2,1.6439291778349867 0.4527629726678185 1.1064063188117572,3.8433357972449484 0.7676490060568157 2.618963045884084,2.687818919521842
3,0.25727156068198864 -0.6239820187495739 0.07844769221190728,0.40099856824439534 -1.0887016388543984 0.10853193480544635,0.48736725337843884
4,-0.20793392988785175 0.8493016269592041 -0.7109856449100423,-0.1678450228672202 0.8521534759425494 -0.7451932602832839,0.05277702585648687
5,1.0150835990396483 -0.6493055180669087 1.050451123444121,0.1366757215193112 -0.08481294179411007 0.14118405299820044,1.384564506750838
6,-0.4039390114582244 0.5042712525648071 -0.7883580650458122,-0.5430636688769 0.5045625182325565 -0.964487182711587,0.22444870511383533
7,0.9439064259395744 -0.46286590305009806 0.5869241857691896,2.7230421799757605 -1.308476082080993 1.8615666338530343,2.346293668027885
8,-0.5937674575510783 -0.2807776434258147 -0.8187581971362885,-0.768979262983088 -0.3355418951656534 -1.006750379568883,0.26275342183716427
9,-1.7204919730454764 -0.7593095985225565 -1.0690663093171513,-1.91586081352551 -0.8104181671477404 -1.1060155623465036,0.2052956816809721
10,1.5353050016342764 -0.3321977305364354 1.0160137756701761,4.666602130049954 -0.985972860668312 3.488149087040847,4.042758541507146
11,-0.20597116372886903 -0.39001927547420523 1.488674438755067,-0.31224284207244324 -0.4317451759581655 1.8814851568841924,0.40906598571169006
12,-1.9211531752873838 0.4368863195232663 -1.5247645300058128,-1.6022721630895727 0.3652421453742595 -1.2721207907188516,0.41309423456481675
13,-0.8707885701498173 -0.5900947564097294 -1.3882465621104876,-0.8629679124785256 -0.626455557628304 -1.3736918496375334,0.03993883081461691
14,1.376450130605022 0.20401541774190524 1.038315849215353,3.5643158134177697 0.7638803665171043 2.7724838927880255,2.8473748980851497
15,-0.9326674379030886 -0.40086907791497434 1.397603048066808,-2.361488472475996 -1.0945939039036818 3.4124828508917404,2.5656430583506538
16,-1.9780914047254883 -0.8136071243425846 1.139495795583941,-1.7752728747000988 -1.3179818044785374 1.0964851824556747,0.5453247536336252
17,0.2823315760108849 0.8507047353318556 -0.6834497451105698,0.5092007332004288 1.183576318044301 -0.8649703519041068,0.4418402830798435
18,-2.0642332439737663 0.7443887083082391 0.9755175131396898,-2.2183156178735297 0.8169887330773842 0.772750155369691,0.26481454438926433
