,original position,computed position,offset
0,1.2658794824291952 -0.7181066713765081 -1.5069843126610412,1.1628679547951895 -0.7036858810270955 -1.3120838161067532,0.22091975370460035
1,0.7395320074940295 0.5448604508659044 -0.8330255530182722,-1.3703276018980004 -1.2938451763861532 1.9190319892669745,3.925069002078993
2,1.6439291778349867 0.4527629726678185 1.1064063188117572,2.0692575494946297 0.4133033346406492 1.4100534901030146,0.5240829050876024
3,0.25727156068198864 -0.6239820187495739 0.07844769221190728,0.298698119253241 -0.8109583367777405 0.08084389165585333,0.19152557278390445
4,-0.20793392988785175 0.8493016269592041 -0.7109856449100423,-0.17357758839418075 0.881257857808745 -0.7706445314729141,0.0758995496486013
5,1.0150835990396483 -0.6493055180669087 1.050451123444121,0.38165184106435585 -0.23683076278644477 0.3942408582644838,1.000991072828563
6,-0.4039390114582244 0.5042712525648071 -0.7883580650458122,-0.31829951137012785 0.2957332854566427 -0.5653035114920167,0.31713647151033886
7,0.9439064259395744 -0.46286590305009806 0.5869241857691896,1.4317655524481132 -0.6879919063694093 0.9788048821047971,0.6650253565456596
8,-0.5937674575510783 -0.2807776434258147 -0.8187581971362885,-0.8057596270595282 -0.35159090150584477 -1.054903362720851,0.3251457160747605
9,-1.7204919730454764 -0.7593095985225565 -1.0690663093171513,-1.7233990718001826 -0.7290059419620905 -0.9949084923538684,0.08016323746496314
10,1.5353050016342764 -0.3321977305364354 1.0160137756701761,2.6409193364492967 -0.5579808863896651 1.9740102360698837,1.4802426520519776
11,-0.20597116372886903 -0.39001927547420523 1.488674438755067,-0.25108302837111246 -0.34717813079296866 1.5129537890773403,0.06678271379009999
12,-1.9211531752873838 0.4368863195232663 -1.5247645300058128,-1.8233768009287936 0.41564352794641674 -1.4476663772921547,0.12631548095363127
13,-0.8707885701498173 -0.5900947564097294 -1.3882465621104876,-0.8480709883604017 -0.615641411736642 -1.349978588750506,0.05131430507988111
14,1.376450130605022 0.20401541774190524 1.038315849215353,1.7912385407353113 0.383886284112523 1.393305268751644,0.5748220957218351
15,-0.9326674379030886 -0.40086907791497434 1.397603048066808,-2.0764776722253258 -0.9624860879489441 3.000626312310127,2.0477790661604813
16,-1.9780914047254883 -0.8136071243425846 1.139495795583941,-2.1230198541656002 -1.5761529273687744 1.3112687324448868,0.7949756593807172
17,0.2823315760108849 0.8507047353318556 -0.6834497451105698,0.5011798445526162 1.1649327198830146 -0.8513454090791496,0.41811809922346993
18,-2.0642332439737663 0.7443887083082391 0.9755175131396898,-2.012147190218046 0.7410584726790583 0.7009313919712616,0.2795023889048399
