,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.7914824905780093 -10.639712943925101 -0.14644241554658222,10.040181592051159
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.140066937417525 -1.140729386246014 -0.3540222600925387,4.043283164674427
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.389041128784656 -5.303434935986854 -19.646097408626606,18.79632713350111
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,0.46643915916717443 0.03204675800633988 -0.27316585263084486,2.666237757579192
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.159673810997952 -1.7244366963242836 4.239535729580876,5.810535425088279
5,-1.759033352229458 0.5444320590011676 1.033993487392955,2.282171035308663 0.03524426080737687 -1.311029933933463,4.699972336328828
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,8.704938777900415 -3.705797615011925 4.513906627255808,11.774982882424649
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-1.8371445240757625 -0.0872436683291764 1.3943758673854545,3.898924969867296
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.066213174565876 -0.28400922243995624 4.894123842170737,7.179708523106292
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,5.204107846522065 -15.833244236425532 -33.19902329515387,35.75092146291423
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.342049816964218 0.50030633858117 1.689186140488298,3.3673762616003318
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.1596050438984242 -0.2478758160839409 -0.7231941154932338,3.4032117209555706
12,1.634958907181415 0.6915897345533922 -0.959767603724756,-0.806934999630739 -0.2887243254627063 0.4388894897663752,2.9799501964906447
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,2.2632398542535563 3.195018461417681 37.54023198398791,39.249216463340254
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-1.4075597411363179 0.886072274519931 0.5460701536055474,3.4039370563880444
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.205429453650045 3.1623036699516267 10.461608282172769,13.26456661278782
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-10.581615099924397 -5.722925502310471 5.680829085235712,15.01821298166722
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-0.8735914658216655 -0.27946083718404113 0.15469893993317324,1.1956386980914595
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,13.549057108519005 -6.776060628269036 8.437901347387827,18.7671838863858
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,11.66677347147487 -5.5927282082962755 7.474488282138371,17.397336133803037
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.6026711579549894 -0.3056275502099205 -0.11575837360397413,1.022997686478588
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.0615468743071772 -0.35712870170708066 0.5305400182285249,1.1222967902548746
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,8.93710513719861 0.1919951522445155 -2.06357705641378,11.232405679033599
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.755863147266864 1.033918885816787 0.4638365259420055,3.2151469373421024
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.8569244715187287 -0.49799489693444227 2.341562285857142,4.6559578637452
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.09689001545435864 0.034087622785510134 -0.10054535458055343,2.1760748031778667
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.12559099283996872 -0.10728269865860299 0.463491479801762,2.07354729040829
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.3316177485193904 1.1147786671042341 2.725740227476275,1.4864905331668525
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.21530676288281408 -0.042129881372694494 0.526518738909002,0.8175922141668952
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,6.600708046918089 4.182200995146315 -2.1072091077177992,6.475150459619579
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-4.192308357395622 -3.8237002047492 1.3065036047918046,7.219545214230019
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8634238698970041 2.1459656265683607 8.789049688729603,10.706809925791607
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-1.0070130188279889 -0.5864038121939804 0.8582767705132731,0.340877713187502
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,0.12895405083515754 0.05186358610302027 0.08153873887963872,2.246616015814172
14,-1.4329236909046452 0.09447759282124091 -0.951476549724665,1.1515910835439815 -0.0031616330275574538 0.8095625534934887,3.1289788687095648
15,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,0.06785886536351818 0.07032272718570359 0.15907371124087416,2.104815009289197
16,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.4986810107164043 -0.2908334712180879 0.09660532458607551,1.1351741408925566
17,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.38886148447985874 0.16444947919341504 -0.53092472421741,1.000363317469117
18,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-2.387192294935968 -0.39605647357549323 2.1783289123122476,5.458723903113579
19,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.08538137871799278 0.032182926893693294 -0.10409196081567862,0.6839158298192438
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.3350251468576393 0.8298249956674273 0.3201773528055186,0.04120875613037984
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,12.774145780527704 0.6951198490277787 -4.284078903524237,15.41258621479061
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-9.968289034995912 -3.9593580972939004 3.634548754880925,10.883954650780685
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-8.866084582627504 5.190183128744952 -7.687036034073731,13.847424510892303
