,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.8695284276894613 -11.103232052636885 -0.15282217957682412,10.510204479132609
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,1.5347126676947653 -0.8180547107540654 -0.25388105283547424,3.35013761903581
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.4840777907582303 -5.6662901048263965 -20.99026172445013,20.191753514790307
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.6436463321332171 -0.04422179793902933 0.376945622283979,1.4022703882032566
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.260131439764426 -1.8046491897982782 4.436738522102419,6.045937098099718
5,-1.759033352229458 0.5444320590011676 1.033993487392955,2.044736911118007 0.031577493475709824 -1.174632074467543,4.428285773774131
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,9.308923921564777 -3.962921388309029 4.827100391429322,12.502272611781738
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.287270127280431 -0.10861956353927969 1.7360170775219668,4.464401859367871
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.229206514060821 -0.2953936751544387 5.090303814712981,7.435015350261042
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,5.628208169371419 -17.12354877861682 -35.9045238176243,38.77820555329945
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.1489703709218366 0.42832773578738104 1.446164517784522,3.0493456379041954
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,0.8290976894384545 -0.177226951076343 -0.5170713712620322,3.0091240430220205
12,1.634958907181415 0.6915897345533922 -0.959767603724756,-3.1193679787547377 -1.1161213926128717 1.6966147474279016,5.738275947802737
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,2.4492242409442313 3.4575728468467646 40.62514453032971,42.35086173253585
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-1.8935240363072923 1.1919914307541084 0.734602540228507,4.008299839373227
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.276270929195055 3.2155734395601354 10.637836602122299,13.461829378885698
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-11.14422601062646 -6.027206115272661 5.9828714856637975,15.725564119401191
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.6330986617807883 -0.5224262565295744 0.2891953981557614,0.40873740970279687
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,14.630367583672127 -7.3168381361749635 9.111305484824259,20.151054120854504
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,12.724819642119247 -6.099926250557965 8.152340965554107,18.752365441194584
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.11649967125052785 -0.059079497425060246 -0.02237673446182396,1.5750964137522134
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.8898386361408694 -0.29936211442494515 0.4447236553230279,1.3227212960116235
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,10.138744023374057 0.21780986935396443 -2.341035405346613,12.465878715199397
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.6382647916957964 0.964672509209826 0.4327712274935002,3.0752829118703717
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.6121403870202093 -0.4323480562574317 2.032892122244609,4.256654756377769
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.13412172679383202 0.04718639798796444 -0.13918169497861618,2.230704108842543
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.14454828452847518 -0.12347645081878204 0.5334530509228339,2.1477663961483784
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.32108717207892695 1.07937868619081 2.639183895825025,1.3937163513553839
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.13863670112627818 -0.027127562990349584 0.33902707033518226,1.0204452209941068
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,0.11738244768534727 0.07437338328447678 -0.03747315607516685,1.4751454672724091
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-4.649433724998791 -4.240632885432579 1.4489635313288731,7.854248892504596
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.9213988276163061 2.2900573882221327 9.379194114731776,11.316948398182447
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.8682171595154304 -0.5055802086298975 0.7399811182584085,0.540144785865104
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,0.9626251626430604 0.3871549027295935 0.6086760459821319,1.2167047334208734
14,-1.4329236909046452 0.09447759282124091 -0.951476549724665,1.5115391778707763 -0.004149851675211212 1.062604195211954,3.5687687240180654
15,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,0.08016847243864238 0.08307927911845295 0.1879297033189505,2.138520989762342
16,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.07067789472642204 -0.0412197316920929 0.013691840704536912,1.6245970291513863
17,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-1.272862926291651 0.5382935921084007 -1.73787948943286,0.5417555137354396
18,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-2.2046808555542756 -0.3657761994551215 2.0117860049493834,5.210182795404351
19,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.11323253418237915 0.04268090331049183 -0.1380464533150993,0.7289864744844771
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.2871152925815386 0.8000451861180176 0.308687194472901,0.09576386489797657
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,14.432615586339997 0.7853673928432491 -4.840281692288632,17.164161646934435
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-11.304271810558385 -4.49000424947689 4.121662894169618,12.401754196295105
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-9.678858721680788 5.665979020909158 -8.391724111007719,15.02366090530881
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,14.983599843318636 -2.9166903158719717 2.5091390898734978,13.713452386453955
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,154.91710341846414 30.52487175518072 -81.60406597464475,179.86663204210802
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-2.331548074817601 4.9790955826798475 -4.644948534339293,7.414746554012559
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-12.515389368413521 -3.3955964374764993 -6.247718910796435,16.588930268685615
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-25.519128517428967 -6.180523951424789 5.191926972218351,24.554769814537547
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-9.562944754329843 -1.2800049842438561 -19.87510646472623,23.335289079953764
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,7.561226614122385 -2.583586017166889 -12.736326349617316,14.079530428953325
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,3.613417317384014 1.9799203391862699 -0.978102678919688,5.890129405574092
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,0.0037165271054823545 0.8458276624513925 -3.512680334897247,4.434458437357613
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,0.8398217465837414 -0.44304640708457693 0.5974155304331279,3.115063868754171
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,15.912997669274498 15.199990327986756 54.893810507969015,60.233404199371996
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,0.8618001044132256 -0.04721723202454753 -0.8600371669400358,0.8873936866942459
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,7.52849372569725 -6.371415582931157 -13.881640261170125,15.136204099888925
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-43.440691392512385 -0.39646594329388646 18.298670748247424,45.98910114574689
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-26.689192374715788 4.071703127104695 -34.61354050907232,45.78782177402138
