,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.8839736899283184 -11.189023258763365 -0.15400298882647492,10.597200072163501
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.205280935359494 -1.1754906932623084 -0.3648103371089268,4.117956975282409
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.4554572165887687 -5.5570151886321355 -20.585462632204358,19.771515321442756
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,0.4911147584671259 0.03374209799631602 -0.287616893006579,2.6946001535566615
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.2552434620485196 -1.8007462818215263 4.427143204482483,6.034483130452521
5,-1.759033352229458 0.5444320590011676 1.033993487392955,2.353533031619152 0.0363463258019761 -1.3520249828850186,4.781677269991131
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,9.084720072822517 -3.8674751009606463 4.7108404998304,12.232296685748294
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-1.949186476633073 -0.09256439885405493 1.4794146831853472,4.039678746666283
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.259413261801231 -0.29750349934955356 5.126660876668189,7.482330120262237
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,5.4792903840130185 -16.670473681738702 -34.954519480477394,37.715210648970256
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.4099491248945029 0.5256187030801565 1.7746483703211886,3.47924226849635
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.2028853052676574 -0.25712735406549236 -0.7501860904798312,3.454848063437927
12,1.634958907181415 0.6915897345533922 -0.959767603724756,-0.8598191311458239 -0.30764646318924077 0.4676530079035421,3.043011672981286
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,2.3728678569680484 3.3497804464997576 39.358625490141755,41.07747300779654
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-1.4810869987705986 0.932358384094665 0.5745954372557692,3.49537751828429
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.504161268862695 3.386937259930969 11.204746472129724,14.096405078927951
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-11.131853199547256 -6.020514445296786 5.976229037948481,15.710008213027693
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-0.947910175020883 -0.3032353009967295 0.16785958307144738,1.1172671136013566
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,14.172065581032063 -7.087635311869674 8.825890267026132,19.564515060293818
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,12.245369606126252 -5.870091176848617 7.845174319637614,18.138337879124556
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.5772570989782195 -0.29273953245191664 -0.11087695511398213,1.0518331532606102
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.955536595788338 -0.32146441400452574 0.47755818910816417,1.2460346557527595
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,9.428271521214578 0.20254684244272356 -2.176987345917745,11.736582842295093
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.81116718802542 1.0664840047392137 0.4784458844082008,3.2809249578591237
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.9062149991069242 -0.5112137604814619 2.4037171242583626,4.736364459758559
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.10052590268444274 0.03536679228309518 -0.10431841178411964,2.1814083271442883
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.12740033504896303 -0.10882828015762948 0.4701688272687347,2.0806308290261444
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.3396187272923181 1.141675057577412 2.791504468980006,1.5570859183703458
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.1990614779981059 -0.03895110558370132 0.48679194725513536,0.8605634566071627
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,6.838704586341419 4.332995327654681 -2.183187089460578,6.766954066116029
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-4.31559528520353 -3.936147145888533 1.3449251143452676,7.390721864652595
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8855162497754678 2.200874333034779 9.013934627939436,10.939312601190787
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.9449995818346737 -0.5502921481139524 0.8054227443627509,0.42988551784758855
