,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.0271172665159596 -12.039160825091393 -0.1657040750696947,11.459281599231101
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.12492801523973904 -0.06659093491782495 -0.020666315399189207,1.736234952825864
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.5166320741437582 -5.790584137771184 -21.450697782970366,20.66975198916966
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.8096124980081304 -0.05562452314016786 0.47414219833912996,1.2177611731773323
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.052145806987048 -1.63857871394998 4.028453476041815,5.55856594431489
5,-1.759033352229458 0.5444320590011676 1.033993487392955,2.244058040864393 0.03465567025234765 -1.2891353099919587,4.65634406774531
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,9.901772120827898 -4.215304029812604 5.134519143460561,13.216155499461207
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.1931152921971733 -0.10414826958502499 1.6645544200569526,4.346117999146791
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.258026065345285 -0.29740660905632216 5.12499123689345,7.48015726517627
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.7248585453857381 -5.247797975714427 -11.003541955299008,10.915687900442265
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,0.8592074108032395 0.3203062273449397 1.0814510994954831,2.5723376139126066
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,0.818599882332924 -0.17498295212422812 -0.510524355651631,2.99661445128892
12,1.634958907181415 0.6915897345533922 -0.959767603724756,-3.238089907947552 -1.1586005376983033 1.7611872432935645,5.879915312117779
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,2.5263071573798097 3.566390893952433 41.903714523499254,43.63636680179233
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.193324184507793 4.528266144057574 2.790687689886293,10.599555303980326
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.10669676630853 3.0880608980860167 10.215996576876732,12.989638926498463
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-11.565469697797068 -6.255030149432928 6.209019702873836,16.255179230685805
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.0060941067467892 -0.6417470413520209 0.3552468675137758,0.16109077073828004
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,15.070382658671173 -7.536895428845996 9.385332213361036,20.71418978879075
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,14.943717060847709 -7.163604243053493 9.573909901995995,21.594099250396166
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,0.03606071246685612 0.018287165504098604 0.006926379952092514,1.748469209895255
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.8055261497447748 -0.27099746135770786 0.4025859512309026,1.4211380013351804
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,10.929810146908181 0.23480428292433228 -2.52369252726371,13.277907318228259
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.478556651772459 0.8706302927976651 0.39058202333940123,2.885351463710845
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.3483442422094183 -0.3616025111576302 1.700247949949189,3.826356746360076
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.044792761378607424 0.015758886467662853 -0.04648264379290695,2.099686511961149
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.15871096268867388 -0.13557453443848433 0.585720180196913,2.2032165581613494
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.13120774591024228 0.44107288211390266 1.0784652895715598,0.4041699957665492
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.0454802275118614 -0.008899286600304085 0.11121894971721374,1.2670316445171437
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,0.289805863150466 0.18362066018554135 -0.09251758295624214,1.2638683031908613
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-4.609500073168618 -4.20421039460839 1.4365184877822597,7.7988010784044794
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8616553812450263 2.1415702004162283 8.771047714058643,10.688198229491697
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.7696277906064524 -0.44816964820108673 0.6559534407884381,0.6817621905986762
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,1.661602749835588 0.6682742940372897 1.0506454963072478,0.4032858725946088
14,-1.4329236909046452 0.09447759282124091 -0.951476549724665,1.7954362621961266 -0.0049292762566069135 1.262182371701898,3.915670508714452
15,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,0.05498816992722648 0.05698471454714839 0.12890242443355598,2.0695782619290113
16,-1.448759575850457 -0.709292391613069 0.5558037372203533,0.054406982341427663 0.03173044730563697 -0.010539812176308332,1.769002420973127
