,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.7046447749303393 -10.123978979425507 -0.1393439789685674,9.51721865565602
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.676236806220563 -1.9595608353799936 -0.6081443715700301,5.802351726650648
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.249782102271595 -4.771736362736484 -17.676467897152104,16.75161024460459
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,1.3863266971325963 0.09524774090593414 -0.8118896254836135,3.726501072197565
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.168719817274445 -1.7316596691171777 4.257293442168724,5.831732864169404
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.7525208988211394 0.05795132056143071 -2.155696111268907,6.3865494210064995
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,7.4435310976043825 -3.1688011245752348 3.8598093805049274,10.256072631074165
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-1.2023595352648722 -0.05709853260447423 0.9125798748672588,3.101480494751454
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.789253369878374 -0.26466465406650463 4.560773000674638,6.745889267625919
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,7.462769772076188 -22.705112954271858 -47.60790414347479,51.87355534140243
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.6523157030525557 0.6159711876004353 2.0797057978228333,3.8786338110173624
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.132567338062583 -0.24209626775034146 -0.7063319003279895,3.3709570351213975
12,1.634958907181415 0.6915897345533922 -0.959767603724756,1.0491971217153366 0.37540660819433663 -0.5706551204554485,0.7710364215409033
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.9640720374718972 2.7726828897446234 32.577952257860204,34.260021510227965
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,2.8195742651147486 -1.7749488773039008 -1.093868563483117,1.8539425691231803
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.01611556175893 3.019947693778851 9.990662852896937,12.737409582886313
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-9.577049218170554 -5.17961943332662 5.141519440610341,13.755207533048551
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-0.1154030286713762 -0.036917287162075145 0.02043601259743065,1.9985960562011418
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,11.920878081545478 -5.961787006711123 7.423925696133801,16.683432219492584
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,8.856689209826364 -4.245651610277418 5.674166887635632,13.798521058369598
0,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8279530089768288 2.0578058583092744 8.427981191553789,10.333514422096586
1,1.125527796586514 0.7774539872013634 -0.32807029736367843,-4.079219873937373 -3.720555011101586 1.271260369155763,7.06253083841109
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.57883681702122 0.9813734654572157 0.37865039005115525,0.2576172838658829
