,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.759916062991425 -10.452238196081995 -0.14386205881395006,9.850078067977245
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.314276825836283 -1.7666236991389963 -0.5482668564894384,5.387861910926228
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.3169092430197278 -5.028031454378616 -18.625889997456852,17.73722206040375
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,0.584090080397519 0.04012997856746029 -0.342067044949419,2.801518811238282
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.2544182728673454 -1.8000873922715495 4.425523321424479,6.0325494698279325
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.6791413141877913 0.0568180973372542 -2.113542026186974,6.302260775889777
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,7.848372856782877 -3.341147152950492 4.0697382434608675,10.743555671447856
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-1.524565455534522 -0.07239968396916846 1.1571312172711692,3.5062470577702785
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.9016176153240725 -0.27251286088918114 4.6960154262521,6.921892248458875
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,8.01509384763967 -24.38553200859622 -51.13139373897978,55.81612098188306
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.5249367077812215 0.5684852314676692 1.9193787885852918,3.6687129012701134
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,0.8624387458010987 -0.18435389623622891 -0.5378647059346127,3.0488580398127376
12,1.634958907181415 0.6915897345533922 -0.959767603724756,-0.7031496036165812 -0.2515895271570436 0.3824409288256561,2.8561971698112503
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,2.0925304307200285 2.954027760099602 34.708684391161036,36.402310582301126
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,2.7519253512788437 -1.7323632411851866 -1.0676238140135146,1.7698257234007397
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.049128826677525 3.044772261628526 10.07278807922648,12.829337198281598
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-9.940879943244541 -5.376392432097375 5.336845026126816,14.212639091964075
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-0.6146584727369521 -0.19662849065469049 0.1088460886736281,1.4693282062854502
