,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.7766821304127869 -10.551812791703204 -0.14523257927692643,9.95104876965746
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.795555029248872 -2.02316155783557 -0.627882682670561,5.938986995296721
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.299737890168004 -4.96247029083577 -18.383024567649144,17.48509827957016
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,1.449375433851502 0.09957951187440045 -0.8488135448943865,3.7993277579370943
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.2504660387722053 -1.7969316483478992 4.417764910143717,6.023288224615716
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.8718269017668523 0.059793799419784834 -2.224233367565575,6.523611245396097
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,7.715539801054221 -3.2845985161738946 4.000858263271409,10.583606781177824
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-1.2710833758605775 -0.0603621408163841 0.9647406404384407,3.187813302353277
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.940155428945531 -0.2752045777302036 4.7423998198814505,6.9822564056251935
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,7.788297169375415 -23.69551417943693 -49.68456972475601,54.197214869122796
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.7219568422606424 0.641932894037409 2.1673604032414433,3.993415110337426
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.1667494743721443 -0.24940300117462905 -0.7276497791731491,3.4117350954795094
12,1.634958907181415 0.6915897345533922 -0.959767603724756,1.0819560702703401 0.38712788107101076 -0.588472612847237,0.7323722606081972
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,2.043384430831336 2.884648292141712 33.893502459188994,35.582707146946625
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,2.920901710560674 -1.8387354701096055 -1.1331790752021043,1.9799392759755565
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.2400235308774334 3.1883169412668337 10.547666005605047,13.360896104921466
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-9.984366120585026 -5.399911351558133 5.36019094626365,14.267312735483795
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-0.13266966900858512 -0.042440864203265226 0.02349365574171346,1.980270742368616
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,12.384541303123838 -6.19367104671108 7.7126797024646425,17.27682994047815
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,9.217883637800302 -4.4187982194018955 5.905571356580341,14.261091630288805
0,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8377824986706496 2.0822362079267385 8.528038505633086,10.436959525041217
1,1.125527796586514 0.7774539872013634 -0.32807029736367843,-4.095812073914533 -3.73568834411083 1.2764312123365475,7.0855676442043976
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.642427770117529 1.0209003331734083 0.393901326014931,0.3338540058078544
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,11.255403303103867 0.6124757286492398 -3.774736618004395,13.808583077347613
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-8.714795425531996 -3.461476258684158 3.1775110805584985,9.459870403255055
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-8.132082396771308 4.7605001355376215 -7.050644490638518,12.785188355930538
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,11.83284572279578 -2.303368141820418 1.9815168623011883,10.46071137385757
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,122.30707657040881 24.099390865694563 -64.42642242449762,142.45310402780004
