,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.881113046735758 -11.172033741665702 -0.15376914925431132,10.579972031638567
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.248405546730471 -1.1984775964293066 -0.37194425993920455,4.167337343877358
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.3363048679415117 -5.102085010233716 -18.900214730265844,18.02200510430781
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,0.5156291246272651 0.03542636044421059 -0.3019735086599383,2.722783105858533
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.0794818146584646 -1.66040572065791 4.082115274706453,5.622622168331739
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.9153167784536094 0.06046542680121877 -2.2492168281727256,6.573579168375688
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,8.28021501143111 -3.5249875759089893 4.293668039353728,11.26355373681396
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-1.413624301694182 -0.0671312289821706 1.0729278976152534,3.366878149291813
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.911028648112038 -0.2731701850356833 4.707342613974362,6.93663332905833
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,4.968900612902131 -15.11763770291235 -31.698545084780996,34.07198157173945
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.3111647465405336 0.4887926106217651 1.6503122982149128,3.3164963178470517
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,0.8557075529348064 -0.1829150443325313 -0.5336667601799208,3.0408357588433397
12,1.634958907181415 0.6915897345533922 -0.959767603724756,-0.6913054512392935 -0.24735164565806933 0.37599893040451704,2.8420747728431857
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,2.139836087037703 3.020809212794681 35.493340647979224,37.19122278888694
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-1.4645661151089795 0.9219583303453922 0.5681860741465938,3.4748316810538604
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.906897363732125 2.9378202648795506 9.718966937501305,12.433284301571693
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-10.22073729676165 -5.5277495520008975 5.487088800689022,14.564493928119294
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-0.8355071317085381 -0.2672777054671569 0.1479548194307824,1.2358374139427175
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,12.982390009118575 -6.492663002085263 8.084999957774166,18.04195965352436
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,11.135181209814712 -5.337897595156503 7.133915960204706,16.716533224709732
0,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8545031148930308 2.1237938587159753 8.698242656720796,10.61292740449348
1,1.125527796586514 0.7774539872013634 -0.32807029736367843,-4.164511447282727 -3.7983473342470644 1.2978408919928985,7.180951199578002
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.3669293159734193 0.849655990656991 0.3278288883851997,0.01996812269265406
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,12.215543022842036 0.6647228368705462 -4.096739700514704,14.822623969509547
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-9.678325964960113 -3.844186112890972 3.528825003145781,10.554529883259747
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-8.583483653195772 5.024749270942803 -7.4420165435016425,13.438448681841807
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,12.660591662390319 -2.4644962145975544 2.1201303941118934,11.315238016988644
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,133.97298048393742 26.398041001869778 -70.57154889282528,155.83741139284726
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-2.031850652289443 4.339082138922217 -4.047886385566601,6.489591025543442
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-11.895441238098464 -3.2273960243091 -5.938238994234056,15.87593855799473
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-22.850916726891935 -5.534304905675432 4.649072981204557,21.756267174647913
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-8.51380505935928 -1.1395771063015134 -17.69463134230442,20.91147751537618
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,6.669383282304466 -2.278853190182872 -11.234082294988957,12.306174870255113
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,3.171054504703049 1.7375339627461515 -0.8583611118285829,5.372032293163657
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,0.0010624035381785399 0.24178763554611996 -1.0041320594110579,1.8545696903590108
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,0.6950656696503327 -0.36668060678244047 0.4944418591315976,2.921724204330207
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,13.710187765405877 13.095880849114257 47.29495126339561,52.04669201360199
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,0.4357924512598909 -0.023876666039272267 -0.43490097440937137,1.4864148550473866
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,6.515054958878297 -5.513735443115566 -12.012980619509642,12.843981227318816
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-38.4630679362344 -0.35103715024997145 16.201929425412867,40.587719646357506
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-22.84909924641449 3.4858585283115815 -29.63327669333434,39.471912920507286
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-4.147651777060744 -0.07782460104441143 -2.886434607785957,3.3201689485609767
0,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,0.5269904121113135 0.05486955151518021 -0.8943726906012018,2.2420637766094784
1,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,5.634778363221747 -1.7016413148092109 -2.2534557334816205,4.274972924903368
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.7038162305535299 -3.6605027147819973 4.591658511003342,5.0092757710225175
1,0.4709928888337087 -0.4835882504702588 1.0908725070025382,9.532477326586585 -8.496509940253226 19.30125242185626,21.86173256778931
2,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,-3.321958645864949 -0.669254366628162 -1.142585363980986,1.5069521343838592
3,1.933393761196776 0.22538399326206593 0.009510405009429235,1.6817357330990115 0.2797577152697444 0.29066464493199634,0.38122955207782616
4,0.8281278138379884 -0.7128107622896663 0.34572582375485794,5.545538309175898 -4.827946700477749 2.0335731098518495,6.4836050182345595
5,0.8406396603165116 -0.7446820101459279 -1.4074916468700804,2.231536706534127 -2.0806653965443536 -3.470749094066686,2.8242658329770847
6,0.7573828076600333 -0.4829897035929976 1.3574927623388051,-9.82147940858385 6.378355844628507 -15.435292882093492,20.999715193835915
7,0.2572835006161318 0.2613544055268545 -0.7416055739986945,-0.25988580407266126 -0.2625516198579944 0.7469985828472568,1.660687793935358
8,1.4923161734346615 0.6597033465429162 1.3150421514544268,-9.060808650884418 -4.250344171123066 -8.206146181687192,15.037620737954178
9,-0.09186964851175228 -0.7418495760640871 -1.420202144873266,0.3192095541022962 2.216873978998835 4.374041122740018,6.518917565853081
10,-1.4231014081524735 0.008198818233434602 1.551011750493445,-5.772310438302793 0.38408835654545176 6.938844576540393,6.934382070118616
11,1.7482746021632543 0.681677527665291 -1.3140353666280113,-139.7009642591528 -54.79205000878089 105.93473680133948,185.9772049278355
12,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,-1.8505741093245207 -2.8321493041441013 9.323255577731112,8.36585712279173
13,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-4.9533863627102095 0.6612678997744466 3.130970225465448,3.5010101509332685
14,0.6475404019334752 0.59449251027997 -1.331433030984044,0.09861209287441534 0.08500715750264093 -0.22163786611777037,1.3388588129977104
15,1.6166046332162294 -0.6775229796402341 1.3343980747415785,3.2815039217122983 -1.6322787240305467 3.2459767500013976,2.7087970030973345
16,1.7327907890207053 0.40991595622963495 -1.444314435548648,2.4436180334314295 0.6040300713991675 -2.331433303556312,1.1532283152436875
17,-0.27911076623878817 0.5701822910079993 0.3227161255574096,-8.510433398790834 18.462980669639556 7.838092344165834,21.080507247377817
18,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-2.0705290504050784 -1.559787564814944 2.9108971819857374,2.9536473675980863
19,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-4.5528771116849445 1.5045420827739202 5.336557774914991,5.392884655686058
0,-1.8240322652140168 0.5867957763527899 -0.1862137938943753,-0.7959926225273354 0.2329669040047508 -0.04799393792548384,1.0959767818829491
1,1.5762315415935233 0.2092796576284287 1.069374539624862,3.4696362165542114 0.8030268518850355 2.6600027507140775,2.5431506246707962
2,0.052810176013954546 -0.48396116352348 -0.5221889873989345,0.19184215864852988 -1.8453505213039914 -1.972683982080146,1.9941531047711916
3,0.3712252395078175 0.490331829528036 0.8088986527787063,3.3109198368826274 4.342555971586809 7.009113810142325,7.869186944284439
4,1.8047373429757445 0.04298054037927235 1.409478776478449,7.416984730200915 0.4069021408934402 5.201841329285549,6.7831978740613295
5,1.8445034203979604 0.7668637020642585 1.4968127151371902,34.07380035455905 14.674295903334613 31.822116656567697,46.387156740237884
6,1.100150548608379 -0.6759965343067005 -0.5572614048725637,-12.223830502019313 9.32506160136592 5.128071432133714,17.60319983236375
7,-1.402499155729641 0.7279358108222199 1.5992697717098476,9.789799718777676 -5.0625157040251105 -11.022445721387575,17.835486672103762
8,0.43961410095011866 0.47273358494465956 0.6851576174865506,40.295146484795886 44.00965110110971 57.03586019101804,81.60470776211227
9,2.055288986604768 0.10444668422611947 -0.013637257030095329,107.73963945434089 5.554150628781971 -0.1276969720165779,105.82482797760252
10,1.0131699388289115 -0.509643779288385 -0.12114856608202662,11.809447122602103 -7.4499480156622795 -1.717391355625613,12.933499718384848
11,-1.0783979787569005 -0.1747278807945497 0.062480411251896184,-87.49100338982345 -32.41228202418345 4.748197070438126,92.34908885141637
12,-1.9628270611854202 0.7984954605508562 1.1662621861861622,-9.210568391311716 3.481415168894285 5.38132880359215,8.803101677193602
13,0.4200056846110254 -0.11000275319829056 -0.13509069984605704,11.01967824006069 -2.2936899587056527 -4.394786458277995,11.630415127958779
0,2.0769060075051518 -0.4877662579694984 -0.5798268280524508,7.421612104294488 -1.7337485460324635 -2.084430575630313,5.690534909869991
1,1.3308392875675157 -0.35964650437234646 -0.964270844664938,-3.438212838166996 0.20919514289332294 1.8377804164137952,5.5604793199282465
2,1.4838583968571766 -0.24347837710447917 -0.7093818763049647,-6.963441476654132 2.188221379318744 3.3963955945996256,9.701930091430294
3,-0.12659633345684274 0.8994127695902302 -0.2290840808823038,0.13769276710286144 -2.5667904949153826 0.722648772922875,3.6041932834624966
4,-0.2507472862040352 0.5564823633917036 -1.229715001147389,-2.0021670753473697 2.0784065596574317 -4.963812044943654,4.3962717465450165
5,-0.13751052973387723 -0.2539755854827679 -0.6417800811016247,-5.6565244461210495 -9.663122624894145 -27.337847669530955,28.83871681099085
6,1.460484835557716 0.6638897464897159 -0.4817960096003471,-49.74507979951083 -27.097163821375517 6.982925626143852,58.72314717292674
7,-0.5152978958674135 0.10203960223427966 0.5421259310170181,-5.751537697032042 0.6910515466605662 6.8025389836537435,8.182781551257598
8,-0.05754030238696606 -0.05661731797702407 1.2455012104683059,0.03306224334415316 -0.9502491722980264 6.966103621505793,5.790688962249489
9,0.0922336742843144 -0.5522396119106671 -0.5281144273407505,-0.8490826379946408 9.242485640566699 9.671484888910495,14.17231616156488
10,-1.3397002974635253 0.6747855542755771 -0.7791194651460945,-13.384959055859358 6.711496064995834 -7.88573799119184,15.2326675018425
11,1.8771304535371187 0.26277969148431246 -1.4074728795287645,-2.257493091514192 0.13470054813199192 1.956522294330565,5.331789535981647
12,-0.7264503008023167 -0.0025788608508626742 -1.3806294847743232,-1.698345403099273 0.2882419211417247 -4.298431424143385,3.089130132333931
13,0.47876447728642413 -0.0324900680022816 -0.9613084579311757,-23.86392136950437 2.6279590584299544 52.7099294758633,58.99361088402592
14,1.1408197230267798 -0.5347057072386341 -0.8707527865257867,-7.865898581452051 2.917218988812996 6.731930187368111,12.28159383488077
15,0.6225436781505445 -0.1266515423861727 -0.27745587615453293,12.17862376141338 -3.079433092661031 -5.8286242294733785,13.155887498048783
16,0.7423028012464732 0.34639559815224696 -0.6976084308997849,-5.207070254550884 -2.2653810805354855 4.5610858965027195,8.358844609480427
17,-1.7630593059028943 -0.004246750768406304 -0.13117835035548064,7.142940693985457 -0.2728332667955533 1.1766076575084747,9.005513808604574
18,-1.6403412653870753 0.473687307562647 0.9565160248988365,-7.970016909209963 2.2571380865553294 4.606875444693173,7.521343917863053
19,-0.5789742589104039 -0.6408448172704329 -0.11218093565723919,-6.693401445262586 -6.220965434085045 -0.9044877180950717,8.315751075693592
0,0.7816362380604502 -0.33203965777432265 -0.426082050360298,-1.5545599908804986 0.6066101934931243 0.8291167667986551,2.8132544204176675
1,0.44448734835150905 -0.8647277077032519 -0.7165783697611627,-4.856569213595397 9.25518166612993 7.304401485898019,13.958864002935464
2,-0.9666217926736294 0.13671310949662596 -1.1683005474985404,-5.801450200169509 0.602622880572048 -6.974762693420802,7.5701809949789745
3,-0.002823520863118212 0.37978144500152033 -0.5686655765295849,0.0037626290352667235 -0.9812009250770818 1.5447302103570686,2.513714013380502
4,-1.0770560920884353 -0.33250066254280863 1.3806104195611275,-0.5131537390138068 -0.13233493339002747 0.6368274010395181,0.9546022006948677
5,-2.0534148481977232 -0.8790676667079397 1.2992430829152735,-5.104429334391901 -2.156912855204337 3.3162346059456684,3.874252511737792
6,1.168979225566117 -0.6158962457008046 -0.10223954951039649,-17.63913020639171 9.251056530813885 0.7897991248760056,21.257880197589618
7,1.8240380783272427 -0.315990888886006 1.0227454524382504,0.05335375737815795 -0.009615773318914035 0.029674829978145367,2.053138557693311
8,0.6061527448016175 -0.19234948685586672 -1.4390470675623641,-2.3153278217102216 0.6413761956578535 5.052169177767386,7.167010224481486
9,1.33552301801774 0.6861300260771955 -0.20526639111071354,-22.78089224763819 -11.014814320396374 4.34626599087627,27.188785020465886
10,-0.4007208356839762 -0.1264573424583092 -0.8952019878249964,16.855741588627325 5.561547121360316 48.38334348354307,52.52155685007613
11,-1.672926470390867 0.39312669719500504 0.8241381162834598,-3.329351794652283 0.5174900075466704 1.5618701044195866,1.817542179465292
12,1.012693693850729 0.01672674305351196 -0.8741971210827828,-11.59885646411562 -0.1793862692256821 10.04742938802243,16.684471322306738
13,1.2472656438017595 -0.34668042360165197 -0.4480718197619673,-6.861803678666145 2.1388693513917643 2.5721827066345297,9.003160576418619
14,-0.3707252309624409 -0.4425043729671085 0.825196090389066,-4.608789461242473 -4.138038930582865 7.000529128401777,8.351820293617594
15,0.30062311286525434 0.17627499031355798 -0.6989651466807683,-1.6371152729346754 -0.9732109241759931 3.9634494871805064,5.178248558871635
16,-0.7044675912681697 -0.5258499498062575 0.39221331138051463,-13.726872897427157 -9.954438888655273 6.91507643964511,17.35018941469336
17,0.6243090520924679 -0.26705727510654986 -1.0747805099939154,-1.0374287414560457 0.7805015929996213 1.719855847784587,3.415954397949841
18,1.5687535990563468 0.6819189808529907 -1.1784358125342498,-1.872292977594539 -0.9506848869249566 1.3229762008670511,4.5566719206623425
19,-0.07538993190792365 -0.1256924405398665 0.8014431227875334,-0.5885821178752441 -1.1369476497844146 5.740142139353743,5.067223233112411
0,-0.976218903115077 -0.6162547523870255 -1.5318996688993747,-0.14807541000753713 -0.05175244995659077 -0.23656186464977444,1.6377986816894792
1,-0.6598740500454536 -0.06174283182547646 0.9063198953271332,-1.3111676980582863 -0.03390676986632936 1.8578629688188857,1.153426409875111
2,-1.1422705866343725 0.4791308442946808 0.5531004073870962,2.255821465819374 -0.9364752023852735 -1.0973774941611196,4.034234423015743
3,1.1717989909384676 0.5790118698512362 -0.8151912818420801,-0.24148340121681716 -0.09742388408290813 0.16616452772591755,1.8487811320298244
4,-0.877163625378055 0.516097599896275 -1.0104398918753135,0.962375920250893 -0.5122035532815878 1.2705972839336874,3.1055498062311577
5,-1.11809178670255 0.07004420155078195 0.524372714832229,3.327337371596153 -0.3228591594730808 -1.6478130584862687,4.963325950042314
6,-1.2181982845924941 0.15292761073408745 0.21294515395322522,17.799822100495554 -2.245653128949265 -3.1043198656898667,19.453599567765142
7,0.7147692847488951 -0.8696730763684871 0.5096141833490773,-0.20230883276079548 0.29822625568461997 -0.1337628117698851,1.6183185969621423
8,-2.0537045359663875 0.8705945749384941 -1.235635194043374,0.7863020893109801 -0.36956373527515424 0.5285475043029662,3.565945997790192
9,-0.8205589868618466 -0.22013865362059637 -1.1012911480678955,-0.029508122364326827 -0.007901447165928555 -0.03985232437180014,1.3406932827739928
10,0.5863726146820554 -0.6980597327761702 -0.48761247209575176,2.8386790913669766 -3.4554140433516976 -2.3444161945818247,4.015421188717869
11,0.957837480926147 0.8730069173372047 -0.7178771631249014,0.6499603892152687 0.6386309043749526 -0.4656620168301111,0.46187974525078795
12,-0.90115004692669 0.6997769491821048 0.36564366883077737,0.999953935156559 -0.7104396267499035 -0.31657363867777655,2.4633975717269845
13,0.40771376298756445 -0.3774786157591775 -1.1801550476016969,-0.3563193549347894 0.23998743264756672 0.9368494506866278,2.333820681198578
14,0.10723079344138187 0.04155238022876706 1.312453634068809,1.2172563102444047 -0.00410343104035035 7.213546913766808,6.004760028240375
15,-0.49090869499096645 0.7397074457716012 0.06463007194561499,0.40467218367691626 -0.5867627635219519 -0.02103776373660943,1.6027873547196758
16,-1.4414907690985042 -0.8093253951343368 1.5217161842771536,0.5570825350297546 0.3533812019029183 -0.5993681056892255,3.137703052857341
17,0.8222706008074132 0.12603012812122383 -0.46128467966123665,4.264286879242456 0.8477445592949194 -2.4915999467740186,4.060853095723537
18,-0.9722407394802492 -0.1760906954018111 0.5052771327596846,1.4869218127495423 0.2755595081494697 -0.8258710289663485,2.8325648788904827
19,0.7805782092791236 -0.8356618323472177 1.0060791713778419,-0.646276649942252 0.8028344900367947 -1.0358681522876163,2.98163275075488
0,-1.0475605083352832 0.005811255053587594 0.5316094569281229,3.58596499035909 -0.022034319716992604 -1.8195731022313753,5.195997820398027
1,-1.5927752158530537 -0.602684608835433 0.9306293438262032,-1.0335343436913869 -0.5556710784117792 0.6942219495050121,0.6089737935484356
2,-0.8211251081589421 -0.7936257523185628 0.09081014950783883,-3.309781676744 -3.1900286999718204 0.5748187890260301,3.488613330108544
3,0.9695591672811665 0.8577715782829304 0.8406370564739536,-0.6576471425561011 -0.6110397096001039 -0.7910974102073469,2.732721051249568
4,0.08409429682177993 -0.023512332646600465 1.2570859334109556,0.59070323585303 -0.23776367395341713 6.932886395184911,5.702391352426768
5,1.049028660855586 0.16688375623954788 0.9304011302113437,0.13019055786391978 0.008129119198314027 0.09543357682209057,1.251653829740577
6,1.1753386174101577 0.8557449428334108 0.4118192508218752,-0.6226349669816027 -0.4078743415767544 -0.16630586821158302,2.272371307546648
7,-0.8764583304909479 -0.16760152307597176 0.3112400372777213,-3.7303336934455427 -0.8390683382710925 1.276028090092516,3.0864685739598356
8,2.0687681510340306 0.014016354635302819 0.7360114642517983,3.1125629911901087 -0.46960234675161333 1.2691051550421857,1.2679052014358714
9,-1.3139803626425735 -0.4647397624376932 0.3303434103088563,-3.551778281194188 -0.8526243319759462 0.8138445932781714,2.3220610150236243
10,-1.5623433761678092 -0.12420066823798681 -0.9908105805508711,-23.97233875849335 0.6896772778208782 -14.401918799735688,26.129066458900127
11,1.339369893874958 0.5149138530712661 1.3206999233779118,1.753847961874684 0.6461412092528324 1.3516638547979045,0.4358571473684596
12,1.5867089088966448 0.10273345831286507 -0.4248778973276903,8.530264409549156 0.5437197858847037 -2.2772722805164722,7.199916449696927
13,-0.9652332135809185 0.06282084744701666 0.1249875552296209,-0.32990468594320127 0.02931376688696493 0.10112448057194463,0.6366588637646422
14,-0.7257369711709167 -0.5614227878815372 1.4892472122209908,-1.019316227376788 -0.7565461383198125 2.2779511067132434,0.863895673532341
15,1.27208577839925 0.016258791800316086 0.37034936474333824,11.41995377667322 0.09515742427683525 3.33110425298414,10.571259121450074
16,0.3933767204168359 -0.13210111311108197 0.8291183778056248,-0.4979786618133857 0.16935515206104815 -0.9746485441616096,2.0344447414529268
17,0.4433201223003018 0.8148085153663337 -0.3907660512570579,-2.506395410972714 -4.865248816654063 2.830698396087607,7.165312708303556
18,1.4553727714905147 0.16026093271034447 -1.2002079597600084,0.7101927548425532 0.06526747427267214 -0.664631390782128,0.9225829369739743
19,2.0915259045880323 -0.4936602536982161 -0.939634032828792,2.0494207740646577 -0.49192677190505435 -0.9094991770124748,0.0518069156637206
0,-1.3674900272960075 0.3412710083694669 1.1616729842039089,-2.2829931971674027 0.6947011679013462 1.755736302956655,1.1471574252903693
1,0.9821512043212484 -0.6554632732270563 -0.8760097093711515,-1.305070198588378 0.7620422269689552 0.9983226202753656,3.2793025586200435
2,-1.4940504404953119 0.040658977042240085 0.26862675020602467,-73.98294240022155 -1.630231310454269 5.816509218856114,72.72008203919786
3,0.9584264544033947 -0.7699541980284897 -1.0515417428038376,-0.02727884944747903 0.019106810197967367 0.028006335786536773,1.6612213202133137
4,-0.10147736244626127 -0.6243897683563362 -0.34064575754849713,-0.06722093630333338 -0.3594215308407751 -0.19951497322083891,0.3021581835878827
5,-1.031049004265406 -0.29104930908930005 0.6147847942394393,1.0097817710287476 0.267654382110897 -0.5942382402835155,2.436981076240756
6,-1.3730072900773704 0.7866726120346265 -1.235410264902101,-0.5122765828833894 0.2904722746934113 -0.4485102566123632,1.2673924996348116
7,-0.9768710129825142 0.09832861827199713 0.4125967638815373,-3.7348749361361278 0.12262730978040244 1.4643165669803881,2.9518283504922893
8,-0.8817479784397102 -0.6109973680573937 0.15933712385883814,0.09615365584626655 0.06997495697206674 -0.023238082701655588,1.2055490947472112
