,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.6432229760575963 -9.759191541120916 -0.1343231335841179,9.14732348561942
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,4.78227911175875 -2.54911947875646 -0.791112291833824,7.068930026133732
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.1481606504917936 -4.3837401065808095 -16.23917068607612,15.25954724020346
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.0274604357145565 0.1392969108056514 -1.1873637701991797,4.467624288077732
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.175504321981815 -1.7370768987118483 4.27061172660961,5.847630944209517
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.8270073375417955 0.07454494115093159 -2.772952163937117,7.621650809570401
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,6.509761775826801 -2.771284242044178 3.37560752252051,9.131703527230304
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.7368505434702194 -0.03499209973969261 0.5592628136872481,2.5167056578556366
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.586599854253371 -0.2505100918420279 4.316857750799445,6.428460995761447
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,9.076099718900565 -27.613590609876383 -57.89996189227544,63.38972874778892
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.8713269167619706 0.6976169633787404 2.3553667324119165,4.2396300760820305
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.1135408043262498 -0.23802917818225294 -0.6944658970635582,3.3482607989574626
12,1.634958907181415 0.6915897345533922 -0.959767603724756,2.395802778378176 0.8572270894749361 -1.3030698376752035,0.8509850489394315
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.7464954434488724 2.465529746709672 28.96902154794914,30.631516551511638
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,5.950784640115537 -3.7460756564326654 -2.308637983548795,5.74797242636047
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.8912489522137266 2.9260533265159565 9.680039271885219,12.389710266917152
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-8.865481718594916 -4.794777634463058 4.7595084423340355,12.860578966466132
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,0.38467870647030405 0.12305824583113648 -0.0681203862835911,2.5297131512658764
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,10.714819543046568 -5.35862136111267 6.6728326211308175,15.139918176191921
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,6.8334285414394405 -3.275756459703841 4.377935483593659,11.207422607612063
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.7815641301763046 -0.3963480370427338 -0.1501193335407146,0.8201699933049499
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.30726650356393 0.12994297070140193 -0.4195205495451353,1.1426961408228224
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-4.531917148902539 -0.7518854381099566 4.135404665388671,8.381084470070572
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.0250866884479344 -0.34486265942947664 0.5123179423705909,1.1648534426950123
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,1.2739285145179646 0.4801837223305823 -1.553098802177519,2.609839957584059
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.7422300101488202 1.0258911770735313 0.4602351365237199,3.1989321075407826
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-2.6012354979988377 -0.6976061889413682 3.280130684995106,5.870178383729135
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.013841613280150634 -0.004869724604997512 0.014363811469048856,2.0137948526714546
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.033191403031346794 -0.02835285563834631 0.1224923233730479,1.7118614305776918
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.45325523433079634 1.523679803753802 3.7255425291490325,2.565160531284249
10,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.3236644555036687 -0.06333263726764128 0.7915004557205344,0.5312444187248635
11,1.2918975083772835 0.8688479430192452 -0.444140951402505,11.391694284988098 7.217764342315407 -3.636682879933106,12.349370766946622
12,1.125527796586514 0.7774539872013634 -0.32807029736367843,-3.267273436896512 -2.9799988561418345 1.018222935728334,5.935289379323237
13,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.7508151651169975 1.866086394437444 7.642772018860431,9.521733979165187
14,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,7.403452239277795 0.15904780328685883 -1.7094566914782583,9.658142349002693
15,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.9369436270037347 -0.5456010045682379 0.7985566574637488,0.44145169011426905
16,2.0281460358843417 0.8277299971979065 0.9971722018834903,0.5208226807071397 0.20946788232181895 0.329320593573745,1.7607661714366345
17,-1.4329236909046452 0.09447759282124091 -0.951476549724665,0.9881248754634047 -0.0027128451116536297 0.6946466578125758,2.929273588508092
18,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.07137455547723043 -0.07396606715921539 -0.16731513807530674,1.7240056318363424
19,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.6966900028668694 -0.4063133898072971 0.13496395975884276,0.9135157559871594
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.764598089526806 1.0968389662494356 0.4232012755716403,0.48047542173370694
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,9.375281475932955 0.5101667349121343 -3.1441981542805495,11.822914557238338
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-7.240998144771869 -2.8760908252500705 2.6401482439745965,7.785500892089268
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-7.093431441563202 4.152476535702038 -6.150117629530717,11.282074738947504
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,9.902056961595491 -1.927523021777489 1.6581888499626622,8.467511013265227
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,100.98373520941438 19.89783889968537 -53.19414840939313,117.98880564432386
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-1.8355204810898498 3.91981277076083 -3.656754179969048,5.883527182065922
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-10.577159845746825 -2.869728238857835 -5.2801490745122495,14.359816783604387
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-18.538495456611177 -4.489871788321894 3.7717006879678534,17.233270300763895
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-6.9252940477758544 -0.9269541052711661 -14.393156086859097,17.241567135664077
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,5.135985188309123 -1.7549083229575764 -8.651186748315455,9.257190515123083
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,3.835414206015121 2.101560359264275 -1.0381942023751407,6.150154469498835
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.002021095800658659 -0.4599720890343322 1.9102412742919193,1.1447274620536085
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,0.09546603373108214 -0.050362929294488185 0.06791071011414213,2.1209318906650125
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,10.21185435532581 9.754295869185446 35.22702696039486,39.045187664155584
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,-2.0161514322752154 0.11046307547059282 2.01202710124604,4.949667839185872
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,5.056524472406823 -4.279371145518458 -9.323625183901392,9.54508886245223
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-29.57233335367071 -0.2698949455598487 12.456854942909777,30.940109857703124
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-17.45152000733795 2.6624038520523 -22.633090062745342,30.594465333961985
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-3.691670501681684 -0.06926878133062513 -2.569108032533007,2.7657477308759817
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,0.48189914064699335 0.12828724682384715 0.3440397452305842,2.584918589304666
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,-18.007229649180502 2.015597076587948 -5.44845100479273,17.22969443942557
2,2.029294752646892 -0.5068285909554975 -1.4955514957188436,2.8424967571594215 -1.2174002442878813 -2.843857859836073,1.727466244585328
