,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,6.931705371192024 -2.3298000616587804 0.15662007666130812,7.2703819290402585
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,8.837804575994245 -3.112730791396971 -0.1287287558291449,10.946947533724556
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,6.728030644672855 -1.9730735498555672 0.16155129321318126,7.012396718921014
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,8.661109504214432 -2.472418512870483 -0.3265863479661032,10.930779914170893
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,7.851498207909178 -2.593508550401044 0.7187110076474662,8.741271169295148
5,-1.759033352229458 0.5444320590011676 1.033993487392955,8.422591519273166 -2.3536631066564433 -0.5379962946563065,10.702130278036991
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,8.493540605292855 -2.791925738046648 0.6462445878818083,10.210066845529374
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,8.066688756486458 -2.1119549041228582 -0.8328158502461611,7.115526935013051
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,8.06610080236318 -2.3749532690268813 0.8426562527108178,9.048341377849376
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,6.900860690815021 -2.303319974857348 -0.48277498107486094,6.896020863038904
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,7.990660187264792 -2.102982756514822 1.0108513481239951,9.206301295840987
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,8.628352999239734 -2.6447058047097003 -0.5908879994689663,10.747431135286856
12,1.634958907181415 0.6915897345533922 -0.959767603724756,8.11565892065929 -1.656092039046299 -0.5933521555106025,6.902560586874577
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,7.243286477097673 -2.2222445249007126 0.32618863075635257,7.8194825704936965
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,8.54841838807415 -3.0998410961636207 -0.30282564510970833,7.554309486697003
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,7.627920471965943 -1.9722851056383264 0.9248160509677565,8.650532810138873
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,8.011598321360143 -1.753604838589898 -0.29291683246125766,7.107370294897565
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,8.417772349539845 -1.9257351043343784 0.05047544246846733,10.556507054721969
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,8.079721793517704 -2.6961811892705754 0.9866077707586018,9.872827961772163
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,8.176238501258158 -2.804899333504516 0.8339199724889684,10.912638559644954
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-2.5233780383847972 -1.5439398271532052 0.5070632582436807,1.4696249414361762
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-2.4276211261097496 -1.0644134863451464 0.47595520482802145,2.741272852849699
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-0.9528890305238285 -0.7799758415971532 -0.3587057233340911,2.909906585931668
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-2.4253553792738103 -1.1793295392378522 1.2040465421736581,0.6641082441139698
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,-1.9741120956230684 -1.4112952423705751 1.6709798512604312,2.4472269573034873
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-2.9118201328539532 -0.942322976332852 1.1326015908168598,4.1573253551431675
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-2.3864126897097435 -1.1188675169751647 0.5485658971450249,4.0414673690280205
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.15071268566510276 -0.8923059352509842 1.5720226697178605,1.8455487885134874
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-1.0413900423341325 -1.4032782147015164 0.6778352551673287,3.1161608164146166
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-1.5857356623494874 -0.9458800919717154 1.8482553635395937,1.8826518828692786
