,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.6849181292506625 -10.006821346860226 -0.13773144987093097,9.398420063736621
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,4.558058226687881 -2.4296020243542715 -0.7540203751723165,6.81216274032073
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.1981953467996318 -4.574775311307003 -16.946843408722497,15.994181209643806
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,1.4092899642296535 0.09682543490788774 -0.8253378540735057,3.753023958328218
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.2502286171428203 -1.796742074085282 4.417298840927324,6.022731876016083
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.84175887925805 0.0747727536923734 -2.781426424832755,7.638616828519245
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,6.793530421107061 -2.8920879829693265 3.5227544699280964,9.473392534526585
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.979776404287444 -0.046528341419089 0.7436413170920282,2.8218678051360317
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.668237288773054 -0.25621215007275583 4.4151171625773555,6.556334521621271
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,9.667553163363845 -29.41305886012042 -61.6730729153028,67.61160634481976
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.7815486519868335 0.6641482840748502 2.2423663067508968,4.091639584647101
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,0.8851106641276965 -0.18920021894495131 -0.5520041735119672,3.0758801273288388
12,1.634958907181415 0.6915897345533922 -0.959767603724756,1.0009201977966444 0.35813294637496157 -0.5443974485043485,0.8280886911607994
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.840234808854129 2.5978617231320964 30.523871121992947,32.19479931674592
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,6.1095273838906055 -3.846005726844281 -2.3702230601488377,5.94539680214444
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.9065047157944246 2.9375250103691433 9.7179901695012,12.43219094747447
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-9.116114661106371 -4.93032912115701 4.894062845994727,13.175690839563117
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,0.024827227360340445 0.007942199545818113 -0.004396501001199833,2.1474618632735485
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,11.29992847104529 -5.651241986924928 7.0372189671611185,15.888740023415904
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,7.209123020811875 -3.4558539920356988 4.61862962157441,11.688552979173215
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.450389388258758 -0.2284021784635486 -0.08650877412191756,1.195834654552964
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-1.0367815688495958 0.4384548119048259 -1.4155502421420105,0.13004742087154497
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-4.7669611344218215 -0.7908813297427225 4.349883871947726,8.701465541468208
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.9640322813263947 -0.3243225573609348 0.4818041637978511,1.2361180947980557
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.07046497133363384 0.026560463827678096 -0.08590675326484072,0.6597817154956285
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.7597031503902054 1.0361800254488807 0.4648509180437529,3.2197141377234066
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-2.502182468624433 -0.6710418865634652 3.1552258536783477,5.7085854527120015
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.0638794890525342 0.02247393517632012 -0.06628945043606867,2.127665169641632
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.049704707351148396 -0.04245889788817939 0.1834343995723683,1.776490997990931
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.4553938152989574 1.530868937784852 3.743120647933863,2.584187826485802
10,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.12330572034537868 -0.024127692512626118 0.3015361501294346,1.0610199174091068
11,1.2918975083772835 0.8688479430192452 -0.444140951402505,6.433622589051322 4.0763358420145765 -2.0538687696689983,6.270290190759511
12,1.125527796586514 0.7774539872013634 -0.32807029736367843,-3.6749637784252687 -3.3518430788187663 1.145276781828772,6.501274124121093
13,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8180356506203428 2.0331571187024826 8.327029436089243,10.229144993364814
14,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,8.296987857016509 0.1782435612342042 -1.9157740136477608,10.575335245981773
15,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.852951645379265 -0.49669079457349624 0.7269703270093919,0.5620702888944598
16,2.0281460358843417 0.8277299971979065 0.9971722018834903,1.2591862303422894 0.5064277783764692 0.7961941216407654,0.8572785353062917
17,-1.4329236909046452 0.09447759282124091 -0.951476549724665,1.1673572507917493 -0.0032049182142880905 0.8206460872219965,3.148241015089296
18,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.016909881005539827 -0.017523855465679337 -0.0396398836582804,1.872859553168871
19,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.35763568710123006 -0.20857507319497204 0.06928178714153303,1.295365887103541
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.756005473211057 1.0914979673822822 0.42114051952361703,0.47015940501647857
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,10.299648096781059 0.5604672087731516 -3.4542039744375344,12.799173235711722
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-8.072529545804722 -3.206371234884573 2.9433338165094707,8.730197182279177
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-7.519763296210529 4.402050107735495 -6.519754113212479,11.899052269657245
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,10.777326624132721 -2.0979020078151613 1.8047606583009532,9.371061371980511
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,108.63654247788898 21.40574832532379 -57.2253378355273,126.76888176497222
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-1.989138495114889 4.2478689593993435 -3.962794521491726,6.357740160182691
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-11.007633532345256 -2.9865216420523133 -5.495042795609654,14.854891736372887
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-19.700140293911687 -4.771212655235952 4.0080400738837785,18.451637746245545
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-7.335599175000896 -0.9818736537367233 -15.245912041862233,18.189487816268375
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,5.4777294376371035 -1.87167848593112 -9.226829631365238,9.936701741895762
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,3.8761636647331965 2.123888442361291 -1.0492245238785345,6.197885677625682
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.00024859226144130075 -0.05657599297156492 0.23495729302885207,0.5814234158785345
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,0.2268534788783567 -0.11967613265617034 0.16137447257827084,2.2963969070736296
