,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.7019854750538717 -10.108185251344864 -0.13912659794496227,9.501203686035666
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,4.924402443045994 -2.624876109372032 -0.8146231559448818,7.2316834427358865
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.1875764172915089 -4.534231658157269 -16.79665309457791,15.838268285900247
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.105821723288043 0.14468073240505674 -1.2332553457939082,4.5582774535033845
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.246921498922038 -1.7941014364158532 4.4108068207956,6.014982326918326
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.967113524510218 0.07670864357193541 -2.853438421190853,7.782797944485725
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,6.713924702914997 -2.858198866900365 3.4814752848490613,9.377538191902353
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.7800431994391153 -0.0370432643063466 0.5920456439665427,2.5709635386461422
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.709524376188572 -0.2590958930272663 4.464810602202702,6.621004946647856
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,9.413153796111919 -28.639061196335685 -60.05016063739651,65.79566796311504
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.9386950276065864 0.7227313014962641 2.4401603650410095,4.350686945546209
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.1417323606752505 -0.2440553722501852 -0.7120477174992921,3.3818901887601625
12,1.634958907181415 0.6915897345533922 -0.959767603724756,2.4717545646849546 0.8844029193486526 -1.344379783029267,0.9409199886903443
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.8069316191332248 2.550847569602409 29.971472989917007,31.63940507745508
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,6.14341019155438 -3.867335277254358 -2.383368072360261,5.987536036601833
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.069801433064709 3.060317180349947 10.124214149400256,12.886901435426099
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-9.184226481741092 -4.96716649159983 4.930629249899632,13.261325412209501
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,0.39270754597711804 0.1256266617303007 -0.06954216409300397,2.538244862847921
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,11.075970898722122 -5.53923787652321 6.897745652809581,15.602119165609961
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,7.06883919396271 -3.3886058091936015 4.528754745498235,11.508899236490175
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.7321856942441913 -0.37130716656481316 -0.14063494498293932,0.8761236389711224
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.3173139534159516 0.13419203614329578 -0.43323864648885335,1.1251695157789685
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-4.732686902671471 -0.7851949292837609 4.318608406570487,8.654746523295174
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.9667524420607403 -0.3252376817845504 0.48316364604071105,1.2329430022753118
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,1.3605724494646843 0.5128425463744317 -1.6587299973726553,2.750291796250783
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.8473719014470913 1.0878027145831544 0.4880098806241779,3.32398737783452
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-2.69923418321212 -0.7238877345244175 3.4037059993811183,6.030052277435195
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.007122002666285346 -0.002505646626510142 0.007390692219908074,2.0236334754068217
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.033499789180254126 -0.02861628614029217 0.1236304173499747,1.713068342359198
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.46882374306828506 1.5760154869211445 3.8535082690319444,2.703703165207777
10,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.31715668624798954 -0.06205923766294863 0.7755861276440128,0.5484207925964878
11,1.2918975083772835 0.8688479430192452 -0.444140951402505,11.879306708816797 7.526715010893193 -3.79234820147508,12.947235969907641
12,1.125527796586514 0.7774539872013634 -0.32807029736367843,-3.383753173652354 -3.0862371275935865 1.0545230317573502,6.096990094533022
13,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.7787674550784641 1.9355594024611094 7.9273067346013955,9.815894066377949
14,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,7.76098370692929 0.1667286247061166 -1.7920106865656245,10.025138653864795
15,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.8614563771012095 -0.5016432698744011 0.7342189062630025,0.54985500345799
16,2.0281460358843417 0.8277299971979065 0.9971722018834903,0.5408532359457437 0.21752390242805533 0.34198608335585773,1.7359896891268602
17,-1.4329236909046452 0.09447759282124091 -0.951476549724665,1.0818729590873646 -0.002970225567000312 0.7605510739271659,3.0438030245511287
18,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.06847628242596278 -0.07096256181025112 -0.16052105084757629,1.7319224170975351
19,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.5745682918858842 -0.33509134534912083 0.11130633639881835,1.0496736461023313
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.8260846702341686 1.135057798073832 0.4379475226294461,0.5543040013349048
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,9.710401895185246 0.5284026983369353 -3.2565878469398757,12.176847893005716
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-7.461766010503115 -2.963778795947608 2.7206426566761386,8.036313529088678
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-7.321669980790736 4.28608678999053 -6.348004065088099,11.61237606932015
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,10.25226277635912 -1.9956936829780147 1.716833975867853,8.829029470879293
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,104.46267154365601 20.583328642934134 -55.02671139873707,121.98019400036468
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-1.8911708217900238 4.038655855553987 -3.7676217066834514,6.055317631334127
