,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.7831102142805537 -10.589989534982704 -0.14575803466590329,9.989760857359729
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.707554911944772 -1.976254464395298 -0.6133251938968688,5.838215093884543
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.2102114079655046 -4.620653289474434 -17.11679424980328,16.17060794456481
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,1.3877966882420127 0.09534873682025456 -0.8127505124114615,3.72819887414882
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.0992768546963876 -1.676211484136066 4.120973818567056,5.669007716945906
5,-1.759033352229458 0.5444320590011676 1.033993487392955,5.086091616016108 0.07854605839427822 -2.9217873034758295,7.919658279361983
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,7.12529304142908 -3.0333233389560554 3.6947884759970635,9.872874069885254
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.865093604673559 -0.04108220040979159 0.6565981225636873,2.677803078064296
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.667542324833117 -0.25616360953645534 4.414280698909103,6.55524595834247
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,7.174849218813279 -21.829128717406935 -45.77114721282874,49.818338811832724
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.6137146985630202 0.6015810159558387 2.031120208101473,3.8150159826920538
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,0.880446000002728 -0.18820310580473343 -0.5490950298654472,3.0703202393196007
12,1.634958907181415 0.6915897345533922 -0.959767603724756,1.0761351280063283 0.3850451264135685 -0.5853066200703954,0.7392392313930015
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.8707739494577558 2.6409738651532075 31.030422127047558,32.704097772419175
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,2.619010149744534 -1.6486918548135479 -1.0160586673293972,1.6045602118457385
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.785068459722122 2.846210122680486 9.415900084223605,12.09404367835628
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-9.316385097234905 -5.038642717470584 5.001579714424381,13.427483752178293
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-0.12173458595350725 -0.03894274456175203 0.02155722913627421,1.991876163676559
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,11.494026017899031 -5.748312708137869 7.158096452509682,16.137146187009304
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,8.5181426082669 -4.083361742132314 5.457272078415161,13.36495605923516
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.41265130367351777 -0.2092643813595048 -0.07926021205476971,1.2386837046355548
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.5053892047967181 0.21372903935179838 -0.6900236585221691,0.7970959664890338
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-4.944699486172129 -0.8203697060929134 4.512071304969248,8.94374428447933
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.9326853578904128 -0.3137767337707048 0.4661375948185131,1.2727078273939183
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.03673319649926967 0.013845897024131098 -0.04478295511326557,0.605219500007242
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.6633627678619218 0.9794511504691573 0.43940121918231234,3.1051321084148693
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-2.3556005276651586 -0.6317311554593821 2.970387563267291,5.4694569504230515
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.034399464130190564 0.012102340491895076 -0.03569724188949391,2.0844551041928874
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.07212993991949743 -0.0616150444682519 0.26619434909555534,1.8642660052495161
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.3363451543996591 1.1306704921033368 2.7645972561998233,1.528191883540363
10,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.2311827534561655 -0.0452363959594813 0.5653424452510167,0.7756049168560981
11,1.2918975083772835 0.8688479430192452 -0.444140951402505,6.837948468113332 4.332516252018632 -2.1829457063838826,6.76602700103256
12,1.125527796586514 0.7774539872013634 -0.32807029736367843,-3.7026273735856914 -3.3770743560678294 1.1538979479543112,6.539680266069476
13,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.7810111402054055 1.941135888503629 7.950145876249059,9.8395059870484
14,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,8.849494568705861 0.19011302104232328 -2.0433477812440715,11.142474562794582
15,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.8301739137577248 -0.48342686609762825 0.7075568759712849,0.5947873239399784
16,2.0281460358843417 0.8277299971979065 0.9971722018834903,1.8563045816349133 0.7465807539936996 1.1737571141250285,0.25941649196326294
17,-1.4329236909046452 0.09447759282124091 -0.951476549724665,1.3394601647493174 -0.0036774177539967475 0.9416335422988293,3.3585134315218927
18,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,0.02103281699783418 0.021796489578216536 0.049304806966229624,1.976646699075714
19,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.32332604721581326 -0.18856550505484296 0.06263526596600147,1.3345307260602894
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.5986028048746894 0.9936596091478239 0.3833908413313474,0.2813037788282825
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,10.407355727779493 0.5663282435135644 -3.4903259975956176,12.91292738571792
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-8.220129421293484 -3.2649972197576367 2.9971503683565226,8.897884241279293
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-7.63601404290884 4.470102996087116 -6.62054535544909,12.067287868167822
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,10.832440150058794 -2.108630343396935 1.8139899158710913,9.427956393431595
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,113.07848561616167 22.280988964656693 -59.56517386984874,131.86512913504967
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-1.900474734541237 4.058524659196316 -3.7861571151376614,6.08403845477399
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-11.210599904193376 -3.0415891967953077 -5.596364200986911,15.08831796224742
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-20.228954209592164 -4.8992870551700145 4.115628514070155,19.006273561479293
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-7.514313232295465 -1.0057946205485324 -15.617341659696688,18.60236783627928
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,5.728659683622986 -1.9574185262577146 -9.649503050238414,10.435645141005484
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,3.3751368093655594 1.849357942756809 -0.9136034022637817,5.611046574359002
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.0006224342630159282 -0.14165701009951015 0.588294537725036,0.22126171337078152
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,0.39779787018008766 -0.20985752970331153 0.28297746109282057,2.524697934640095
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,11.535880539749787 11.018996940317015 39.79441545537932,43.965910827669134
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,-0.7642795498712572 0.04187417088149311 0.7627161048779709,3.1805393512599687
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,5.542046251755679 -4.690271538546185 -10.218869163036123,10.6432285900863
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-33.03307348991237 -0.30147974678256945 13.914634325980236,34.69546224778311
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-19.338292853740885 2.950249913146041 -25.08006887849458,33.69763929144336
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-3.743201191754731 -0.07023567913498228 -2.604969280097851,2.8283800401595562
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,0.6536620476937299 0.17401256275178642 0.4666655434444714,2.8005440616520128
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,-20.86526664989206 2.3355047545397634 -6.313207820340442,20.232766913950382
2,2.029294752646892 -0.5068285909554975 -1.4955514957188436,3.4977793748125867 -1.4980483107454023 -3.4994542533704625,2.674806512733447
3,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,-0.03629183882312 -0.009787167876880028 0.021916542056718738,1.2230341005737406
4,0.45357058902072955 -0.5857664362345507 0.696295740846494,-1.7885807597678307 2.613093273861206 -3.562152402870634,5.778782459002599
5,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,1.2993088701657634 0.8177444735359408 -2.820582152224458,4.364725253456605
6,-0.8650357536253384 0.3398042700488556 0.5993472556537052,0.12559016885524016 -0.03555849237291087 -0.06550579183054356,1.2507063989811873
7,1.4342114032216138 -0.419027360463262 0.07978750941271606,-58.1823261468349 13.919383945395655 -4.694981410782863,61.50219513541405
8,1.728382546845478 0.4439953450498987 0.247362103240496,7.7409867696057715 1.5229459301111217 1.9844431581635147,6.350826284502776
9,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,0.48114066340891914 0.05009573572922488 -0.8165595802145031,2.151905479093393
10,0.5190586580408638 0.48286723729437975 -0.38627130262387155,0.920680786889716 0.9613264748929661 -0.5253423435393788,0.6399721328666016
11,-1.2110973598736323 0.6387415479613107 1.4216168147294281,-0.36371564165410153 0.20200114594990817 0.4040486282595961,1.394361133005818
12,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,5.476700608147971 -1.653903565132748 -2.190237413160104,4.098186653190133
13,-1.9356160527772448 -0.8410459669549014 0.612978652561118,-4.306500361292143 -1.6110395339279564 0.8513523677194155,2.504157448248896
14,-1.4814106721574376 -0.16310506589811236 0.1635035819828512,8.955927915108967 1.5257947629255608 -1.8126118440622552,10.756182017523427
15,1.6457580204271904 -0.10698233056601003 1.055894025410392,12.671761290550041 -1.2617456330622618 6.330181333204616,12.27698387238132
16,1.6235392403865951 -0.5099916687245605 -1.4773906474166134,0.6572664325785699 -0.3082672932372215 -0.5220837027132396,1.3736765344772608
17,0.9286931458989471 0.29343198923814595 -0.11051744835857491,2.5050556199526453 1.1639963865438205 -0.2769788545830292,1.8084552577332709
18,-0.05680893578125312 -0.2933536280066664 -1.2519175014713881,-0.1394270507756218 0.28194208990159897 1.7905376023790882,3.097470576924762
19,-1.6533546004599535 -0.05764025577762777 1.5459131065105103,-1.514015400232532 -0.02233858437415238 1.3113528449145606,0.2751002309047682
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.8064239135718482 -4.194158640776556 5.261065410947746,5.8708046747575215
1,0.4709928888337087 -0.4835882504702588 1.0908725070025382,8.689729478553424 -7.745349961307358 17.5948660979678,19.81571645756973
2,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,-1.2767814068729977 -0.25722521646771235 -0.4391480761845236,0.7168755078369523
3,1.933393761196776 0.22538399326206593 0.009510405009429235,-0.20662130038607432 -0.03437157324091197 -0.03571161968559453,2.156196292003177
4,0.8281278138379884 -0.7128107622896663 0.34572582375485794,5.282471902650849 -4.598921037218398 1.9371055100284895,6.1217255440221345
5,0.8406396603165116 -0.7446820101459279 -1.4074916468700804,1.2755479134247711 -1.1893097690601155 -1.983882564868746,0.8479773127684933
6,0.7573828076600333 -0.4829897035929976 1.3574927623388051,-19.7404569053438 12.820029797933662 -31.023812328519746,40.56699003063029
7,0.2572835006161318 0.2613544055268545 -0.7416055739986945,-0.6219307161058885 -0.628310259329862 1.7876365552863571,2.8216283602436216
8,1.4923161734346615 0.6597033465429162 1.3150421514544268,-5.747804817357561 -2.696243750807401 -5.205642053862156,10.305389628101857
9,-0.09186964851175228 -0.7418495760640871 -1.420202144873266,0.3407853370849857 2.3667153332319923 4.669688169668179,6.851067812758414
10,-1.4231014081524735 0.008198818233434602 1.551011750493445,-4.642793889449207 0.3089305562890222 5.581062478211364,5.1670270098357705
11,1.7482746021632543 0.681677527665291 -1.3140353666280113,-115.49947157624321 -45.29999385583096 87.58283228042558,154.15576915767255
12,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,-2.0028361395833887 -3.0651736401446885 10.090356887392158,9.181760763583322
13,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-4.259820200640422 0.5686781024593882 2.6925761968513124,2.675617794217942
14,0.6475404019334752 0.59449251027997 -1.331433030984044,-0.6345925884274012 -0.5470415497940609 1.4262930950296386,3.248387046116774
15,1.6166046332162294 -0.6775229796402341 1.3343980747415785,2.7021254838762356 -1.3440855297501673 2.6728709474379624,1.8477474885305056
16,1.7327907890207053 0.40991595622963495 -1.444314435548648,1.7938624770018343 0.44341908810606695 -1.711507553007037,0.2761238362320907
17,-0.27911076623878817 0.5701822910079993 0.3227161255574096,-6.843500799939398 14.846649643001262 6.302850714385353,16.81281494181072
18,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-1.2446621598260472 -0.9376388894000603 1.7498346970080427,1.4013035871243966
19,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-4.048669823896187 1.3379219293389544 4.7455619593433065,4.59852398340929
0,-1.8956553329586494 0.48868895694739123 -1.1129498407858318,1.3312006159905831 -0.3992412448968463 0.8904124825547227,3.9005743112004243
1,-1.8240322652140168 0.5867957763527899 -0.1862137938943753,-0.7547215162174518 0.22088789524291483 -0.04550551924132127,1.138908632829584
2,1.5762315415935233 0.2092796576284287 1.069374539624862,3.1725203491257963 0.7342611356039539 2.4322183447093235,2.1635819250324837
3,-0.132270951051088 -0.5644887544039232 -1.5939341853059013,-0.3518162829742712 -0.8111216371596001 -2.6251267914949294,1.0827678064500055
4,0.052810176013954546 -0.48396116352348 -0.5221889873989345,0.1887886058873637 -1.8159780662641651 -1.9412847596004568,1.9510489417895085
5,0.3712252395078175 0.490331829528036 0.8088986527787063,3.043105961249683 3.991295052506792 6.442160206090705,7.150477313290962
6,1.8047373429757445 0.04298054037927235 1.409478776478449,6.900543596229815 0.37856973753785395 4.8396395811957715,6.151899269833001
7,1.8445034203979604 0.7668637020642585 1.4968127151371902,31.628700798098524 13.621284086887398 29.538595519712814,42.87978684325022
8,1.100150548608379 -0.6759965343067005 -0.5572614048725637,-11.399449133017812 8.696174686770089 4.782231677004461,16.510232341475458
