,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-0.845555839482857 -5.021802589460179 -0.06911886678470215,4.344548654928449
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,4.313801819225913 -2.2994049464502613 -0.7136140664256758,6.532452720133878
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.9545214403515703 -3.644415020553229 -13.500407444506095,12.416525966017229
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.127753918173074 0.14618758646783184 -1.2460997363174917,4.583652215366589
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.0761796656885476 -1.657769050790702 4.075633009435154,5.614884271367046
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.503958809900152 0.06955600457015457 -2.587371730525803,7.250163041719866
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.948749331701266 -2.532454466157591 3.0846970573096324,8.456188777380214
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.5949456391542266 -0.028253215430818587 0.4515582910169879,2.338448961079284
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.2349249492657774 -0.22594696343992798 3.8935792694943774,5.877612752374481
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,14.979676149452482 -45.57493388907113 -95.56116669870497,105.53029316370159
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.7323169264840577 0.6457950575276842 2.180400240111336,4.010491110773972
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.28181490692326 -0.27399925327506197 -0.7994109742071879,3.54903178686783
12,1.634958907181415 0.6915897345533922 -0.959767603724756,2.807781135767066 1.0046344685039441 -1.52714361208323,1.3399345208552467
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.555415733562444 2.1957822873133157 25.79959316275685,27.44489816471346
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,5.02342327766385 -3.1622928387555267 -1.9488632991485286,4.594643344852052
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.429286225572861 2.578677049743715 8.530840803489426,11.103344576635472
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-6.562019757164409 -3.5489809315791163 3.5228755102477036,9.964520493122487
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,0.7885064648500018 0.2522422498538852 -0.13963176039960362,2.9589556069220277
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,9.695602026908743 -4.848897353941622 6.038097909791142,13.835528462811359
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,6.072597412453666 -2.911035080032559 3.890497943797888,10.233078408605047
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.8987723754581471 -0.4557868676505334 -0.17263216772518225,0.6874965796498548
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.0560490370632292 -0.3552791032346538 0.5277923085020698,1.1287138706302626
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,6.192272146190725 0.13302811315253532 -1.4297952784244308,8.414913679497205
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.3942410048769138 0.8209820387006087 0.3683088314910172,2.7850880469274375
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-2.29048988592589 -0.6142696120204268 2.8882837268199575,5.36323865146102
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.1604250230412466 -0.056440363283488115 0.16647732740711388,1.7995275933539596
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.031543926147326026 -0.02694554320217003 0.11641233720806099,1.7054138332654556
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.5345626859377464 1.7970059840705288 4.393851124295549,3.289252596264111
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.08104194838193138 -0.015857781826393903 0.198182834061776,1.172889026916831
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,9.890057506059605 6.266329013477422 -3.157300566013078,10.50820595278055
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-0.3129496623185196 -0.2854336050382728 0.0975285754484735,1.838499886878927
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.9249823508955612 2.298963926537092 9.415671869470994,11.354662377680787
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-1.0145438124363286 -0.5907891438612074 0.864695262724119,0.33007308196730234
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,0.163152632714808 0.06561779610595915 0.1031627919425648,2.2041479591855926
14,-1.4329236909046452 0.09447759282124091 -0.951476549724665,0.8245252256833205 -0.002263690838550236 0.5796369533096433,2.729421742080603
15,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.06934816032173742 -0.07186609639007872 -0.16256489363638196,1.7295407817341206
16,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.8006468182484607 -0.4669415685919108 0.15510264897511328,0.7995907891580645
17,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.3229427352237548 0.13657244735327903 -0.44092379801005693,1.11535075453815
18,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-4.053204793775858 -0.6724627926738553 3.698576444191054,7.728616177332025
19,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,1.0099027368984992 0.3806641031025653 -1.2312140854986247,2.1818621494428334
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.7617982107893153 1.0950986174877093 0.4225297842784193,0.47711393526603724
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,3.967960012036422 0.21592111221397592 -1.3307389840113986,6.112058031425826
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-5.239512333315272 -2.0811099587855804 1.9103843157415112,5.511628612965319
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-6.6114145754696905 3.8703051010790155 -5.732201357228018,10.584512940281328
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,8.092708537676959 -1.5753173381456873 1.3551971186612288,6.599799991276413
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,90.09088806111795 17.751511896963315 -47.45623698627422,105.49142741453622
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-86.70364106582981 185.15840222033805 -172.73242393773603,267.86938766830593
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-9.351775789759728 -2.5372647722755133 -4.668433776312981,12.950551119129212
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-16.457609331181484 -3.9858982090665513 3.348339490764171,15.050776827388503
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-6.075945774897009 -0.813268410061896 -12.627916635752252,15.279333994124668
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,4.317216966356091 -1.4751444384064223 -7.27203230530316,7.62921161426036
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,3.5159060794237478 1.9264904509727125 -0.9517077196065575,5.775918651783855
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.00537162435838018 -1.2225037906796012 5.076997614870932,4.4012551376492635
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,0.3784315817115201 -0.19964088008752712 0.2692010596778371,2.498833299385938
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,8.103940371710562 7.740830346907106 27.955522672607888,31.211159762109023
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,-1.7448287708129009 0.09559755736009477 1.741259469755022,4.566185329335421
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,4.778904565872465 -4.0444195253042725 -8.811727344537424,8.917181959223306
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-79.17246928509087 -0.7225756937061587 33.350089543540776,84.76288796192766
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-20.287751241705973 3.095099282623238 -26.31143309184718,35.25922123454378
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-3.2111263017692693 -0.06025207437146663 -2.2346876222012235,2.182108327136078
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,0.1906683941817208 0.050758180047917954 0.13612289424242005,2.219457219565862
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,-15.871097955941332 1.7764941784752626 -4.8021212196373435,14.985164798040111
2,2.029294752646892 -0.5068285909554975 -1.4955514957188436,1.3945845359385691 -0.5972803840340488 -1.3952523195481368,0.6489210358784602
3,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,-1.488753272686115 -0.4014863583531396 0.8990540234659222,0.5356495707793724
4,0.45357058902072955 -0.5857664362345507 0.696295740846494,-1.4146484342679941 2.0667830000272542 -2.8174256554112973,4.782520139143221
5,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,2.8511490666081216 1.7944242866197766 -6.189367559370485,8.19857693746047
6,-0.8650357536253384 0.3398042700488556 0.5993472556537052,0.18028398806107135 -0.05104401779901003 -0.09403319941325174,1.3138615611782738
7,1.4342114032216138 -0.419027360463262 0.07978750941271606,-44.537968666885554 10.655144389686905 -3.5939596921123202,47.429685207166365
8,1.728382546845478 0.4439953450498987 0.247362103240496,9.743539981269356 1.9169241597999616 2.4978083321420472,8.454393900280408
9,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,2.121433663356615 0.22088089460913418 -3.600354560202989,5.383291361454089
