,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-0.9516336485327433 -5.651804525815775 -0.07779005987470128,4.983052358355877
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,4.623702652999799 -2.464592764516646 -0.7648796561411011,6.887335584387492
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.0369702740437456 -3.959209173133172 -14.666534051110885,13.627024862616308
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.006549630492084 0.1378602314413398 -1.1751175472448432,4.443435568232596
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1328420066388194 -1.7030122812900041 4.186863704439677,5.747660664581087
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.600168473160906 0.07104179963620809 -2.642640922237128,7.360787103006424
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,6.2217152354100556 -2.648659349471841 3.2262422919405833,8.784865674394005
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.7426132138370191 -0.035265761662085116 0.5636366277154093,2.523944612538273
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.4468070352896847 -0.2407461055205767 4.148602094029196,6.2094954343654525
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,15.933018758197441 -48.47543226658606 -101.64290912399666,112.33538872298855
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.8238394849324517 0.6799139967325456 2.295596140679892,4.161350350575666
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.121472009807231 -0.23972454337704227 -0.6994122373393217,3.3577215656803316
12,1.634958907181415 0.6915897345533922 -0.959767603724756,2.2188143471383026 0.7938999745923006 -1.206806368725454,0.6421703133882318
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.638675198836306 2.3133197759439628 27.18061322360871,28.833408389603214
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,5.278985271415384 -3.323171549950732 -2.0480099094877646,4.912476012247661
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.6444478356757597 2.7404694081128587 9.066086135046337,11.702476272374367
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-8.511756657575665 -4.603470149414971 4.569608167580204,12.415853108819972
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,0.511420775168543 0.16360287797395734 -0.09056435974218427,2.664406202585027
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,10.181522211802374 -5.091912392328956 6.340712811329855,14.457406119015348
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,6.389039747769331 -3.0627287748956804 4.093231333031206,10.638322850132779
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.7787229001895326 -0.3949071880009668 -0.14957360282511245,0.8233887560612269
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.0170956912473887 -0.34217430479846855 0.5083242008759362,1.1741806938640527
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,6.771045295661642 0.14546185285256288 -1.5634339649768982,9.00899837890326
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.3692679429555548 0.8062769516912048 0.3617118376980965,2.755392702276857
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-2.3559508488452208 -0.63182510551639 2.9708293146016915,5.470028448658653
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.04869864027155366 0.017133043812197043 -0.05053587854984614,2.1054112913536884
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.01888527356913779 -0.016132232635382934 0.0696957894438677,1.6558744880980012
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.5122158725460677 1.7218840976273913 4.210170942853021,3.0901231491413776
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.37169003383731225 -0.07272998220451483 0.9089438959591869,0.4046563723104788
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,10.502901920058102 6.654626526392128 -3.3529449304679746,11.259617075036207
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-0.3183081303273923 -0.2903209304628265 0.09919850455981943,1.8459046800247427
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8745458417616434 2.1736083292469686 8.902263565207937,10.823858584060732
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.9412704001777904 -0.5481205710845852 0.8022443644120605,0.43523953638529284
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,0.36478537025535446 0.14671177320009166 0.23065688018118735,1.953995973328305
14,-1.4329236909046452 0.09447759282124091 -0.951476549724665,0.9958250848370609 -0.0027339856333394494 0.700059865028272,2.9386805263429796
15,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.20454708600060797 -0.211973908617467 -0.4794961412826073,1.3609554382807778
16,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.7312218654814034 -0.42645255944879434 0.1416535302954196,0.8754308255689562
17,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.4491827045906245 0.1899593165711012 -0.6132831691392674,0.8951405624579869
18,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-4.26628981042604 -0.7078154956987741 3.8930179450011404,8.01903475143233
19,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,1.15148529253864 0.4340310211121557 -1.4038232194241165,2.4113601760481083
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.7883501665968302 1.1116027834689979 0.42889770546871997,0.5089932953522499
