,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-0.8763384465296844 -5.204622184050925 -0.07163515112265524,4.529823019268087
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,4.448081418694912 -2.3709805978513683 -0.7358273750176497,6.686222753039826
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.9865082636185859 -3.7665424597558075 -13.95281755150282,12.88614670767326
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.191900172201011 0.15059476249378323 -1.2836664067615062,4.65787253906555
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1224652100654473 -1.6947267111681226 4.166493591320106,5.723344799806339
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.638881596804551 0.07163965816883132 -2.6648803000697465,7.405303210870998
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,6.108901981593409 -2.600633384258068 3.167743489474785,8.649027504926632
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.6169592222194541 -0.029298612629847166 0.4682663989413117,2.366101565546645
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.3881003220442834 -0.23664566925099723 4.077942265669244,6.11753978981253
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,15.460506264254379 -47.03783605566917 -98.62856857681709,108.96252710452856
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.7727130589723465 0.6608544397373348 2.2312452879374303,4.077075632141314
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.3240087651553372 -0.28301856299438266 -0.8257254078533276,3.5993877718352514
12,1.634958907181415 0.6915897345533922 -0.959767603724756,2.887425570150006 1.0331315415080846 -1.5704619774844784,1.4346676151246092
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.601580150848602 2.2609526514762917 26.56531975204033,28.21477777103636
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,5.14956896965899 -3.2417027543423336 -1.9978021792481064,4.751525745762714
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.5451005696681666 2.6657644992900993 8.81894557726711,11.4258372563979
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-6.786478729101576 -3.6703765751166304 3.6433781976145756,10.246724322368056
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,0.8143978394654994 0.26052486879990144 -0.1442167046935166,2.986483640107544
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,9.958690346500415 -4.98047126272836 6.201940549805461,14.172227108139332
