,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.14668395455272 -6.810219010239637 -0.09373419447656926,6.1573296724239395
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,4.680781516252078 -2.495017764551441 -0.7743219720886899,6.952699616680061
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.0951214476917581 -4.181233531881531 -15.489003305793354,14.480808041570269
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,1.9519158781116892 0.13410661297448784 -1.1431217869016082,4.38024212098623
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1160609395804113 -1.6896130875360056 4.153921723566306,5.708337724549202
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.6500857357975915 0.07181268709202919 -2.671316698296069,7.418187118655561
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,6.335577545317224 -2.6971319105385496 3.2852850776968068,8.921967399069626
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.7054292130361914 -0.033499940524713646 0.5354143116754673,2.47723487076884
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.480067257910589 -0.24306920309544772 4.188634340627346,6.261592820376466
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,8.795207641592073 -26.758990168212875 -56.108042336991645,61.38468183557412
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.7971095006531181 0.6699492544434879 2.2619521444516035,4.1172892488593735
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.0467049743329677 -0.22374242943930459 -0.6527833610918695,3.2685444149104543
12,1.634958907181415 0.6915897345533922 -0.959767603724756,2.3694155660734224 0.847785647379826 -1.288717913232603,0.8197756114326662
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.6721832282704172 2.36062310194651 27.736409020469893,29.39221865461426
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,5.71393987899191 -3.596979621597568 -2.2167528213722774,5.453415077748159
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.712575465207086 2.791698481211453 9.235563374221309,11.892182151696128
