,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-0.22849258288730384 -1.3570300042131938 -0.018677830204022045,0.6471808231134009
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.947803934434633 -2.104315468086044 -0.6530685778255599,6.113332829174047
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.8020820621560752 -3.0623931443187504 -11.344359786248843,10.178551560755032
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.204723334943564 0.1514757794178773 -1.2911761754315452,4.672710503220321
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.9967199406539338 -1.594322772453785 3.9196500356955886,5.428687040326257
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.249435727515827 0.06562532726408785 -2.441156843595677,6.95755893913823
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.503409556467593 -2.342867943031125 2.8537681313174925,7.919962911762631
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.4829154515363375 -0.022933043608023305 0.3665284046983615,2.1977223133182644
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.957642812640944 -0.20657988143057998 3.5598404669269206,5.443291325781999
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,19.571346706548415 -59.544867550667064 -124.85321488148351,138.30629393407293
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.624900115814761 0.6057508575518681 2.045198859697251,3.8334502472922325
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.4116263574980965 -0.3017475969180863 -0.8803686051465593,3.703970278922606
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.1310256931029623 1.120292565895935 -1.7029553427726047,1.724624585528629
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.4052816757945357 1.983837854930464 23.309328002962907,24.94112698836773
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,4.286989254540452 -2.698700601188387 -1.6631598733012587,3.678778180578218
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.0846473660153904 2.319523319453312 7.673502263575104,10.143674951957408
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.778694367669822 -2.584493161604452 2.5654822725034463,7.722415399495378
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.0897747925300938 0.34861761793434876 -0.19298151569250183,3.279309262138211
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,8.886223411152235 -4.444116524717555 5.534043874315517,12.799693943832386
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,5.478198092933529 -2.626096502164369 3.509687365832442,9.47188187821532
0,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8977270147034704 2.2312231370500366 9.138231654499995,11.067820784402368
1,1.125527796586514 0.7774539872013634 -0.32807029736367843,-0.2916156051571917 -0.26597534200473555 0.0908799656111416,1.8090216994275892
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.7595367702705729 1.0936929511801612 0.42198742592620236,0.4743989184251864
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,-0.28064970959656715 -0.01527187704886255 0.09412179262864895,1.6251541078863316
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-3.619261914517073 -1.4375540192667078 1.3196230405052034,3.6708749192023116
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-6.236512568508069 3.650838429705553 -5.407155367659251,10.041966425456518
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,6.673065928140882 -1.2989713402191967 1.1174651448708735,5.134535647992263
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,81.49127189141025 16.057043210603798 -42.926306915390875,95.62507620619938
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-153.1221702191046 326.99729831131145 -305.0525133133798,472.90182265285796
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-8.398699301769762 -2.2786820760448188 -4.192655211046884,11.854470995088795
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-14.814804495315935 -3.5880243307070705 3.014106966656,13.32775743320857
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-5.405407664729498 -0.7235165454229985 -11.234306542773163,13.730204024789929
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,3.6803972381704018 -1.2575503059777466 -6.199356627404708,6.3630493621265085
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,3.265215087790516 1.7891279075439486 -0.8838490946650538,5.48230820853683
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.008052047204557397 -1.8325291519958167 7.610402687334144,7.006974530248264
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,0.6056011061465196 -0.3194837419917977 0.43080035439798664,2.802234881023033
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,6.464451717787591 6.174801607357285 22.29990822655136,25.118030423229477
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,-1.5288780810775893 0.08376581845582082 1.525750538568294,4.260980196402534
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,4.559730955450603 -3.8589314040825466 -8.407597471355345,8.421469958375432
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-118.56081252474804 -1.0820574642929346 49.941775844041864,127.50458527928457
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-22.45663395034035 3.425984023648074 -29.124283643513287,38.826416929223925
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-2.850718151834958 -0.053489544152097765 -1.9838723144523855,1.7452085252585927
0,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,2.0507132575478453 0.2135175785781034 -3.4803326429726655,5.243864051042764
1,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,5.434033583766368 -1.641018591352484 -2.1731740533390878,4.050470432782742
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.7418065936590588 -3.858088137292032 4.839505557600174,5.328229694374974
1,0.4709928888337087 -0.4835882504702588 1.0908725070025382,7.406846711397877 -6.601887898941273 14.997299561149688,16.701148830208485
2,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,3.3639653464784725 0.6777171955824718 1.157033539418056,5.69953638828407
3,1.933393761196776 0.22538399326206593 0.009510405009429235,11.412302504751702 1.8984431452932384 1.9724578541763642,9.823543178661572
4,0.8281278138379884 -0.7128107622896663 0.34572582375485794,6.241868043457957 -5.4341714988005645 2.2889202635958315,7.44149414493496
5,0.8406396603165116 -0.7446820101459279 -1.4074916468700804,-0.9588978529713199 0.8940680095721248 1.491391042216674,3.785149631645085
6,0.7573828076600333 -0.4829897035929976 1.3574927623388051,-12.494290654176224 8.114157603273252 -19.635843805024162,26.272380394354677
7,0.2572835006161318 0.2613544055268545 -0.7416055739986945,-0.33086504573618863 -0.33425894123919847 0.9510166250155113,1.8882912593183
8,1.4923161734346615 0.6597033465429162 1.3150421514544268,-2.8641027897867315 -1.3435249619667318 -2.593945758922285,6.186396069005013
9,-0.09186964851175228 -0.7418495760640871 -1.420202144873266,0.3428491437407258 2.3810482352833167 4.6979679472173785,6.882839272001657
10,-1.4231014081524735 0.008198818233434602 1.551011750493445,-1.2814760742718678 0.08526915601305014 1.5404513327841893,0.16158308879474687
11,1.7482746021632543 0.681677527665291 -1.3140353666280113,-79.49212018370504 -31.17756736689258 60.278587725564044,106.81134981635601
12,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,2.6059685201392884 3.988217436819039 -13.128958423420633,15.521305478176007
13,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-2.99229009200695 0.39946518195174435 1.891387123475458,1.1683267811295284
14,0.6475404019334752 0.59449251027997 -1.331433030984044,-0.5724263824282363 -0.49345205269817666 1.2865700160372922,3.086402806062839
15,1.6166046332162294 -0.6775229796402341 1.3343980747415785,2.5679830273403255 -1.277360673398784 2.54018078296105,1.6488899439018976
16,1.7327907890207053 0.40991595622963495 -1.444314435548648,0.5560163412957263 0.13743988861481188 -0.5304900347285654,1.5146340626618198
17,-0.27911076623878817 0.5701822910079993 0.3227161255574096,-6.514799544600047 14.133547896117378 6.000117507712338,15.97127382310313
18,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-0.25735353994669063 -0.19387163454259196 0.3618059326713198,0.47543702889483425
19,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-2.1713421736571377 0.7175409298846508 2.5450924052159345,1.642223915702118
0,-1.8240322652140168 0.5867957763527899 -0.1862137938943753,0.8985019314240867 -0.2629687854914388 0.05417468039562641,2.8621807911104558
1,1.5762315415935233 0.2092796576284287 1.069374539624862,1.1783678245826092 0.27272628756364165 0.9033977797982587,0.43573994189931053
2,0.052810176013954546 -0.48396116352348 -0.5221889873989345,0.20948507583899648 -2.0150596543960466 -2.154103438491514,2.2432018163045946
3,0.3712252395078175 0.490331829528036 0.8088986527787063,1.8996635084746472 2.491571985777609 4.02152827246028,4.08192047672214
4,1.8047373429757445 0.04298054037927235 1.409478776478449,4.026184687148297 0.2208799435924751 2.823731565694796,2.639429380074625
5,1.8445034203979604 0.7668637020642585 1.4968127151371902,22.893028446510865 9.859160705641948 21.380198694200477,30.348958937146094
6,1.100150548608379 -0.6759965343067005 -0.5572614048725637,-18.03973000081482 13.761774061070113 7.567924313520381,25.314084817928784
7,-1.402499155729641 0.7279358108222199 1.5992697717098476,8.080438798461579 -4.178568457755243 -9.097857016441347,15.113848547024386
8,0.43961410095011866 0.47273358494465956 0.6851576174865506,25.547697405623804 27.90274629433262 36.16154858698419,51.394510997695775
9,2.055288986604768 0.10444668422611947 -0.013637257030095329,84.22490319142844 4.341928387629531 -0.09982644419831019,82.2788501276739
10,1.0131699388289115 -0.509643779288385 -0.12114856608202662,7.689198006475832 -4.850703410216632 -1.1182032529483579,8.025476155835644
11,-1.0783979787569005 -0.1747278807945497 0.062480411251896184,-224.17346416274114 -83.04823651875158 12.166048445745709,238.29797176805235
12,-1.9628270611854202 0.7984954605508562 1.1662621861861622,-7.829480785564213 2.9593909966665684 4.574420239718522,7.120578400497382
