,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-0.28481725945547076 -1.6915453530912996 -0.023282017928380475,0.978615430574927
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,4.200675042040144 -2.2391044778757436 -0.694899980134235,6.40290608012938
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.8667029719392706 -3.309119309179909 -12.258334658501564,11.127234239935126
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.103233738134949 0.14450292457675745 -1.2317397158193504,4.555283311211353
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.043235733870776 -1.6314642798301648 4.01096260629229,5.537687051618752
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.320616615877855 0.06672459535360363 -2.4820478521672467,7.039381709854079
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.722502004597512 -2.436138245380431 2.967377529249854,8.18376738731601
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.607951618608937 -0.028870852934549367 0.46142971030147917,2.3547865557098344
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.130380180921709 -0.2186449167707358 3.7677484236038303,5.713858703470638
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,20.682629629387844 -62.925891628568216 -131.94251985572785,146.23879063902652
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.6989249677832705 0.6333467799865162 2.1383710746301925,3.955453471568353
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.2785863237036974 -0.2733091151072825 -0.7973974503802146,3.545178868969255
12,1.634958907181415 0.6915897345533922 -0.959767603724756,2.627491806442931 0.9401262800859741 -1.429084794714296,1.1256778386110533
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.4706173870127959 2.0760723581095557 24.393047764862068,26.030724279414283
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,4.4748543019789215 -2.81696343936264 -1.736043099720493,3.9124145827606593
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.24726917410044 2.441807986498477 8.078047310180953,10.596506095225708
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-6.388434735327064 -3.4550997859400963 3.4296849309738544,9.746278613505096
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,0.8706850151905337 0.27853106719613735 -0.15418425446611553,3.0463313539985273
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,9.275488302256669 -4.638792986810384 5.776465079188561,13.297870641757491
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,5.723640527992498 -2.743754810472441 3.666933635272168,9.786197876087735
0,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.9116887031530356 2.2659237105993846 9.280351855017997,11.214756593342036
1,1.125527796586514 0.7774539872013634 -0.32807029736367843,-0.2949019632852248 -0.26897274753309364 0.09190413615750366,1.8135622786956453
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.7832924961723418 1.1084590364407363 0.42768473091787584,0.5029205970965076
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,-0.3375656120997905 -0.018369021408654453 0.11320973959421388,1.5650548486518863
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-3.723305845138649 -1.4788797851764428 1.3575586117116534,3.789078403287891
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-6.332971479526119 3.7073052283151635 -5.490786774273186,10.181558615320268
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,7.189019972624032 -1.3994063612231795 1.2038663084849888,5.667044521870058
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,86.0858285640117 16.96235482635374 -45.34653358863582,100.89641725858219
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-81.89414447635926 174.88756822716803 -163.1508654978918,253.02258500376055
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-8.716834413027819 -2.3649964861382364 -4.351469187367243,12.220338687169015
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-15.600371182778009 -3.7782821494246956 3.1739323647029973,14.151681382532525
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-5.6441438970035165 -0.75547151066443 -11.730482998386933,14.281751098959528
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,3.971511695180364 -1.3570208388568055 -6.689717374250395,6.941853855735288
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,3.5258017722995403 1.9319126543536678 -0.9543863484117645,5.787508930355198
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.006352184928328785 -1.4456651537564862 6.003775688452898,5.35447650104477
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,0.24946610499894298 -0.13160538168815378 0.177460188485568,2.3265961952026983
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,7.064560827791433 6.748021867761621 24.370057198687718,27.348324356914954
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,-1.5974002251975306 0.08752008346595759 1.5941325106750346,4.3578214792067715
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,4.504430778789312 -3.812130487437569 -8.30563057242961,8.296396408566547
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-123.23848535945228 -1.1247487271016763 51.912167942474895,132.5804961435792
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-18.839019837327637 2.874080822914045 -24.432555587868425,32.876482996955474
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-2.8826094678901555 -0.0540879379137206 -2.006066125142731,1.7838238715773702
0,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,2.082563839842899 0.21683381949228878 -3.534387309489872,5.306657901468529
1,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,5.481957701271922 -1.6554911496443052 -2.192339825336407,4.104065882087745
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.7523851992764373 -3.9131067812220937 4.908519800820144,5.417049909822357
1,0.4709928888337087 -0.4835882504702588 1.0908725070025382,7.520480248150788 -6.703172008149109 15.22738346287994,16.977026717113798
2,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,2.4745816571129846 0.49853859007615975 0.8511306385203149,4.742478127786126
3,1.933393761196776 0.22538399326206593 0.009510405009429235,7.756237989630507 1.2902546912462347 1.3405579229202742,6.067219462568164
4,0.8281278138379884 -0.7128107622896663 0.34572582375485794,6.010988254055483 -5.233167510493734 2.2042556367984196,7.123889425010559
5,0.8406396603165116 -0.7446820101459279 -1.4074916468700804,-0.5615332520768752 0.5235687153091896 0.8733627460518434,2.9625741409420328
6,0.7573828076600333 -0.4829897035929976 1.3574927623388051,-13.485772230339608 8.758054723358448 -21.19404169748282,28.22828499979953
7,0.2572835006161318 0.2613544055268545 -0.7416055739986945,-0.2291173661093884 -0.23146757024403755 0.6585598178404416,1.562025104618394
8,1.4923161734346615 0.6597033465429162 1.3150421514544268,-3.351591407667484 -1.5722015056763319 -3.0354519218239395,6.882705761925963
9,-0.09186964851175228 -0.7418495760640871 -1.420202144873266,0.3385852069484465 2.351435680140714 4.639540388785915,6.817197711162663
10,-1.4231014081524735 0.008198818233434602 1.551011750493445,-1.3777372102285654 0.09167435232118169 1.656166013812526,0.14171624585308754
11,1.7482746021632543 0.681677527665291 -1.3140353666280113,-84.16700725536644 -33.011102644005675 63.823537713122846,112.9581449877573
12,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,2.7590780330173432 4.222538774273448 -13.900329379466843,16.341849087836582
13,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-2.958444456639176 0.3949468523530949 1.8699937435048954,1.128142752183933
14,0.6475404019334752 0.59449251027997 -1.331433030984044,-0.4786275376141844 -0.4125940874907214 1.0757502757507342,2.8420079373036504
15,1.6166046332162294 -0.6775229796402341 1.3343980747415785,2.448112027575914 -1.2177346948195404 2.4216075654615357,1.471481471444119
16,1.7327907890207053 0.40991595622963495 -1.444314435548648,0.8511414291285854 0.21039090855185216 -0.8120661440365741,1.1031109375620127
17,-0.27911076623878817 0.5701822910079993 0.3227161255574096,-6.27919212539501 13.622408801012737 5.783123540171032,15.368072173129974
18,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-0.07666963874343853 -0.05775738770121207 0.10778763781096037,0.8099123586009631
19,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-2.1933382833973716 0.7248097561564075 2.5708746759806917,1.6768220258764641
0,-1.8240322652140168 0.5867957763527899 -0.1862137938943753,0.9265015666108055 -0.2711635703903257 0.05586290301862117,2.8913892383878586
1,1.5762315415935233 0.2092796576284287 1.069374539624862,1.1875659826582472 0.2748551470352424 0.9104495639783877,0.4249920109809667
2,0.052810176013954546 -0.48396116352348 -0.5221889873989345,0.21081873086424963 -2.027888226663102 -2.1678172119627432,2.2620277923097785
