,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-0.23771615057152362 -1.4118092794754933 -0.01943179879636857,0.7009434158742099
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,4.056694722744312 -2.1623580086928516 -0.6710819223180315,6.23802803370271
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.8264080474104254 -3.1552710853507064 -11.688417759741629,10.535670523374531
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.263491876416374 0.1555134790619796 -1.3255934374126255,4.740716766565114
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.0362208208630843 -1.625863075912062 3.9971920201118385,5.521249071125315
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.362726220217839 0.06737490676974742 -2.5062383930783705,7.087789892261959
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.634833360465496 -2.398816644318682 2.9219173503965936,8.078207245108404
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.49952134487511096 -0.02372163646600027 0.37913212564928206,2.218581648697145
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.0866457905919753 -0.2155902391977236 3.7151093923365126,5.6453552438276855
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,20.128415395575693 -61.2397218599852 -128.4069722073193,142.28273002885533
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.6574307120275396 0.6178780254686995 2.086143861566665,3.8870639943997194
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.452674216249189 -0.31052193913051696 -0.9059683298619582,3.75297297553012
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.2107992489824597 1.1488358390488027 -1.7463439369627491,1.8196288387838844
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.4422316418812662 2.036000167101658 23.922215009211676,25.557337962474396
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,4.380353370921524 -2.7574742024378334 -1.699380969915104,3.7948893109098125
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.1739733089323776 2.3866926205250754 7.8957133444011465,10.392408927112784
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.925277285911127 -2.6637705793790074 2.6441765453040023,7.906708104303225
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.1221482271199552 0.35897383990647636 -0.19871432812140655,3.3137384095778164
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,9.100133907125558 -4.55109596086053 5.667260204259156,13.073453984904976
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,5.629017613760057 -2.698395205019154 3.606312087645362,9.665022628756752
0,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.9052752242664642 2.249983561482421 9.215067136148205,11.147259684746151
1,1.125527796586514 0.7774539872013634 -0.32807029736367843,-0.2885741813800259 -0.26320133500714377 0.08993212714368803,1.8048196393611768
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.7930877898498463 1.1145475955608617 0.4300339235207255,0.5146818160575307
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,-0.31094570462352267 -0.016920468496862604 0.10428219281400654,1.5931635184897783
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-3.678830334158062 -1.4612143188246896 1.341342347065867,3.7385501280588254
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-6.401797673485135 3.747595905374771 -5.550460176677644,10.281161700986992
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,6.867784860749745 -1.3368751037337065 1.150072588372857,5.335498006243333
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,83.68196231935732 16.48869693309663 -44.08027405179752,98.13845828070907
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-157.40335386107293 336.13990308562364 -313.5815579845062,486.1177357190186
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-8.633856618694745 -2.3424834747941268 -4.310046430186446,12.124910830278138
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-15.19685442118047 -3.6805536941543036 3.091835926462577,13.728461844464507
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-5.545198754384257 -0.7422276533617904 -11.524840772666149,14.053160283075972
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,3.813703797350466 -1.3030996566149808 -6.4239016554681125,6.628092859223426
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,3.3674532191473934 1.84514782938913 -0.911523559412541,5.602047561329126
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.00824450829373811 -1.876330504321335 7.792307531294713,7.194074429493829
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,0.6255355849452386 -0.33000013936398165 0.4449809436407506,2.8288593494101426
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,6.645845532698929 6.348067781934351 22.92564813489602,25.792176963810615
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,-1.5801603965839095 0.08657552917367534 1.5769279486385914,4.3334565397254625
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,4.69447682401492 -3.9729677515893345 -8.656052705860507,8.726228566890626
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-121.71488758187284 -1.1108434550922945 51.270377648835755,130.92718543497284
