,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-0.43511444341904 -2.584168586677431 -0.03556786653992497,1.8767474875778958
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,4.238352197003992 -2.259187699155387 -0.7011327531942472,6.446051882031374
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.913210446260794 -3.486687387611889 -12.91611962383897,11.810019316357469
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.0586388111419565 0.14143902480426296 -1.2056231022897284,4.503691823921344
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.025847045068195 -1.6175799177939008 3.9768278369147594,5.496940300105238
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.356729161005041 0.06728229236192998 -2.502793285756478,7.0808956846442115
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.809697765051015 -2.4732585341466304 3.012592496410669,8.288758423800834
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.5711697437502588 -0.027124128249233617 0.43351260416856097,2.3085826986168674
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.150731408259669 -0.22006637108309357 3.7922433093012033,5.745735903893257
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,14.55393534119496 -44.279638250057914 -92.84520088326073,102.49129458957947
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.6716361456147495 0.623173707026968 2.1040236907889676,3.9104765916814173
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.2180749899729817 -0.26037428327833195 -0.7596592215712218,3.4729718422048985
12,1.634958907181415 0.6915897345533922 -0.959767603724756,2.7724190006288847 0.9919817658459054 -1.5079102544336698,1.297887207031398
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.4953266806344814 2.1109544980389594 24.80289942639729,26.442798783911005
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,4.838862113546691 -3.0461098266260973 -1.8772618315207936,4.365112593948082
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,3.2918989376773586 2.47536766612308 8.189070241230828,10.720780614218722
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-6.418830472281051 -3.471538915178197 3.4460031380646243,9.784494020505164
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,0.7999395406356651 0.2558996767583994 -0.14165637347495486,2.97111130498186
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,9.442325908409162 -4.722230655225979 5.880365981699624,13.511387796715045
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,5.86542054394223 -2.811720224947444 3.757767066678776,9.967763551119598
0,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.9181695878608636 2.282031391076657 9.346322717893054,11.28296302962042
1,1.125527796586514 0.7774539872013634 -0.32807029736367843,-0.30824810299053224 -0.2811454296865356 0.09606336733721377,1.8320031171305295
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.7418423839178054 1.0826944736510415 0.41774380415227375,0.45315655401283184
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,3.7889153848529977 0.2061781926986301 -1.270692596308895,5.922964219301238
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-4.930632592826956 -1.9584243607557725 1.7977633361272083,5.160712775459573
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-6.397637071629634 3.7451602997413485 -5.54685286884197,10.27514060845143
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,7.7935532022199165 -1.5170841045440795 1.3051008564820037,6.291014202463739
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,87.51416692155618 17.24379466885633 -46.09892448022334,102.53515177958805
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-84.1125916748768 179.62513326640118 -167.57049260082826,259.8708792405422
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-8.897104795599487 -2.41390630834383 -4.441460688637832,12.42765742055934
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-15.949769314269185 -3.862903515659417 3.2450182398218432,14.518139898030327
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-5.72527183470473 -0.7663305260918651 -11.899094910355284,14.469179238989401
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,4.179010721335751 -1.4279209202734273 -7.0392341192460774,7.354417793523031
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,3.3705599655694636 1.8468501266577457 -0.9123645132053764,5.605686177291429
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.0058586136690675205 -1.333335494204612 5.537276183116318,4.874664329899524
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,0.2422810838620388 -0.1278149370938321 0.17234905242468623,2.3170005411603323
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,7.568432569664711 7.229316829414739 26.10822372730589,29.220954447593414
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,-1.64267328893887 0.09000055282792456 1.6393129617789577,4.421806095672067
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,4.694967533576068 -3.9733830424374776 -8.656957515487607,8.72733842153413
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-75.66765510169692 -0.6905886461535825 31.873744699112997,80.95969027981111
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-19.322354969862296 2.9478184296182968 -25.059398841667875,33.67142616768176
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-3.035608797267891 -0.05695874588143355 -2.1125414473301922,1.9692149078364207
0,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,2.100416369464676 0.2186926014952362 -3.564685422292147,5.341854754941712
1,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,5.503045883842134 -1.6618595496775577 -2.2007733932353184,4.127649715653841
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.8052543983427499 -4.188076067676859 5.253435557695831,5.860983883854347
1,0.4709928888337087 -0.4835882504702588 1.0908725070025382,7.5434873338082635 -6.7236787374376 15.273967950054924,17.032883000433884
2,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,1.8102836421914692 0.36470659677845685 0.6226457986756821,4.027749992974625
3,1.933393761196776 0.22538399326206593 0.009510405009429235,5.31321886169835 0.8838570414019564 0.9183160252150122,3.5612823702178362
4,0.8281278138379884 -0.7128107622896663 0.34572582375485794,5.643391492720043 -4.9131377005726335 2.0694562994854895,6.618214067147485
5,0.8406396603165116 -0.7446820101459279 -1.4074916468700804,-0.2819897097312858 0.2629247502411633 0.4385836570468339,2.3840222553079515
6,0.7573828076600333 -0.4829897035929976 1.3574927623388051,-13.680909604217844 8.884782638512846 -21.500716730107804,28.613234483801193
7,0.2572835006161318 0.2613544055268545 -0.7416055739986945,-0.5859397926070602 -0.5919501537884267 1.6841866229404079,2.706219129322873
8,1.4923161734346615 0.6597033465429162 1.3150421514544268,-3.5992464275343083 -1.688374256994458 -3.2597468356622796,7.236447500567114
9,-0.09186964851175228 -0.7418495760640871 -1.420202144873266,0.3410202938154284 2.368347080951367 4.67290771741609,6.854684875426875
10,-1.4231014081524735 0.008198818233434602 1.551011750493445,-2.3834288573035587 0.15859286892648358 2.8650992660286185,1.6345253679775968
11,1.7482746021632543 0.681677527665291 -1.3140353666280113,-86.67114966441017 -33.993251169844804 65.72241986058617,116.25072729768193
12,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,0.5709401004120654 0.8737761973121988 -2.876415728986989,4.616640489552005
13,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-3.2898166518908263 0.4391844263181134 2.07944974005114,1.5218228483948102
14,0.6475404019334752 0.59449251027997 -1.331433030984044,-0.8510627662369834 -0.7336465995734869 1.9128255971736767,3.8124767536535464
15,1.6166046332162294 -0.6775229796402341 1.3343980747415785,2.463610274251019 -1.2254437998247691 2.436938020513049,1.4943995828285705
16,1.7327907890207053 0.40991595622963495 -1.444314435548648,0.8810803995341651 0.2177914262204444 -0.8406306380461956,1.061487894399907
17,-0.27911076623878817 0.5701822910079993 0.3227161255574096,-6.185166369298212 13.418424393178693 5.696526004595297,15.1273477688082
18,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-0.22693731667529332 -0.17095824107048457 0.3190446400490123,0.5312385950858669
19,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-2.760914253874302 0.9123707009844926 3.2361467410513516,2.570160168460444
0,-1.8240322652140168 0.5867957763527899 -0.1862137938943753,0.9434717296473345 -0.2761303078087246 0.05688610967696245,2.909092186819843
1,1.5762315415935233 0.2092796576284287 1.069374539624862,1.1933671380820066 0.2761977902653917 0.9148970300588073,0.418242141484545
2,0.052810176013954546 -0.48396116352348 -0.5221889873989345,0.21151764683414023 -2.0346111751457046 -2.175004059464544,2.271893743616851
3,0.3712252395078175 0.490331829528036 0.8088986527787063,1.9661412856735796 2.578763304980568 4.162259648992583,4.260320785211648
4,1.8047373429757445 0.04298054037927235 1.409478776478449,4.086416787206623 0.22418432823876477 2.8659748544206414,2.712982993684507
5,1.8445034203979604 0.7668637020642585 1.4968127151371902,23.294420866092644 10.032025225507878 21.75506607817528,30.92473129719418
6,1.100150548608379 -0.6759965343067005 -0.5572614048725637,-18.271201601652134 13.938354302134332 7.665029955111861,25.62097987408877
7,-1.402499155729641 0.7279358108222199 1.5992697717098476,8.451627117616498 -4.370517910129442 -9.515782123984714,15.704853186188013
8,0.43961410095011866 0.47273358494465956 0.6851576174865506,26.047825453635703 28.448977362314665 36.869456012876704,52.4190247423708
9,2.055288986604768 0.10444668422611947 -0.013637257030095329,85.20776574116236 4.392596523111128 -0.10099136893859302,83.26301850280734
10,1.0131699388289115 -0.509643779288385 -0.12114856608202662,7.780884427020459 -4.908543464853257 -1.1315367701263326,8.134688817663058
11,-1.0783979787569005 -0.1747278807945497 0.062480411251896184,-231.21209872123603 -85.65579843410201 12.54803999568394,245.81379708735813
12,-1.9628270611854202 0.7984954605508562 1.1662621861861622,-7.999490111856736 3.023651205403154 4.673749189419417,7.327692948946463
13,0.4200056846110254 -0.11000275319829056 -0.13509069984605704,7.705357223798448 -1.6038309020871409 -3.0729934981438682,7.996195497872682
0,2.0769060075051518 -0.4877662579694984 -0.5798268280524508,16.017441424001966 -3.7418037199700067 -4.498651260450248,14.84198344004812
1,1.3308392875675157 -0.35964650437234646 -0.964270844664938,0.2758858770915927 -0.01678604210878178 -0.14746546707514918,1.377552546989756
2,1.4838583968571766 -0.24347837710447917 -0.7093818763049647,-6.859944347907621 2.1556980026837125 3.3459152116874025,9.582302751257524
3,-0.12659633345684274 0.8994127695902302 -0.2290840808823038,-0.09575034739067927 1.7849236872670258 -0.5025236437954873,0.9272811088053866
4,-0.2507472862040352 0.5564823633917036 -1.229715001147389,-4.1386763699743625 4.296270886465122 -10.260687965732412,10.519528670278172
5,-0.13751052973387723 -0.2539755854827679 -0.6417800811016247,-6.042079618990363 -10.321772110030425 -29.20122661971454,30.852332968211435
