,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,0.2630662825362724 1.562365106068304 0.021504012495841763,2.342387674060707
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.6539746466444507 -1.947694337568292 -0.6044616362733543,5.776858630700735
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.6789579489981754 -2.5922985519755177 -9.602936677656446,8.371131205097903
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.2656574565535355 0.15566226550332996 -1.3268616897301706,4.7432228701505945
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.931707438352886 -1.5424121810872164 3.7920276026359443,5.276343929867217
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.043725291068221 0.06244847848247227 -2.3229831678576303,6.721131475291414
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.1413108607168505 -2.1887181531993254 2.6660034905575283,7.483972143963549
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.39222434727423683 -0.018626237846712836 0.29769468720233067,2.0838025547561765
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.733405954326949 -0.19091780641432463 3.28994734832889,5.092058475197996
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,23.24468315222517 -70.72081447994383 -148.28685342770632,164.52709606127695
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.5394051032412392 0.5738789432854022 1.9375895977350195,3.692555241331126
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.5148098182114278 -0.3238039726343363 -0.9447195425599058,3.827158050822199
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.39141714206799 1.2134615887950393 -1.8445814591612688,2.034795154781656
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.2842058227559001 1.8129149255894548 21.301049648290373,22.921957038876748
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,3.6880229157334217 -2.321645581300447 -1.4307877536121456,2.9338921786806442
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.8176736015694623 2.1187704297917325 7.009366774909079,9.400268918047967
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.357203115174138 -1.8156985623492843 1.8023427351710664,5.9352365351885235
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.3231516660850948 0.42327459320794725 -0.2343087909193949,3.5275232631504294
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,8.227928803670274 -4.114894783615314 5.124079925462009,11.957218814664131
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,5.001004273037082 -2.397342995988499 3.2039661976066616,8.86078836712447
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.0946100103789813 -0.5551003586144224 -0.21024778249229492,0.4666580712112703
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.47073756213693996 0.19907486346647238 -0.6427126890456437,0.8575409716566444
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-3.1351151542836524 -0.520143540548742 2.8608135165699062,6.477541378480166
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.8593552518279682 -0.28910680519009885 0.429488666025368,1.3583038496258981
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,1.4396383298362911 0.542644963318171 -1.755122473637085,2.8784609477651735
