,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,3.795846792276094 0.016873648398161134 0.5357939099454386,4.0470739098475175
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,4.687423512732023 -0.5255367537388418 0.5489406053741801,6.238508288449894
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,3.6317704861107276 -0.02014371957264085 0.8417276210872062,4.3054174859271095
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,4.7306030124998335 -0.1603153385942887 0.42385891642850837,6.608039358911085
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,4.310376412985698 -0.29807126498676184 0.9458058696311126,4.906284935643263
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.586915919220633 -0.1917206828829298 0.26152790828671624,6.435036603322886
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.646401219980694 -0.37950446366077173 0.8967074676933595,5.996149164986057
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,4.387305405565376 -0.13043529683709607 0.07047694554851966,3.2639689292729654
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.465060755682899 -0.19771865293159163 1.0109669638649899,5.263510940312666
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,3.747880945679919 -0.17984634571541236 0.47263538578950376,3.9040370901645574
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,4.370227480405274 -0.03970960211620666 1.1042322834870149,5.525997868400168
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,4.6505931486653465 -0.2674259213017007 0.3015445652106678,6.3198034303097765
12,1.634958907181415 0.6915897345533922 -0.959767603724756,4.441945884149707 0.10988205990946792 0.18481267681898572,3.0866849088008355
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,3.9184081988545616 -0.10427728667462388 0.9046058410915889,4.6492899737128415
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,4.4679329006614426 -0.5240264708230655 0.4046558881376203,3.2620143800835533
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.066651056434073 0.04996480488890323 1.125834694095891,5.287885114139419
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,4.440304218561682 0.1115264278008718 0.3353443647295529,3.3025217059283225
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,4.732680394692981 0.019458924630167983 0.5353524385173996,6.799750054796501
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,4.37376809726649 -0.4417373927021746 1.0077697835644637,5.801340159461469
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,4.477555807125853 -0.47513185690816945 0.9600144198207414,6.876924666388307
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.7726315296170028 -0.9693287239330759 -1.139411437483282,1.2054786781761524
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-1.2931936729995468 0.043718259500358736 -1.2305612253720206,0.5004135835187625
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-0.4134503500810467 -0.8804361828073863 -0.30154906238131735,2.5105696483724573
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.9831291747350468 -0.16712254409494923 -0.44802810988518266,1.8543221560098357
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,-0.21576076846459663 -0.6530757999948396 -0.41499084107079226,1.012087550507188
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-0.5491633098405837 -1.1746557717487738 -0.732957246859516,1.6802787931531327
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-0.21557003394595206 -0.9819055585181895 -1.066091887688495,1.6837854690847338
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,2.534629483733378 -1.1518363970757906 -1.250071280559795,2.717667468025449
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.10489764615551925 -1.127678968994875 -0.2093246043432912,1.9764208983612788
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.2836662488787284 -0.4553848941847691 -1.0759353473941582,2.6439206649627063
10,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.1248011632891543 -0.30107868373194147 -0.4321968792840476,1.7612170196634935
11,1.2918975083772835 0.8688479430192452 -0.444140951402505,0.2021181224218085 -0.3611093890830327 -0.9292507975935435,1.7134017951774003
12,1.125527796586514 0.7774539872013634 -0.32807029736367843,-0.8828381714971043 -0.7219649742372067 -0.6058339805984678,2.521694618188754
13,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-2.3748680278802587 -0.6584762836301804 0.7696934133713081,3.348296760694481
