,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,0.23910990339095778 1.420086854049361 0.0195457293151573,2.198497487024605
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.865386491131382 -2.060384132167769 -0.6394346072991636,6.018953503451194
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.7308331046033762 -2.79036073087377 -10.336640193692105,9.13261512828214
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.1786685913508106 0.14968568515494046 -1.2759174517401197,4.642562310725904
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.97069732258236 -1.5735444691245808 3.868566479220596,5.367708505179483
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.097377362939591 0.06327704373224324 -2.3538044652769097,6.78278936585675
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.321173721003113 -2.2652879460128275 2.7592705631651504,7.700538184134464
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.5002223424264712 -0.02375492595252077 0.379664176370335,2.2194622013052108
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.8775276717235547 -0.20098414950488122 3.4634132988347024,5.317803058842343
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,24.4323224224329 -74.33414901960678 -155.86326517025245,173.00463559703647
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.6008737876554187 0.5967940184546868 2.0149578507417187,3.7938536498059903
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.401729975136063 -0.2996321578147681 -0.8741966714122658,3.692156683070831
12,1.634958907181415 0.6915897345533922 -0.959767603724756,2.952643945597708 1.0564669173035686 -1.6059340533477544,1.5122699162438706
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.3367408250516948 1.8870786523770622 22.172444772301187,23.798077998171962
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,3.828175550334214 -2.409873000777811 -1.4851607002573026,3.108186577960679
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.9449391481251967 2.2144686954188733 7.325958055432677,9.754648214350889
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.7189526132537365 -2.5521826299255 2.5334094090619916,7.647304553170301
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.144154809834139 0.36601371869361765 -0.20261133850970497,3.3371428873735187
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,8.546859633740892 -4.274396262092651 5.322699420473534,12.365381043387627
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,5.19625003528049 -2.4909384090406883 3.3290532377890787,9.11081876549758
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.096584359543537 -0.556101593683427 -0.21062700662671488,0.4644411115212312
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.583754587198363 0.24686975098586833 -0.7970183615214588,0.6603995542246784
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-3.4808605887681567 -0.5775057890057448 3.1763085346441655,6.948640012428539
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.8760011059931295 -0.29470685209399966 0.4378079329234764,1.3388734902389958
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.9541825427632007 0.3596614095259996 -1.1632832983450174,2.091544974525991
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-0.9760605197657534 0.5747414920444169 0.2578404366547635,2.2879239034363867
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-2.017107934897463 -0.5409533201548827 2.543551953406118,4.917263470644748
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.7768855618435622 -0.2733220947013598 0.8061948789849173,0.9150113820850989
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.005528553854388744 -0.004722617154034375 0.020403036469338824,1.603606963764961
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.5304588506002023 1.7832103772068173 4.360119548960918,3.252678604771719
10,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.09961510298208434 0.01949206060864965 -0.24360228028213057,1.65122404117735
11,1.2918975083772835 0.8688479430192452 -0.444140951402505,9.035913480185416 5.725144345163363 -2.884623747430682,9.460938346422454
12,1.125527796586514 0.7774539872013634 -0.32807029736367843,2.205016294611299 2.0111405312796027 -0.6871779201194063,1.6781645304107657
13,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.9739674565492326 2.4207121855458884 9.914305903817466,11.870198837058329
14,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,5.718569821305729 0.1228516020128908 -1.32041743915813,7.928684693456962
15,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.9675610804162357 -0.5634301597678977 0.8246519000722369,0.397496950371
16,2.0281460358843417 0.8277299971979065 0.9971722018834903,0.15428823334944433 0.062052653818767387 0.09755775712205213,2.2151548495553266
17,-1.4329236909046452 0.09447759282124091 -0.951476549724665,0.9773504813825828 -0.0026832645768052575 0.6870723147067126,2.916111143103871
18,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.24707770966017242 -0.2560487605712592 -0.5791957768523035,1.2454215500059806
19,-1.448759575850457 -0.709292391613069 0.5558037372203533,-2.081332445409463 -1.213844375160109 0.40319922383139833,0.8234131872335098
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.7791628386697778 1.1058921237295871 0.42669432050480127,0.4979622400202376
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,-3.932294267466402 -0.21398031966260658 1.3187777251909765,2.232038594847765
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-2.3145401261200624 -0.9193245859638042 0.8439070038978922,2.188590937951172
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-6.007110956714434 3.516547315725973 -5.2082605297296,9.70998433103684
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,5.9342615833616295 -1.155156536014941 0.9937456862201798,4.3721038795989715
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,78.31669915250002 15.431525281373155 -41.254070361060485,91.98288463658011
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-145.38486249693642 310.47402987975835 -289.6381212397235,449.0169359562252
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-7.88075577985121 -2.138156909302555 -3.9340962927936496,11.258820236115653
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-14.125430403546087 -3.4210635709473745 2.8738521794063527,12.60472335163428
