,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,0.26762844883884707 1.5894600624059354 0.021876940870519154,2.369795171866499
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.744433135000331 -1.9959118274508585 -0.6194258030161701,5.880445564846386
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.6978546718344147 -2.6644472724047383 -9.870205119066387,8.648514176771512
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.3197698471097334 0.15938006374393074 -1.3585521192613659,4.805846771346767
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.9660218994193004 -1.569811279773408 3.859388415639993,5.356752635070747
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.140832952714832 0.0639481416104835 -2.378768229215124,6.832732231357658
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.2514955759170885 -2.2356251177648243 2.7231392762137494,7.616641196683587
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.4049981753052738 -0.019232850773147892 0.3073899056825265,2.0998480258301684
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.844273661740565 -0.19866148585867732 3.423388529812869,5.265715710972391
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,23.83880470508752 -72.52840031982616 -152.0769853495134,168.76802095266927
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.566291264966462 0.5839019073819773 1.9714301684672642,3.7368618470706663
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.5542522039548616 -0.3322351308169388 -0.9693180051319296,3.87425394244595
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.4697283512504384 1.241481628894574 -1.8871746874346746,2.128108058174402
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.3144894487421621 1.8556663573137284 21.803362446778788,23.426994020355263
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,3.7581550879837113 -2.365794452262521 -1.4579958961542796,3.0211086445490674
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.8889045434396707 2.1723330614736804 7.186563948141783,9.598616166679376
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.451537853198988 -1.8667182481815585 1.8529871328796441,6.053839193505714
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.3585362060429433 0.4345940640897875 -0.24057482147906112,3.5651607393121956
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,8.405670166061253 -4.203785563103957 5.234771324073237,12.184689063983702
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,5.124519449739357 -2.456552752189258 3.2830979938298985,9.018960902305464
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.1099876204824382 -0.5628986765560848 -0.21320144488677964,0.44939845500005704
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.4744082632686356 0.20062720257300404 -0.6477244118924997,0.8511379287569407
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-3.2777912497839594 -0.5438147761535334 2.991006406595332,6.671938135507861
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.9156029928680779 -0.3080298346085791 0.4576001684742914,1.292647392991621
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,1.4970412402268372 0.5642819255729731 -1.8251047295902731,2.9715143005958944
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-0.9736923420624951 0.5733470191003381 0.2572148484246088,2.285109110612998
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-2.0186028534943783 -0.5413542313626429 2.5454370300802918,4.919702138078564
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,1.2753878093107818 -0.44870401088441864 1.3235039638864992,0.34463886268361066
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,13.214712838411655 11.288309959534853 -48.76867894845989,50.19302317493267
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.5167728811773381 1.7372031088402455 4.247627387203991,3.1307241143411586
10,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.11133742016405325 0.0217858103528611 -0.2722684474619366,1.6822670896780443
11,1.2918975083772835 0.8688479430192452 -0.444140951402505,8.748694441772576 5.54316269414397 -2.7929319820395335,9.108779182968295
12,1.125527796586514 0.7774539872013634 -0.32807029736367843,2.207807598271293 2.013686409937934 -0.6880478104001196,1.6820178304797713
13,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-1.0288642797162426 2.5571535090157367 10.47311707801608,12.447959947941822
14,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,5.507406481614517 0.11831519599213958 -1.2716598363042952,7.711939085265773
15,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-1.007798135761002 -0.5868610014794502 0.8589459253435913,0.3397512297964956
16,2.0281460358843417 0.8277299971979065 0.9971722018834903,0.017724634887486136 0.0071286099325935095 0.01120743680766601,2.384807615791878
17,-1.4329236909046452 0.09447759282124091 -0.951476549724665,1.080685897431896 -0.0029669665513746197 0.7597165757457476,3.0423527930511143
18,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.15986941931266124 -0.1656740574637609 -0.3747634403810786,1.4825712100505566
19,-1.448759575850457 -0.709292391613069 0.5558037372203533,-2.0051521455361994 -1.169415610931154 0.38844144794226104,0.7411451979400163
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.7881722238897162 1.1114921778324625 0.42885502969961675,0.5087796392887192
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,-3.819188846962162 -0.20782555799196883 1.2808454396055806,2.1125961150801094
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-2.305323898760385 -0.9156639432702652 0.8405466651720369,2.178120456851695
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-6.077233451877953 3.55759684417919 -5.269057845850104,9.811463118065236
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,5.676292990552526 -1.1049406663765817 0.9505465159977041,4.105915056077376
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,76.33684740516586 15.041415220262609 -40.21116451629361,89.71139806852676
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-211.70996244548343 452.11340491192226 -421.7720794125617,653.7609573469495
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-7.827726442197852 -2.1237693241690123 -3.907623892620463,11.197835220598165
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-13.797255296232013 -3.34158224737354 2.8070841786844283,12.260524638026059
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-4.97550460549854 -0.6659738038623347 -10.340819307279297,12.737009024439331
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,3.277512578410406 -1.1198891530184025 -5.520727250211598,5.562043265180098
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,3.1502895973078835 1.726156128723157 -0.8527403352155357,5.347713955409514
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.010470679877590596 -2.3829748670674205 9.89637644368618,9.358246240003858
