,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,0.11977921205217862 0.7113753216050235 0.009791196529935254,1.4829269683173516
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.8901283601813543 -2.0735724005356793 -0.643527550490256,6.0472863339385725
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.7690012067844336 -2.936088630755645 -10.87647608322228,9.692916179393777
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.1412435672162315 0.14711439441262 -1.253999826629686,4.599259729132224
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.9532358616803134 -1.5596020006844014 3.83428885497571,5.326791248770802
5,-1.759033352229458 0.5444320590011676 1.033993487392955,4.123992395025709 0.06368806776055977 -2.36909389942433,6.813377318943672
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.389522463230274 -2.2943848314013278 2.7947124942775243,7.782834695975922
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.4644506784204147 -0.022056174902057184 0.3525138110220457,2.174528028258675
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.8892680522136227 -0.20180416955572109 3.477544106445085,5.336192583988792
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,19.067532727370192 -58.01203809799052 -121.63919001412029,134.70999761030063
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.573891708816904 0.5867352971610602 1.9809965528528815,3.7493871356466126
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.3513627799152146 -0.2888657251531311 -0.8427848908329403,3.6320359481955156
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.090897370258855 1.1059345036599233 -1.6811296701393819,1.6768427555427556
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.355379325548654 1.9133906462512456 22.4816005302181,24.108910416902226
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,4.139427197079724 -2.605808879390836 -1.605912402356346,3.4952652480915143
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.9747735553857177 2.236902897825691 7.400175417899543,9.837724086761643
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.700181858093116 -2.542030717160585 2.5233321712432537,7.623704858192151
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.090530925828904 0.3488595040481392 -0.19311541468802837,3.2801134001959906
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,8.678672674832882 -4.3403176875381355 5.4047881907935045,12.534073375761938
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,5.308898591551223 -2.544939008248306 3.4012231754247115,9.255076360509673
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.042731867882467 -0.5287918329925028 -0.20028326150647366,0.5249994172273761
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.37369247495659824 0.1580345067275335 -0.5102140019699731,1.0268238145985082
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-3.7078026257016674 -0.6151574951731094 3.383394659008755,7.2578944504146445
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.9777657160099567 -0.32894279959161377 0.4886678613544118,1.220087850421484
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.9545317242333966 0.35979302700391674 -1.1637089998792272,2.0921109598863907
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.3065684922599603 0.7693571346169524 0.34514887524035287,2.680839725650587
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-2.1877674555719597 -0.5867212400206102 2.758751819347369,5.195663509774505
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.4527450761168452 -0.1592837332133361 0.4698256471453585,1.3752176343730669
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.005359539885383343 -0.0045782415559450645 0.019779293214905753,1.6029456040221834
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.5079545209123267 1.707558978071716 4.1751446584536795,3.0521593192655776
10,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.06027117514994081 0.011793486768652689 -0.1473892538609316,1.5470369791685965
11,1.2918975083772835 0.8688479430192452 -0.444140951402505,9.429662550557177 5.97462330139679 -3.0103241452281866,9.943714500940473
12,1.125527796586514 0.7774539872013634 -0.32807029736367843,2.3854681909686555 2.175726218740257 -0.743414492666962,1.9274661686942045
13,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8934691461260226 2.220640571605398 9.094889537377691,11.023010188453382
14,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,5.936732745874229 0.12753837958500377 -1.3707912457530476,8.152616108689063
15,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.9500855157212452 -0.5532537890896797 0.809757483665616,0.4225838238702653
