,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,9.01630201789623 53.548313081863846 0.737025928940137,55.05906752959878
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.378998767251351 -1.8011227230789488 -0.5589735346669854,5.461976381533075
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.7822612224348443 -2.9867160951228446 -11.064020968474033,9.887575121210276
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.2711127188221 0.15603706994748073 -1.3300565144776857,4.74953597419983
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.039555272010255 -1.628525538127883 4.003737695993531,5.52906265942901
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.7778504132989896 0.058342491950678 -2.1702470591070333,6.41564668447401
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.966156993909066 -2.1141530358059377 2.575178245217454,7.273077540840344
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.3594498241981059 -0.017069817225782432 0.2728191243690715,2.042633971068059
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.7167420965797247 -0.18975390056914113 3.2698906075723166,5.065957124032388
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,21.30175254718931 -64.809542901566 -135.8921451857238,150.65817876348794
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.665353313761507 0.6208315133463138 2.0961157336063323,3.900121537770589
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.5629693769929254 -0.3340985035162249 -0.9747545184327602,3.8846630999985585
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.232430887500089 1.1565757192653192 -1.7581093192998125,1.8453937760567825
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.1885250768031748 1.6778422998813871 19.71399850445526,21.32629905022204
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,2.546666616482489 -1.6031509110149191 -0.9879926157322733,1.5146127240143408
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.787073074630624 2.0957601380468187 6.933243579979638,9.3150597358762
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.148362304523726 -1.7027497931956066 1.6902247890802524,5.67267093998676
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.2079543946787656 0.3864231275422996 -0.21390921461058615,3.4049972315457775
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,7.829001385819017 -3.915385965548608 4.875641220861627,11.446679659141282
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,4.981090335159381 -2.3877968054861136 3.191208043376444,8.835286793391113
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.103402555996139 -0.5595592482453771 -0.21193661522810167,0.4567872652579238
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.9535486846431767 -0.3207956351276213 0.47656467064871866,1.2483550426251204
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,4.503606546298263 0.09675063806813043 -1.0398824896189052,6.681621700782132
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-0.9315352774120077 0.5485233388604599 0.24607845294764233,2.2350032180225705
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.8650649186554165 -0.5001780234939834 2.3518273043313145,4.669237169205317
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,1.3824876372988222 -0.48638362647462463 1.4346443133856317,0.327340200628509
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,11.963521364884704 10.219513585023776 -44.15117753003176,45.291078774867636
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.5604429945322814 1.8840062005790694 4.606574956329826,3.5199496864365143
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.22559652735340913 0.044143318157934236 -0.5516816912482057,1.984867988268207
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,7.53185597178897 4.772175244930266 -2.4044686401760718,7.616818909382015
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,1.7795561847505332 1.6230889447789714 -0.5545862498889453,1.0927767799281503
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.7648698309875048 1.9010180553545895 7.785838664341419,9.669639862015416
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-1.0338321377659052 -0.6020211212960829 0.8811346942537593,0.3024056524227063
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,-0.1395173056407509 -0.05611198521565029 -0.08821797438821159,2.580312548280842
14,-1.4329236909046452 0.09447759282124091 -0.951476549724665,0.9216703736992636 -0.002530397756329554 0.6479294880566668,2.8480911911305147
15,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,0.20446498066859234 0.21188882215407134 0.47930367122277917,2.479112614945296
16,-1.448759575850457 -0.709292391613069 0.5558037372203533,-1.9135156649089136 -1.1159727182235377 0.37068947470749336,0.6447126496002614
