,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,9.514070281891415 56.50458615143538 0.7777153508827231,58.05721668144814
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.513841457205757 -1.8729985211028501 -0.5812799929463802,5.616388063642688
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.7431840567361254 -2.8375173410533656 -10.511327611984445,9.313922838470944
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.128124614589196 0.1462130552092695 -1.246316831303164,4.58408110604074
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.009242278837857 -1.6043214951211495 3.9442319424068177,5.458030511579752
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.786985317249365 0.058483565048310183 -2.175494751912377,6.426140659775659
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.032646987018954 -2.142458629236913 2.609656330382954,7.353134856368301
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.48933742424242616 -0.02323801496408518 0.37140262316350015,2.205789206984922
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.7145803040619825 -0.18960290774469193 3.267288658326495,5.062571011464973
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,22.230818908258676 -67.63618197986436 -141.81902000721678,157.28998765894437
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.6083705995870052 0.5995887750137301 2.024393797643696,3.8062086568964166
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.4438047472421092 -0.30862601182325883 -0.9004368363355884,3.7423842926395947
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.1401136948035386 1.123544286495493 -1.7078982792311654,1.7354466794687118
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.2208771390657167 1.7235137456185636 20.250620338952253,21.86583104260337
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,2.731939354643991 -1.7197818657882968 -1.0598701422272379,1.7449748243146803
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.7946944225858648 2.1014910668079523 6.952202774936691,9.336281881071349
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.558096964826381 -1.9243493235587297 1.9101942883954495,6.18781104691379
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.2458014075509385 0.3985303404856225 -0.2206113093539859,3.4452510186526792
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,8.022749405380756 -4.012281883592376 4.996301032258082,11.694634217822639
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,4.781592934269497 -2.292163274573166 3.063397128995159,8.57981344461349
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.0551058957780446 -0.5350669695774147 -0.20266000929872366,0.5110697311734178
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.8440192549608231 -0.2839474243063089 0.4218240397574436,1.3762053146383502
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,4.923256689967961 0.10576595029579343 -1.1367796833861683,7.112353559813412
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-0.9172812801931173 0.540130044117683 0.24231305439645773,2.2180622901227456
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.921901513417476 -0.5154206112161902 2.4234976543065816,4.761953640269261
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,1.159493072199137 -0.40793019055874674 1.203236902494611,0.4338528474144736
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,12.3864872967003 10.580820758251145 -45.71212629880805,46.94818348444269
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.5405609986341491 1.8171701371124733 4.443154402803909,3.3427143929319416
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.3409955199866513 0.06672387162068387 -0.8338824510343432,2.2905140789028735
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,7.987059284975553 5.060591538435581 -2.5497876817988785,8.17494059536614
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,1.8400480120653822 1.6782620362528855 -0.5734381051700276,1.1756698689137488
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8761427828646973 2.1775773887486674 8.918519306094959,10.840664976032503
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.9758542697464981 -0.5682594497051545 0.8317201818347877,0.3855930570740893
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,-0.07089364292416131 -0.028512470373297225 -0.04482665105269923,2.4949710110550907
14,-1.4329236909046452 0.09447759282124091 -0.951476549724665,1.0402378965325552 -0.002855918682587308 0.7312818410906257,2.9929379966674596
15,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.2159034620201468 -0.22374261898953343 -0.5061175837425944,1.3300807259966747
16,-1.448759575850457 -0.709292391613069 0.5558037372203533,-1.9360439520367596 -1.1291113375116004 0.375053692400939,0.6681052232342211
17,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.5526038644517957 0.23369611374837324 -0.754487307293971,0.7147369869417066
18,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-3.075973291666388 -0.5103313785379276 2.80684617194481,6.396963875158553
19,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,1.3561843572858 0.5111885364261706 -1.6533802931865855,2.743178552695918
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.7406973651145656 1.0819827528076755 0.4174691957748987,0.45178200567294274
