,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,9.243984820659671 54.90053375742833 0.7556375647169046,56.430442449836924
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.461013760710992 -1.844839539369324 -0.5725409296107596,5.555893697953136
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.7989607853937759 -3.050475939073326 -11.300213571971469,10.132729914452323
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.3313975600934684 0.1601789471499086 -1.3653617836493637,4.81930410807181
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.082865623633303 -1.6631075936629178 4.0887578421987465,5.630551418647055
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.863424185598636 0.05966403372057079 -2.2194062918326694,6.513957240148245
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.073148473413026 -2.1597006013533204 2.630658192947691,7.401900806938281
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.36553963654839594 -0.017359014706934826 0.27744123616641214,2.0502834585720158
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.77446454951091 -0.19378559007249904 3.3393657730373563,5.156370428474249
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,21.79838232976652 -66.32051478657083 -139.06033927529606,154.20319335160394
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.7004268468234889 0.6339066694884595 2.140261431625407,3.957928874592243
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.6032898744188862 -0.34271736582366236 -0.9999006202246123,3.9328119235590226
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.304332737157926 1.1823024668366597 -1.7972165164396414,1.9310434099840164
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.214404559193775 1.714376396722472 20.1432600211888,21.757888495504975
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,2.5948054907217815 -1.6334547912293413 -1.0066683434346204,1.5744652980129892
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.8585920836582823 2.1495393839507475 7.1111573615381785,9.514209126031643
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.225399521651757 -1.7444143453802898 1.731582867178336,5.769526127197086
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.2384372978590337 0.3961745708379885 -0.2193072444592839,3.437418528629853
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,8.002738568416964 -4.002274202363859 4.983838949706747,11.669024760373985
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,5.094369025229729 -2.4420994733920502 3.263781685404976,8.980350460573007
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.1014698910329102 -0.5585791521344357 -0.21156539760815798,0.4589564520196806
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.9043764681890807 -0.30425297436780124 0.45198937468647543,1.3057517254246518
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,4.680358780763866 0.10054779292362527 -1.0806945702774322,6.863040608844209
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-0.9488227979221542 0.558702887290648 0.2506452003436789,2.2555499795786282
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.8767049797995283 -0.5032996857579483 2.3665052993699778,4.688225330012405
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,1.4007290084791666 -0.49280126380257994 1.4535738710367732,0.33196881924672267
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,12.169242197555612 10.39524502563236 -44.910386857106566,46.09705610249266
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.568087660772028 1.9097047974703727 4.6694104782171255,3.588108596033974
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.290700173800066 0.05688239269977917 -0.7108884405695362,2.1572991475112526
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,7.682504449252718 4.867625946262273 -2.452561638914843,7.801527815115005
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,1.8210653021772487 1.6609483785974541 -0.5675222762797667,1.1496399486441662
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.7810602525325056 1.9412579529605798 7.950645805308538,9.840022831839391
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-1.015461510110354 -0.5913235375626081 0.8654774160639908,0.32875651991344246
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,-0.1582178511815825 -0.06363309329677738 -0.10004248777019017,2.603573559735556
14,-1.4329236909046452 0.09447759282124091 -0.951476549724665,0.9648520486222928 -0.002648950784025591 0.6782859813591597,2.9008426310748767
15,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,0.20820285324476434 0.21576241172885938 0.48806593477746624,2.4893607968652356
16,-1.448759575850457 -0.709292391613069 0.5558037372203533,-1.9171330296516176 -1.1180823849687604 0.3713902366928217,0.6484529975797722
17,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.155239516078295 0.0656507743456801 -0.21195335756061992,1.407890616596792
18,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-3.032510202180089 -0.5031204647002966 2.767185812514503,6.3377492154245925
19,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,1.296873801288789 0.4888325225466027 -1.5810723477833106,2.6470346185112548
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.0685274875330217 0.6641753676323596 0.2562635641459849,0.3568958259991685
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,-2.6980870942633643 -0.1468195154377421 0.9048603483157751,0.9288601171238738
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-1.8444037416466805 -0.7325885980563339 0.6724900631557994,1.6544728487351592
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-5.626066195570878 3.2934846918413463 -4.877888674802239,9.158551012865537
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,2.603008677595174 -0.5066986759832635 0.4358973072246295,0.9411874160520677
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,69.18218264912962 13.63165981359596 -36.44237642321299,81.5028416051309
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-192.4660749950148 411.017466967039 -383.4340893991937,594.3555300286487
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-8.712910151796512 -2.363931780353663 -4.349510184703882,12.215825623467628
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-12.609224224437023 -3.0538508505411226 2.565376451037178,11.01448735379326
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-4.654231855934342 -0.6229712841042124 -9.673103424165713,11.994780687620784
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,2.965301167518239 -1.0132100284866254 -4.994830246705556,4.941338614912714
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,2.9080203962468714 1.593408184988175 -0.7871613738712476,5.0639983975007805
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.009318366804978806 -2.1207251255865467 8.807266273108501,8.238023127439195
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,1.577734103468232 -0.8323307043665675 1.1223368055663026,4.100672847970411
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,4.738004690484059 4.525710803588471 16.344320351877396,18.701728753628124
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,-0.9705829253861358 0.05317734234695233 0.9685974568288244,3.4720280141317956
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,4.121767042099513 -3.488279557384192 -7.600044498074351,7.43092639286037
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-140.85845668023256 -1.2855592097752668 59.334288619129104,151.7005612796728
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-22.430214214703245 3.4219534288402382 -29.090019564747816,38.7829638511531
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-3.5765378140576147 -0.0671084853455403 -2.488984870824137,2.6258381257338628
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,0.5268998471587232 0.1402669667622703 0.3761668654049549,2.641406008625321
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,-13.097165682292532 1.4660005661680562 -3.962811987843514,12.070476534731512
2,2.029294752646892 -0.5068285909554975 -1.4955514957188436,0.25743349167943147 -0.11025504070288278 -0.257556761271103,2.1975881942250908
3,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,2.135360111568763 0.5758630195448454 -1.2895381223180715,3.823117557516764
4,0.45357058902072955 -0.5857664362345507 0.696295740846494,-1.162828041702039 1.698876675170779 -2.3158980550657127,4.111648105568648
5,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,4.0022145528611075 2.518868998477437 -8.688138129721885,11.043032648584214
6,-0.8650357536253384 0.3398042700488556 0.5993472556537052,5.298845630358879 -1.500268401976013 -2.763791799695413,7.258788153664114
7,1.4342114032216138 -0.419027360463262 0.07978750941271606,-38.00177458404788 9.091442815586298 -3.0665261612021593,40.6883929821705
8,1.728382546845478 0.4439953450498987 0.247362103240496,15.263608093987136 3.0029310884266938 3.9129071722395725,14.25435734796876
9,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,3.1856664537161925 0.33168741892678083 -5.406498888951938,7.481793860374253
10,0.5190586580408638 0.48286723729437975 -0.38627130262387155,1.2640186004416525 1.3198217695698131 -0.7212516034755979,1.1694742437680656
11,-1.2110973598736323 0.6387415479613107 1.4216168147294281,0.08640575927349285 -0.04798820944444402 -0.09598742674197579,2.111453228853313
12,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,6.076922025991808 -1.8351638555645535 -2.4302774481376836,4.769456175869068
13,-1.9356160527772448 -0.8410459669549014 0.612978652561118,-4.911549031698022 -1.8373851153043732 0.970964483107924,3.158642532550071
14,-1.4814106721574376 -0.16310506589811236 0.1635035819828512,5.420867251682538 0.9235370071679797 -1.0971423931307311,7.10010280259773
15,1.6457580204271904 -0.10698233056601003 1.055894025410392,8.611424925087489 -0.8574520577321437 4.301839346810768,7.7213911484649955
16,1.6235392403865951 -0.5099916687245605 -1.4773906474166134,-1.3468031806143343 0.6316698228182086 1.0698005504442754,4.076089800008007
17,0.9286931458989471 0.29343198923814595 -0.11051744835857491,0.29127446061785217 0.13534327020574885 -0.03220561884080937,0.6613829193993472
18,-0.05680893578125312 -0.2933536280066664 -1.2519175014713881,-0.36063775727218506 0.7292628110335354 4.631349954268801,5.979204988118024
19,-1.6533546004599535 -0.05764025577762777 1.5459131065105103,-3.3363492994864803 -0.04922626303324012 2.8897533967212876,2.1537058011295502
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.5863534220607651 -3.049586241549309 3.8253375866933412,4.023381475660323
1,0.4709928888337087 -0.4835882504702588 1.0908725070025382,7.17499954562011 -6.395237341991485 14.527858038588935,16.138273774217062
2,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,5.541667747194956 1.1164453665999834 1.9060527643449359,8.043323754949633
3,1.933393761196776 0.22538399326206593 0.009510405009429235,14.168218661485387 2.3568913974820966 2.4487796539654565,12.656393586795156
4,0.8281278138379884 -0.7128107622896663 0.34572582375485794,7.035782569083325 -6.125353634917472 2.5800521863816024,8.533628314092603
5,0.8406396603165116 -0.7446820101459279 -1.4074916468700804,-1.696452522702174 1.5817575621908353 2.638523058596914,5.312192845306367
6,0.7573828076600333 -0.4829897035929976 1.3574927623388051,-6.697959037780482 4.349850404244708 -10.526414113341188,14.837981943988723
7,0.2572835006161318 0.2613544055268545 -0.7416055739986945,-0.43401348490101055 -0.4384654402635779 1.2474996828491955,2.219049134554515
8,1.4923161734346615 0.6597033465429162 1.3150421514544268,-0.5492348952333701 -0.25764116929062963 -0.4974282111043937,2.880017455131751
9,-0.09186964851175228 -0.7418495760640871 -1.420202144873266,0.3276416190049837 2.275433708905939 4.489583399466951,6.648725690342895
10,-1.4231014081524735 0.008198818233434602 1.551011750493445,-2.7890677789864826 0.18558399985149893 3.3527143140822067,2.2679201389267267
11,1.7482746021632543 0.681677527665291 -1.3140353666280113,-66.34752385153458 -26.022131372610716 50.31108778601301,89.52812137733288
12,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,3.7465510131351825 5.733783797863807 -18.87525198502672,21.633986647051696
13,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-1.8867210622962325 0.2518737653329779 1.1925715131528571,0.17316378227084292
14,0.6475404019334752 0.59449251027997 -1.331433030984044,-0.676801781788171 -0.5834273869007522 1.5211613335422036,3.3583734325244072
15,1.6166046332162294 -0.6775229796402341 1.3343980747415785,2.643557928850753 -1.3149529806911684 2.614937473502649,1.7608893291271226
16,1.7327907890207053 0.40991595622963495 -1.444314435548648,1.3372396073043311 0.33054795161401607 -1.275847907754183,0.4371967388956694
17,-0.27911076623878817 0.5701822910079993 0.3227161255574096,-6.755617741038755 14.655991524708254 6.22191059078966,16.58781660440743
18,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-7.030948873700062 -5.2966108444126645 9.88460860239333,12.290228690223007
19,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-0.994103723563007 0.32851114801762565 1.1652174712637435,0.23791963468980742
0,-1.8956553329586494 0.48868895694739123 -1.1129498407858318,13.712597430292252 -4.112554038119457 9.172072017931228,19.25021210416833
1,-1.8240322652140168 0.5867957763527899 -0.1862137938943753,2.302171671180041 -0.6737874090081022 0.13880817629893016,4.326692521203323
2,1.5762315415935233 0.2092796576284287 1.069374539624862,-0.426889422355896 -0.09880104066873191 -0.3272755317400819,2.4613083380024983
3,-0.132270951051088 -0.5644887544039232 -1.5939341853059013,-0.6896388469166206 -1.5899803892839608 -5.145837475717085,3.7387576879204536
4,0.052810176013954546 -0.48396116352348 -0.5221889873989345,0.17402430565475174 -1.673958661755404 -1.7894656871886612,1.7426351152357613
5,0.3712252395078175 0.490331829528036 0.8088986527787063,0.42139973860798724 0.5527019805590373 0.8920900755629826,0.1154483820781177
6,1.8047373429757445 0.04298054037927235 1.409478776478449,3.0523540993460787 0.16745476267889575 2.1407434804254355,1.451478373945614
7,1.8445034203979604 0.7668637020642585 1.4968127151371902,17.82549146260083 7.67676436507532 16.647537488656962,23.079929963946114
8,1.100150548608379 -0.6759965343067005 -0.5572614048725637,-14.247850101048277 10.869103580694665 5.9771765536538926,20.286678881499974
9,0.4200056846110254 -0.11000275319829056 -0.13509069984605704,5.988924030711213 -1.2465640659774515 -2.3884583248666953,6.1141057250205195
10,1.9572275817419729 -0.08754001883756268 -1.583264909939205,1.960956035821548 -0.17556647490272778 -1.4892029167667202,0.1288806304174391
11,-1.9628270611854202 0.7984954605508562 1.1662621861861622,-7.223952185400589 2.7305129986705343 4.2206365904343865,6.3828937278930775
12,-1.402499155729641 0.7279358108222199 1.5992697717098476,6.827317951971275 -3.530552752977322 -7.686954147173743,13.118634423821096
13,0.43961410095011866 0.47273358494465956 0.6851576174865506,19.37068183562958 21.156318404210865 27.418277320285444,38.74087886967686
14,0.4180941065267847 0.6394450322145849 0.575772333385479,-8.689755101389064 -12.105905454340746 -12.646282624746318,20.499258853312895
15,2.055288986604768 0.10444668422611947 -0.013637257030095329,68.87760115372083 3.5507504359067137 -0.08163625896319378,66.91115778980827
16,1.0131699388289115 -0.509643779288385 -0.12114856608202662,5.654567597571981 -3.567164001465762 -0.8223166936650851,5.602020963790442
17,1.042895733022554 0.8799298311601967 -1.234978786499308,3.038952487382477 2.072208980503323 -3.170091008233364,3.0249680076471477
18,-1.0783979787569005 -0.1747278807945497 0.062480411251896184,-319.06913771431937 -118.20368353453432 17.316102070656658,339.62719618818596
19,0.8093389789326806 -0.7647667825300984 1.261798905938881,-0.5529430814569901 0.48687315395708025 -0.8661893172524897,2.8197072225162527
0,2.0769060075051518 -0.4877662579694984 -0.5798268280524508,10.286573359819872 -2.403026641061474 -2.8890822813638595,8.740681959627194
1,1.3308392875675157 -0.35964650437234646 -0.964270844664938,0.24745027230716068 -0.015055901862633241 -0.13226617603022026,1.4087960144587204
2,1.4838583968571766 -0.24347837710447917 -0.7093818763049647,-4.67448584871906 1.4689302560786095 2.279965042692676,7.056468109199006
3,-0.12659633345684274 0.8994127695902302 -0.2290840808823038,-0.11232519523519478 2.093902603132588 -0.5895129149695839,1.2477654315870859
4,-0.2507472862040352 0.5564823633917036 -1.229715001147389,-3.578548062920577 3.714813743370101 -8.872006835420105,8.913693936604673
5,-0.13751052973387723 -0.2539755854827679 -0.6417800811016247,-5.4986420740856525 -9.393409882410833 -26.57480593294519,28.014153932183913
6,1.460484835557716 0.6638897464897159 -0.4817960096003471,-23.233023313967777 -12.655503646626224 3.2613169890522196,28.305237678068423
7,-0.5152978958674135 0.10203960223427966 0.5421259310170181,-4.751396092840152 0.5708837865130427 5.619637538845316,6.629137721541076
8,-0.05754030238696606 -0.05661731797702407 1.2455012104683059,0.03143862397144597 -0.9035843725449597 6.624012473169887,5.445516857366905
9,0.0922336742843144 -0.5522396119106671 -0.5281144273407505,-0.4026734439328776 4.383205305171547 4.586656179144427,7.124915995447207
10,-1.3397002974635253 0.6747855542755771 -0.7791194651460945,-10.775680906346636 5.4031498862850285 -6.348483842910237,11.933690916047116
11,1.8771304535371187 0.26277969148431246 -1.4074728795287645,-0.20093895947249263 0.011989665919137775 0.17414961555599756,2.6235086886014387
12,-0.7264503008023167 -0.0025788608508626742 -1.3806294847743232,-1.8576084740350371 0.31527193132085674 -4.701518680461558,3.5226201880117003
13,0.47876447728642413 -0.0324900680022816 -0.9613084579311757,-14.40476683187027 1.5862915777437876 31.816826416232264,36.0353449279468
14,1.1408197230267798 -0.5347057072386341 -0.8707527865257867,-4.387268367585354 1.6271024166416288 3.7547883510062916,7.525211167604797
15,0.6225436781505445 -0.1266515423861727 -0.27745587615453293,254.42379746482413 -64.33247933613322 -121.76586940444247,288.61202221665695
16,0.7423028012464732 0.34639559815224696 -0.6976084308997849,-4.545466416355927 -1.9775445919560184 3.9815600234216437,7.433425773473542
17,-1.7630593059028943 -0.004246750768406304 -0.13117835035548064,4.973670067003711 -0.18997534915647493 0.8192785769150852,6.805981643131167
18,-1.6403412653870753 0.473687307562647 0.9565160248988365,-5.874162315756422 1.6635843613054715 3.395417404865045,5.02885032848041
19,-0.5789742589104039 -0.6408448172704329 -0.11218093565723919,-5.734387777088953 -5.32964120539324 -0.7748950003353609,7.000163572675556
0,0.7816362380604502 -0.33203965777432265 -0.426082050360298,-17.657387579659243 6.890149855338426 9.417479020456268,22.114549854533447
1,0.44448734835150905 -0.8647277077032519 -0.7165783697611627,-11.687379983219998 22.272682667218135 17.578111617704394,31.893849650768786
2,-0.9666217926736294 0.13671310949662596 -1.1683005474985404,-10.214852794491089 1.0610629761944348 -12.28075252420851,14.486917832089995
