,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,9.52028825413139 56.54151503021292 0.7782236309688598,58.094668672534816
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.701179271191219 -1.9728560282825949 -0.6122704984994266,5.830914140955693
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.6678018308102726 -2.5497038830908827 -9.445148560314337,8.207374808097045
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.148553612978151 0.14761663197767735 -1.258280888466111,4.607717595854669
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.8988164050629572 -1.516149648061931 3.7274610416555842,5.199270747803673
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.9359425737970732 0.06078395722650149 -2.2610656487423064,6.59727830207279
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.084043012918084 -2.164338538453693 2.6363075071275484,7.415018427964633
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.3667695715730565 -0.017417422764630718 0.27837474558516706,2.051828396051236
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.6822770086658654 -0.187346647825737 3.228408176317409,5.011972923756961
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,22.684835092070365 -69.01750406956403 -144.71536541497278,160.53082029585684
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.5029713856049323 0.5602967203000039 1.8917318880585423,3.632517285934839
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.4534688578411123 -0.31069180078654235 -0.9064639124969499,3.7539216561189557
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.3514823207886675 1.1991727621341282 -1.82286103144006,1.9872149919712447
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.2399440570558453 1.7504305369901474 20.566882233697463,22.183808075626914
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,3.5881009256253016 -2.2587437360273057 -1.3920224956324998,2.809629801639147
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.7259020196960853 2.0497621124833634 6.7810718167898,9.144724906173192
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.298597930621494 -1.7840027293335536 1.7708800488223024,5.861555002099339
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.355372293462169 0.4335819323403448 -0.24001454365877972,3.5617953472768944
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,8.043812198296841 -4.022815661748077 5.009418237928036,11.721589951138974
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,4.877603747441724 -2.338188200354286 3.1249078542842876,8.702763236636924
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.0389608503992043 -0.5268794686458844 -0.19955894137777214,0.5292460683117508
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.8255294623773043 -0.27772703425099937 0.4125832091057553,1.3977882465582392
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,5.118826325069822 0.1099673579428289 -1.1819367007572226,7.313089787938413
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-0.9212536354642129 0.5424691177193773 0.24336240922323932,2.222783412419378
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.9580840155834325 -0.52512412997171 2.4691234101082995,4.820977804863936
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,1.2235503736375886 -0.4304666832804374 1.269710873588531,0.37753569668681136
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,12.618926276376673 10.77937545114149 -46.56993850506308,47.85883781707595
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.5020276757719006 1.687635073047702 4.126428809276695,2.99936278819869
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.3861191060165427 0.07555337284533696 -0.9442292571141939,2.410033560187598
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,8.161769883854134 5.17128797210587 -2.6055622687909015,8.389152446492307
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,1.9593554652896206 1.7870793975800536 -0.6106194392770519,1.339569359149865
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.964483657060205 2.3971410191439833 9.817767473675438,11.770387467626914
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.9559164412683799 -0.5566492536025802 0.8147271790460424,0.4142129084022044
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,0.0005082284743421318 0.00020440266178750063 0.0003213571701866499,2.4062055802147113
14,-1.4329236909046452 0.09447759282124091 -0.951476549724665,1.1157798869527342 -0.003063315262235057 0.7843874681959828,3.0852273895524087
15,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.16103252405916815 -0.16687939293966136 -0.3774899726859969,1.4794024288028862
16,-1.448759575850457 -0.709292391613069 0.5558037372203533,-1.9413313425191787 -1.132194972329534 0.3760779745829166,0.6736281525080435
17,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.5169836581568836 0.21863233240783855 -0.7058539276498291,0.7768711042851004
