,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,16.290117628969988 96.74790365329957 1.3316145637318744,98.87066871436153
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.1493130326994683 -1.678692315681968 -0.5209775909722538,5.198959053251508
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.8689026775752763 -3.3175179055044732 -12.28944650270814,11.159528175445399
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.2756274186305676 0.15634725293574345 -1.3327005073721807,4.754760652112135
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1308111312587985 -1.7013906863930623 4.182877005757643,5.742901730355247
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.554759998619059 0.05489723888377016 -2.0420891747530843,6.159409765552601
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.818586413212744 -2.0513304565847377 2.498656188119911,7.095395947022135
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.33191922481415587 -0.015762423904200892 0.2519236515891339,2.008052565953626
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.7027541867919083 -0.1887768993122353 3.253054657302201,5.044047235485699
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,19.682643709659427 -59.88348325291783 -125.56322165073833,139.1007478818937
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.7699543699563058 0.6598260206850367 2.2277730328892873,4.072528433104222
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.6029315640669328 -0.3426407738224727 -0.9996771579868308,3.9323840306215634
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.099326116233939 1.1089503401241583 -1.6857140394158023,1.6868786042638662
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.1083601274914319 1.56467334320706 18.384307005566384,19.989396655104667
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,1.5848495103721527 -0.997677874257452 -0.6148506456087846,0.3201518460935305
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.762100230806974 2.076981624094073 6.871120053083198,9.245521208045623
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-2.9747476547059133 -1.6088526236582126 1.5970183037758408,5.454393747840603
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.113942828358658 0.3563489429186101 -0.19726128451948938,3.3050118882042137
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,7.492826595494923 -3.747260557065429 4.66628276192872,11.016451331469494
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,4.964456339990949 -2.3798229287135335 3.1805512321959073,8.813985490593417
0,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.746632557893866 1.8556908846036146 7.600196009562783,9.477718030931774
1,1.125527796586514 0.7774539872013634 -0.32807029736367843,1.7696870270189085 1.6140875314233567 -0.5515105958450628,1.0792693678846623
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-0.4475903400524641 0.27821322532318105 0.10734501185736961,1.1026499238027145
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,-1.7486607482699792 -0.09515538778265152 0.5864502213920197,0.08094364403814094
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-1.4560157037437222 -0.5783226736469902 0.5308794763625141,1.2132284994679843
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-5.188602433661511 3.0373945299058054 -4.498600650865728,8.52547302130856
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,0.009263102284798845 -0.0018031448391276753 0.0015511901198196078,1.7531170063461121
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,61.91949434305989 12.200619442657779 -32.61668589193011,73.17034961372957
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-172.8515586416164 369.130039130387 -344.3577263717578,533.8059800223475
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-9.249587296347634 -2.5095396353287622 -4.617420982067218,12.833029109691857
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-11.374608779781548 -2.754837100080146 2.314191022700698,9.71959346935701
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-4.296760022006335 -0.5751234986250097 -8.930153324590663,11.168923254357912
