,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,17.064868793689442 101.34919338900167 1.394945594096809,103.53715091676678
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.2627103373702857 -1.739136984723578 -0.53973642948616,5.328812135263146
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.8367497045882325 -3.1947560975913216 -11.834686433916588,10.687493490282327
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.1457244904460544 0.14742225677702256 -1.2566240385779985,4.604444233049996
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1065734119101345 -1.6820375727574748 4.1352972848484315,5.686105678746125
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.5537780070121605 0.05488207368897597 -2.041525053847335,6.158282067632071
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.873578432268693 -2.0747412235368947 2.527172050849815,7.161608662066925
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.44983574988045155 -0.02136213044257918 0.34142121411819604,2.1561697250487315
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.700188182972738 -0.18859767389581616 3.249966196385036,5.040027989446356
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,20.460525655091025 -62.25015112229249 -130.5256324210152,144.65338064394666
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.722642739168698 0.6421885913791738 2.1682237151217048,3.9945456339812475
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.4961354430528115 -0.3198121600713814 -0.933073164945144,3.80486131950917
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.009195028379138 1.0767011037469953 -1.6366920151154762,1.5795766338558594
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.1345909612819953 1.6017034432478134 18.819396368181003,20.426845473054765
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,1.7155810901884303 -1.0799746499423528 -0.6655686448417969,0.48199474820979443
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.767783480461775 2.081255185555206 6.8852579508445615,9.261346590880741
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.340761637065412 -1.806806408034886 1.793515989332902,5.91456543845282
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.1436112584807367 0.36583983728312164 -0.20251508434347243,3.336564804152939
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,7.656950662974013 -3.829341149308057 4.768493762962131,11.226493166902273
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,4.781379341838975 -2.2920608842752674 3.0632602878948343,8.579539922256755
0,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.7560571017622427 1.8791147762665061 7.696131259027981,9.576897980585917
1,1.125527796586514 0.7774539872013634 -0.32807029736367843,1.780377869486186 1.6238383829939378 -0.5548423221950864,1.0939016019112522
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.0615831862876486 0.6598589285267602 0.2545981213675765,0.3652275911554415
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,-1.865781835959371 -0.1015286666062518 0.6257292455669897,0.058677383553904026
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-1.3668231183109139 -0.5428957930547269 0.49835887034965326,1.111897589825337
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-5.346433066095954 3.1297881765066387 -4.6354423138904055,8.753878080136417
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,0.2666185333127437 -0.051899657110241096 0.044647680865426545,1.488433946610536
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,64.8432378842857 12.77671397755158 -34.15679576725258,76.52476447757078
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-180.1851736013774 384.79120873937194 -358.96787506509554,556.4446766751673
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-9.575399236408098 -2.597936874151294 -4.780067253737874,13.207730096593496
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-12.002340902083889 -2.9068686796193353 2.4419046056658624,10.377973426093169
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-4.396907951345806 -0.5885283495375053 -9.13829535708987,11.400292198158578
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,2.597593864994519 -0.8875685825027053 -4.375454523019071,4.210348716543157
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,2.7896253621919604 1.5285353193891154 -0.7551134563991158,4.925357902573209
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.008740222066968319 -1.9891477689762247 8.260832036442231,7.67598057285843
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,2.2413355653705165 -1.182412426622332 1.5943962883925444,4.9870566652621084
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,4.398116685439075 4.2010520248558 15.171835561101854,17.438544087105566
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,-0.9498372656735348 0.05204070680567546 0.9478942353808815,3.4427147583391573
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,3.8014183929950636 -3.217166310931165 -7.009359977764429,6.706408575187984
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-132.1365607745395 -1.2059579286557467 55.66033462892459,142.2361178698398
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-20.891358455012902 3.187185597692594 -27.094258680423625,36.251981404321874
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-6.068187446394362 -0.11386063547818194 -4.222974153393702,5.65785419861895
0,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,3.0665340995794628 0.3192835142404671 -5.204315468422426,7.246860548445626
1,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,5.891324764585652 -1.779115516558796 -2.3560535504305413,4.561886580077114
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.504987519183533 -2.6264074408294755 3.294510896098432,3.340856938268144
1,0.4709928888337087 -0.4835882504702588 1.0908725070025382,7.111550205129049 -6.338683527729451 14.399386530620838,15.98423247120835
2,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,6.0077433585287165 1.2103427239473663 2.066359146449156,8.544984088350672
3,1.933393761196776 0.22538399326206593 0.009510405009429235,13.181483430518513 2.1927474191159044 2.278236185151624,11.642042635378536
4,0.8281278138379884 -0.7128107622896663 0.34572582375485794,6.872752634393836 -5.983419742952312 2.520268397540603,8.309358799181094
5,0.8406396603165116 -0.7446820101459279 -1.4074916468700804,-1.7165938807268013 1.6005371890544866 2.6698492742547426,5.353896288014382
6,0.7573828076600333 -0.4829897035929976 1.3574927623388051,-6.3022091291087845 4.092838844379178 -9.904459365559438,14.0572974267887
7,0.2572835006161318 0.2613544055268545 -0.7416055739986945,-0.6499830250620089 -0.6566503188551104 1.8682682585476715,2.9115814679335266
8,1.4923161734346615 0.6597033465429162 1.3150421514544268,-0.6599281184743854 -0.3095663687196403 -0.5976802753778451,3.0381155927790777
9,-0.09186964851175228 -0.7418495760640871 -1.420202144873266,0.31373726037408006 2.178869522629608 4.299055780054259,6.434673902371147
10,-1.4231014081524735 0.008198818233434602 1.551011750493445,-4.470786628879497 0.29748522833373486 5.374294034295063,4.897913765404406
11,1.7482746021632543 0.681677527665291 -1.3140353666280113,-61.692124196511145 -24.19623924608452 46.780915036130644,83.40694933265624
12,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,3.3448903560633623 5.119075667723998 -16.85167187411352,19.481364417060384
13,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-1.3035106115172967 0.17401625096333664 0.8239318749619771,0.8495397555274325
14,0.6475404019334752 0.59449251027997 -1.331433030984044,-0.8998095795985971 -0.7756680993753395 2.0223876131352325,3.9395107531924514
15,1.6166046332162294 -0.6775229796402341 1.3343980747415785,2.5138021375218362 -1.2504101300474233 2.486586482042634,1.568662224557225
16,1.7327907890207053 0.40991595622963495 -1.444314435548648,2.0372900505248333 0.5035911659856636 -1.943759543355327,0.5924021108093898
17,-0.27911076623878817 0.5701822910079993 0.3227161255574096,-6.629492005373187 14.38236773724423 6.105749037458779,16.26490941701504
18,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-19.849549856282778 -14.953222234166155 27.905910679705233,36.42148398013183
19,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-0.46075249418389314 0.15226009844710267 0.5400612063167587,1.0610595986342437
0,-1.8240322652140168 0.5867957763527899 -0.1862137938943753,2.2094574419509234 -0.64665229954928 0.13321802277677425,4.229949179275546
1,1.5762315415935233 0.2092796576284287 1.069374539624862,-0.41396219493583475 -0.09580911007692959 -0.31736484994225944,2.4447896432367457
