,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,16.655133188568396 98.91575111740745 1.3614522878183832,101.06923082245183
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.2196036418986487 -1.7161596313479905 -0.5326054704076533,5.279449905693328
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.8860105368985022 -3.3828366472858127 -12.531413902918421,11.410690369411336
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.330700262869402 0.1601310392610469 -1.3649534178700213,4.818497084429691
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1725139231319712 -1.7346891522442744 4.264741440687236,5.840623564476248
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.628727616880144 0.05603954328995224 -2.0845810652300534,6.244357673126305
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.914020934911239 -2.091958085557607 2.548143327657006,7.210303252156235
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.33695006065862737 -0.016001331931349384 0.2557420099177133,2.014371824447488
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.7554605225226503 -0.1924582324804466 3.3164923875094505,5.126603548355183
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,20.102558003559217 -61.16105200624888 -128.24201787024094,142.09815626033523
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.8042553256145402 0.6726131656317309 2.270946317644436,4.129068162554649
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.6406146744792016 -0.35069587137070374 -1.0231784387436103,3.9773865748805304
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.1624891374369324 1.1315503025738796 -1.7200682143624466,1.7620927683562604
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.13043927445705 1.595842501895621 18.750532572662205,20.357608232732847
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,1.609834779392326 -1.0134063392761548 -0.6245438112293837,0.35102963803206233
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.8263004426597087 2.1252574465258025 7.0308272780974885,9.424290925138994
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.041408426823761 -1.6449052138492561 1.6328057000773792,5.538203043755798
