,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,17.240844509301713 102.3943228329474 1.40933050101459,104.59708815288369
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.428093992639631 -1.8272921691582202 -0.5670951510275862,5.518196463067746
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.7698459025155024 -2.9393137252165618 -10.888423155392672,9.705316373232089
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.1646761589341117 0.1487243334185668 -1.267722910916592,4.62637206614871
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.0071482448326194 -1.60264946989975 3.940121260534882,5.45312358221791
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.684988308345813 0.056908394244828756 -2.1169009262194867,6.308976681700788
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.917345741466008 -2.0933734958798853 2.5498673910565115,7.214306472611294
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.3368587426646033 -0.015996995355386675 0.2556727003966295,2.0142571193922207
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.6703373762473928 -0.1865127108003494 3.2140375476323455,4.993271352724089
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,20.83484499471573 -63.38899945162837 -132.91356073505506,147.32532573073226
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.629367258116715 0.607416175471338 2.0508214787451173,3.840812440722068
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.5061103321385128 -0.32194438068000564 -0.9392940598329627,3.8167709815928537
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.1994034308579065 1.1447583732025923 -1.7401457861768206,1.80605608726964
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.1501495228028238 1.6236674835145681 19.077465351780482,20.68631395744146
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,2.4789455512035747 -1.5605198548750514 -0.9617198747334906,1.430415516156717
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.705120921261749 2.0341356123675456 6.729375857104965,9.086858569635933
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.099734068016185 -1.676449859564173 1.6641183112215245,5.611533018692696
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.239837114942211 0.3966223706039825 -0.21955512945740974,3.4389073754781467
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,7.668609427834881 -3.8351718500656986 4.775754453277366,11.24141377131808
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,4.868958186623001 -2.3340437578496274 3.1193689498742514,8.691691865012297
0,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.7603449987659153 1.8897719747769488 7.739779044477703,9.622022163220537
1,1.125527796586514 0.7774539872013634 -0.32807029736367843,1.7765120947449922 1.6203125059807784 -0.5536375805100496,1.088609956942316
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-1.026087821221501 0.6377957177838313 0.24608531391185556,0.40782294837066113
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,-2.5850055573220403 -0.14066605341867655 0.8669360725863637,0.809510595839429
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-1.599621155062963 -0.6353620917959059 0.5832396168494192,1.3763774131977957
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-5.431986716771817 3.1798710637385597 -4.70961868672589,8.877687476496028
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,2.3266823628675195 -0.45290931330576717 0.3896239707037656,0.6605327296020231
5,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,66.18373101658139 13.040844793640343 -34.862913346219514,78.0627140382711
6,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-184.04407962376655 393.03202613343643 -366.6556512968818,568.3570286782477
7,1.9008001216671224 0.38543904352841685 1.0371873162447982,-8.341139533947835 -2.2630653231972104 -4.163921206907173,11.788275241078614
8,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-12.193437701574776 -2.953150759569182 2.4807837008866778,10.578400312234454
9,0.5239309021164531 0.031137315196742454 1.1265973187056755,-4.3894138928801505 -0.5875252660276993 -9.122720111840195,11.38297888322819
10,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,2.778060307541087 -0.9492319344065259 -4.679436882592132,4.5691025005395955
11,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,2.802429391699076 1.5355511042315462 -0.7585793321787069,4.9403511014205295
12,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.009014311729547263 -2.051526600616993 8.519888230683202,7.9424362540480535
13,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,1.456371973185796 -0.7683063372952367 1.0360046502820306,3.9385697924510157
14,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,4.5324815364076505 4.3293964435247725 15.635343369077091,17.93790737493991
15,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,-0.9074937594519319 0.04972074519536724 0.9056373489606477,3.3828850672901263
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,3.9655288423495616 -3.3560541034214544 -7.311959980373468,7.0775677341335115
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-134.99444412168336 -1.232040695313659 56.86417058848065,145.33730999025747
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-21.357854014754835 3.2583541592104437 -27.69926248599876,37.01923355712328
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-3.9691852817664683 -0.07447593906828139 -2.7622361706855507,3.103123945393259
0,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,3.0849512907029784 0.32120108805944425 -5.235571886755472,7.2831796387863506
1,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,5.909410724741007 -1.7845772783237697 -2.3632864721144924,4.582113572517154
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.5660787586648452 -2.944139027944007 3.693066793980323,3.85327102212772
1,0.4709928888337087 -0.4835882504702588 1.0908725070025382,7.204715343021006 -6.421723695889757 14.588026249527315,16.2104173236695
2,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,5.494209131920789 1.10688417427572 1.889729406655168,7.992242238890918
3,1.933393761196776 0.22538399326206593 0.009510405009429235,13.71292038364398 2.2811522647109532 2.3700876753969475,12.188345075698692
4,0.8281278138379884 -0.7128107622896663 0.34572582375485794,6.8462496884007695 -5.960346273159767 2.5105496515328114,8.272900461159253
5,0.8406396603165116 -0.7446820101459279 -1.4074916468700804,-1.6649719716388849 1.5524053704613683 2.589560792476126,5.247011367170738
