,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,22.430351586369913 133.21509049931674 1.833540034659965,135.85454608706902
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.9545794751446106 -1.574892622454093 -0.48876363870932926,4.975967725285628
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.942612572246987 -3.5989463113515305 -13.33197270347447,12.241685063178497
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.279425499421817 0.15660820052904384 -1.3349248188548508,4.759156044088464
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.2090304391861206 -1.763846527763216 4.336424985555454,5.926192457360542
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.364895815912735 0.05196510861406137 -1.9330186348773828,5.941408482090846
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.692558982983038 -1.9976790568118883 2.433305234248287,6.943654255862717
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.30846723274634663 -0.014648718482112914 0.23412380440622407,1.9785944875903898
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.6908455608914705 -0.1879451279718965 3.238721348288453,5.0253942257381565
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,18.312628539441832 -55.715278934830906 -116.8233632749814,129.32138347035445
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.8582115111206672 0.6927276362520841 2.3388588791592806,4.218009928711356
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.63662517277639 -0.34984308015911314 -1.0206903638853608,3.972622023739224
12,1.634958907181415 0.6915897345533922 -0.959767603724756,2.9862586223626932 1.0684943728967204 -1.62421697370788,1.5522760682058745
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.0402199205764504 1.468479730033882 17.25406923151084,18.853029831946166
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,0.7632973989029072 -0.4805029886937818 -0.29612521279497145,0.704837710117656
