,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,8.626992161249067 -0.41640783439331336 -0.07548062725272923,8.797978305513631
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,10.77983056524125 -1.6297127756254732 -0.3313336635449069,12.430224886651812
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,8.315137243506156 -0.6121773077114303 0.13342325047004475,8.408692236300894
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,10.91986455660086 -0.779149440882664 -0.7658827176682207,12.92473101454334
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,9.71834316932648 -1.0392449875232719 0.5087896164399827,10.166718063060845
5,-1.759033352229458 0.5444320590011676 1.033993487392955,10.666985203302513 -0.8229970132259244 -0.9850140225684988,12.663024549264582
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,10.429145963610214 -1.2725141939859248 0.5216342762082689,11.73077476610978
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,10.13495874045914 -0.6800312084191162 -1.2904829302101763,8.8848665945978
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,10.030398537335884 -0.8508669752537632 0.7265223470405437,10.688766197856934
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,8.530083119679134 -0.9126161328922906 -0.7215884972252258,8.288983029682468
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,9.953455301164068 -0.5244767554169627 0.9704918023102507,10.916076680702936
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,10.762506745899298 -1.058847985046948 -1.0109651834086741,12.609758395987178
12,1.634958907181415 0.6915897345533922 -0.959767603724756,10.206584566062137 -0.14897809545634189 -0.9835258370296216,8.612774533591333
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,9.017584665195551 -0.7057901555404098 0.1171215749515359,9.240273370978523
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,10.405845904915271 -1.6401253951804966 -0.5929341739938216,9.098361454782266
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,9.406700911753731 -0.3678612811278375 0.9495129469812543,10.239289468878686
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,10.239200643601754 -0.11527526824906587 -0.7416506631177984,8.909453533563234
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,10.824657133174714 -0.37573405841561464 -0.340040744239838,12.880908830222664
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,9.807882045499646 -1.361361770586324 0.9846152060240552,11.177559128894245
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,9.98720824970927 -1.4544468790586587 0.7453205537382201,12.25387181717631
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,1.0656093173763248 -0.5338724308647199 -1.3066152357623468,2.8119130265219963
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,0.2453263742863151 0.3877589395795425 -1.5079241146885167,1.2257281999304792
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,1.056527059444618 -0.8168588860430714 -1.3930692083034408,0.9725907398778909
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,0.6493291578474745 0.27022025231075647 -0.776664857691898,3.3499163455368293
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,1.5638712712356608 -0.38541444313176115 -0.9270372527362274,2.352810800796134
