,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,23.391213492763463 138.92170215561126 1.9120844465194222,141.6420145565958
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.0513061743449454 -1.6264512846076937 -0.5047647291721893,5.086730227747795
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.915809050447765 -3.4966090004024624 -12.952873345471655,11.848170364268793
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.1604152959133485 0.14843159031704783 -1.2652275752288933,4.62144201777091
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1894851178605923 -1.7482401574106405 4.298056650632029,5.8803920424336775
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.3566469657619264 0.051837719114511134 -1.9282799499581011,5.931938824466116
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.738611173692715 -2.0172840308217284 2.4571853894277575,6.999102688990265
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.41641125618955 -0.019774843539766412 0.3160523295414003,2.1141842656311303
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.688018003384991 -0.1877476340446616 3.235318079445065,5.020965297284925
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,18.9734793224302 -57.72588520193212 -121.03918684860584,134.03863094115815
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.8183340430460502 0.6778616083356023 2.2886666541480047,4.1522752194572945
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.539922351792379 -0.3291719984014432 -0.9603811133735477,3.857143072269485
12,1.634958907181415 0.6915897345533922 -0.959767603724756,2.8987552594959842 1.0371853462328995 -1.5766241610290572,1.4481469397906617
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.0617519800359967 1.4988765646231543 17.611220288958517,19.21211762334348
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,0.8530500225153326 -0.5370031208190378 -0.3309452119255033,0.5934014412795678
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.7456041325573057 2.0645772614457996 6.830083645274125,9.19958673644676
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.158601969288877 -1.7082877794166356 1.695722039251576,5.685544775573702
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.0593886081481527 0.33889711486347807 -0.1876006131809613,3.2469943369090166
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,7.346516054553155 -3.674088742374878 4.575165431721782,10.829207065825079
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,4.7811995380415295 -2.2919746913126304 3.063145093974221,8.579309668974892
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.7993748489740999 -0.40538023691126435 -0.15354033654299293,0.799995097830529
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-2.5394312927752867 1.073925215563453 -3.4671648198566056,2.751143551930072
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-2.7824150258457943 -0.4616274463928383 2.53897229381536,5.99704104669696
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.6816675235442102 -0.22932858036825599 0.3406838728652204,1.565719668781508
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,-2.790953521446994 -1.0519981580655362 3.4025665660938693,3.980840741232592
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-0.8349458359392111 0.49164780851820705 0.2205629615808134,2.120213762440931
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.7130670080813626 -0.4594148233899599 2.160159533030849,4.42128919549319
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,1.6515092512743756 -0.5810301930516274 1.7138152211428554,0.5482930420313136
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,11.36318222723755 9.706690162413897 -41.935635881710304,42.93905796035505
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.635874689074873 2.137580215465329 5.226587621995163,4.1927140511831364
10,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.7003148593765766 0.13703323367101472 -1.7125746152194952,3.242296263978679
11,1.2918975083772835 0.8688479430192452 -0.444140951402505,7.067858658987052 4.478187083425162 -2.256342203353995,7.047916686609881
12,1.125527796586514 0.7774539872013634 -0.32807029736367843,1.5475434157404053 1.411475867510109 -0.4822810916734916,0.7770855143430117
13,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.6345367886071196 1.5770865094410542 6.459139663419485,8.298109892198328
14,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,4.284615584444313 0.092046071833778 -0.9893174892629341,6.4568507061869775
15,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.9690961843457668 -0.5643240814745298 0.82596026850284,0.39529342197294626
16,2.0281460358843417 0.8277299971979065 0.9971722018834903,-0.10911525291728398 -0.04388468821396341 -0.06899449887604922,2.542500621483523
17,-1.4329236909046452 0.09447759282124091 -0.951476549724665,0.9945144904029466 -0.0027303874649376243 0.6991385239447595,2.937079440009403
18,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,0.03694729508009283 0.0382888004131573 0.08661128236107823,2.0201970502507076
19,-1.448759575850457 -0.709292391613069 0.5558037372203533,-2.6769663447586707 -1.5612212970806638 0.5185864251576255,1.4952123111720097
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-0.48018327779553954 0.29847234514957377 0.11516173392533663,1.063492324429148
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,-1.0682542078024182 -0.05813028255735435 0.35826155375677526,0.7936594898095756
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-1.0344457156521627 -0.4108770327685508 0.3771703824614291,0.7342867668515596
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,-5.034611203790293 2.9472484596981805 -4.365087810793027,8.302624613654805
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,-1.9739262049159523 0.3842422052329104 -0.3305517668031421,3.797560882486246
