,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,22.888350690054537 135.93517234070117 1.8709785781090311,138.61316864319227
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.015642184176309 -1.6074411495017118 -0.4988649854853612,5.04589106532918
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.9598207824709507 -3.664648198355716 -13.575359430679528,12.494328899209155
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.3301158882727147 0.16009088973475388 -1.3646111842006938,4.8178207535138675
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.2491224699762866 -1.7958588477592519 4.415127424850127,6.020139848379389
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.4296489556094443 0.052965111027666045 -1.9702171196294602,6.015749764075697
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.7785554839190105 -2.0342888063114435 2.477898330811032,7.047197124950919
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.3126758924503333 -0.014848582404908916 0.23731813857447842,1.9838809797770052
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.7393349023759863 -0.19133192044450537 3.297083473455651,5.1013452551237215
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,18.672745336364823 -56.81091672087938 -119.12068805813564,131.89194870151903
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.8915374332835115 0.7051512958557559 2.380804927007047,4.272946646976218
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.6719675065298665 -0.3573978160302185 -1.0427318062995687,4.0148315445798834
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.0424078434265565 1.088584771732238 -1.654756364110794,1.6191130117274506
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.0593094472596967 1.4954284381251037 17.570706135375346,19.1713837712862
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,0.7711727148385986 -0.485460575146253 -0.2991804827469407,0.6950573401970289
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.7995643528006737 2.1051530467223536 6.96431742406595,9.349842522412652
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-2.8866057209769767 -1.5611822334959502 1.5496985651510784,5.343577302402751
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.0573003194656676 0.33822907387827883 -0.1872308109815419,3.2447735240149784
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,7.342033706517125 -3.6718470615106025 4.572373974705271,10.823470682414017
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,5.045463974375232 -2.4186557459458253 3.2324499525618666,8.917723034990392
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.7744012573615917 -0.3927155896592318 -0.14874352104924451,0.828284842897808
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-2.2078683351197066 0.9337072770879533 -3.0144715630547343,2.172763013519002
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-2.62462718676736 -0.4354490378703785 2.394989836849091,5.782108360467315
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.691083834818392 -0.23249644332523847 0.34538995799058086,1.5547277762097935
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,-2.464040272881638 -0.9287742732193024 3.004013139448158,3.450874671564805
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-0.8015313837067334 0.4719721104000717 0.21173605302367854,2.080507478730111
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.7259965821871786 -0.46288231063728225 2.1764635903916805,4.442380476365357
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,2.074900463806764 -0.7299867173727776 2.153179580728623,1.1181521595228958
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,11.024609247723859 9.41747337931707 -40.68613790620142,41.612590082968225
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.3076107700667108 1.0340759074957147 2.5284142785462578,1.2752743562903355
10,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.926737554005161 0.18133821107657827 -2.26627664501178,3.8420908281941983
11,1.2918975083772835 0.8688479430192452 -0.444140951402505,6.845544842470188 4.337329306037822 -2.185370771864222,6.775340800635019
12,1.125527796586514 0.7774539872013634 -0.32807029736367843,1.5997773107770057 1.4591171042988957 -0.4985594200643997,0.8477285814930997
13,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.5512413572421423 1.3700628924303875 5.611250566725551,7.4216368029187825
14,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,4.109406108294741 0.0882820599382479 -0.9488616314098546,6.277018368231189
15,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.9721476551590997 -0.5661010139314901 0.8285610357878856,0.3909133514538919
16,2.0281460358843417 0.8277299971979065 0.9971722018834903,-0.15154727105872037 -0.06095027562398163 -0.09582462344339168,2.5952760161127
