,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,23.683515591202454 140.65770037867753 1.93597830291482,143.40261015694074
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.199080113508472 -1.705219883840661 -0.5292103495454377,5.255948079545553
2,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.8557565241487591 -3.2673251733302755 -12.103512043739256,10.966529730455123
3,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.1780776000873776 0.1496450810297703 -1.2755713430800717,4.641878484009429
4,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.0991281087879927 -1.6760927148563889 4.120681823734286,5.668659161904712
5,-1.759033352229458 0.5444320590011676 1.033993487392955,3.473621194627709 0.05364418767716637 -1.9954776810523798,6.066237870527768
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.776393222361742 -2.0333683054410288 2.4767770998613106,7.04459367916781
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.3116398084868878 -0.014799380088769146 0.2365317603357057,1.9825795555611165
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.660277328181023 -0.18581005545337698 3.2019292003860755,4.977513859844765
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,19.286894096929196 -58.6794343631516 -123.03858130900144,136.27583047331433
10,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,1.7347845625767495 0.6467149741826994 2.1835061581144193,4.014558415502467
11,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.5499782273863463 -0.33132153059122504 -0.9666525159463065,3.8691504591516273
12,1.634958907181415 0.6915897345533922 -0.959767603724756,3.0715878396055576 1.0990254822202477 -1.6706272752005935,1.65385248752291
13,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.0746269675039248 1.5170522001278228 17.824776980896665,19.426832386328154
14,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,1.5408995458386432 -0.9700109526333377 -0.5978000273065043,0.2659477735298183
15,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,2.6880757506358335 2.0213183706995155 6.686973553093809,9.039395170078699
16,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-2.933720872979894 -1.5866638355384068 1.5749927308645326,5.402812819040339
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,1.1450723055943803 0.36630722446067404 -0.20277381219111748,3.33811867224487
18,-1.0566692317225062 0.628104284393565 -0.730429528267253,7.351289178435924 -3.6764758440423098 4.578137974247737,10.83531557629205
19,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,4.861707874812487 -2.330568159092118 3.1147239320548827,8.682407230050142
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.7197371031751132 -0.36499421738550075 -0.1382438754306695,0.8902342078636163
1,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.20534506399662053 0.08684040507213514 -0.28036402632582924,1.320486816660452
2,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-2.883126176312728 -0.4783363236744376 2.630871891229331,6.134235993934956
3,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.8994172261275613 -0.30258457166063163 0.4495108441218827,1.3115404903220647
4,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,-3.0453687060158843 -1.147895242518456 3.7127346123434877,4.393284504952877
5,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-0.8968266808131373 0.528085599404724 0.2369096775269598,2.1937525665654034
6,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.798650207889207 -0.48236675138774715 2.2680790505161905,4.560896938862979
7,1.5929932835229406 -0.42170096353925707 1.1924560953178065,1.4634659989350751 -0.5148732477457195 1.5186777201911523,0.3631514016659741
8,0.4333158232848717 0.27176628808926206 -1.4970042233545013,11.661482113966093 9.961504748509034 -43.03650667505361,44.107743238769814
9,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.7480767632288158 2.514762918231159 6.148835325844451,5.194066966003689
