,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,12.191361419420788 -6.498415533796904 -2.0167655730042604,15.553674747720175
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-5.941440457923971 -22.68474434749782 -84.03359379722548,85.6427478221332
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-1.282337767699457 1.0239093942995463 -2.517286062306186,2.255313788990267
3,-1.759033352229458 0.5444320590011676 1.033993487392955,14.68527741917226 0.22678920176549708 -8.436194302171597,18.978954410104073
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,7.338348274503397 -3.1240235259116593 3.8052673033711577,10.1294190873416
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-5.8383889653301875 -0.27725770280606654 4.431283750940336,8.925643579267705
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.4864645008664334 -0.38320827018663545 6.6035487000212525,9.404343589826155
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,-1.5149823511610379 4.6092598937659615 9.664660274393684,12.211170179886087
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-6.296976554586203 -37.39808974287392 -0.5147381914942829,37.176670213324385
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,13.47835208407249 -2.8811167559899022 -8.405849013020516,18.147157790395376
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-6.611698745636234 -2.3656902493633334 3.596082819916318,9.905054084931809
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,18.123373306471407 1.2451685224029174 -10.613788796482684,23.14060668975067
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-7.870347782330925 -11.110579559239175 -130.54501536286006,129.74781585015916
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-12.47728767546699 7.854571530665704 4.840628925648551,17.171198991267914
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,9.903904067044197 7.44731365089948 24.637380309330016,29.13234596106038
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-10.39900672422801 -5.624164195993842 5.582794242532817,14.788625844473732
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-29.409861667045558 -10.963780943767004 -37.017054131438435,47.38588752624311
17,-1.0566692317225062 0.628104284393565 -0.730429528267253,2.9503653337688127 -1.4755162825751738 1.8373892312728901,5.203387231473587
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,35.856201253695694 -17.18847020422532 22.971797366942724,48.37697010859591
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.953343872735711 -0.48346125160616105 -0.18311401622017232,0.6258201870905383
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.7670675006134055 -0.25805909022580875 0.38336508317030193,1.4660308617355136
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,0.09334055175538147 0.002005227998300014 -0.02155232797180505,2.1562025458624787
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-2.8659367571946013 1.68757237341212 0.7570784494770213,4.535697276551638
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,4.157157522503904 1.1148774566293362 -5.242132041644687,5.158031106444319
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.7523359451194218 0.26468510490940805 -0.7807190865952656,3.1408781135539594
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,0.02698153138359355 0.02304824124180742 -0.09957489486713866,1.4764067704122623
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.17777907838653847 0.5976288209169126 1.4612595005104547,0.25828291770810397
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.06289926963018061 0.012307735867037903 -0.1538160886381682,1.5539962785020862
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,-1.3610615610368195 -0.8623670331368948 0.4345051011490345,3.287448251047954
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-1.6476028147574655 -1.5027375572266288 0.5134639041873833,3.687506837855915
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.2096013047991894 0.5209459815334893 2.133594341007025,3.8281299265690056
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.5568912066637016 -0.32428888252603794 0.4746381401690746,0.9874173153979591
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,-8.883113818645702 -3.5726689887795025 -5.6168681278772965,13.49683786420257
14,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.9934881855116617 -1.0295603714811958 -2.328919764524463,0.8506554836475663
15,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.7171614961207284 -0.4182524757481961 0.13892973188180688,0.890911847052143
16,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-1.843241274205709 0.7795065329660744 -2.5166348538807335,1.5367068973934916
17,1.600752347255444 -0.022567221074882737 -1.5303730114754932,7.560588463095989 1.254368997085623 -6.899087466976842,8.122395431006577
18,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.3430528531472197 0.12930740940569127 -0.4182298843574664,1.1011553327962302
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,6.493911418567142 -4.03648577516405 -1.557426369266798,9.44350759046394
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,8.671095248432902 0.47184763064033025 -2.9080344676265417,11.079197137487363
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,6.07835189195589 2.414293134672045 -2.216234523605531,7.346508583036639
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,3.5539475084801593 -2.08047173778399 3.081328889465358,4.127795952510815
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,2.6992194428056386 -0.5254269529064549 0.4520086686051098,1.0394977856408125
5,0.0872021833604344 -0.15004712404899445 0.13208074574839945,0.9875588375755981 -2.108963524671812 1.9674310063409033,2.831343523572431
6,1.9008001216671224 0.38543904352841685 1.0371873162447982,6.892325246302967 1.8699821766106488 3.4406688847704054,5.735496058240717
7,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,5.500401637274159 1.3321522338982312 -1.119069704872306,7.979674270367479
8,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,0.42954894338394006 -0.14677203851327347 -0.723543388562511,0.1452288828636115
9,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,15.75577905300955 8.633153789544238 -4.264874036573275,20.118095421217006
10,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,0.005813105940466723 1.3229785952466844 -5.494264495375351,6.472599913883618
11,0.5239309021164531 0.031137315196742454 1.1265973187056755,8.63086363923925 1.1552454563280075 17.9379195550352,18.697768124856463
12,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,3.6613708660832196 -1.9315494196488607 2.6045524862523894,6.8838650374182375
13,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-4.460992826540129 -4.261110899774277 -15.388734416164054,15.486378384576012
14,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,1.1618293896323468 -0.0636555595459814 -1.1594526986132285,0.4705684770748669
15,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,3.3424662656708914 0.6585996759184256 -1.7606760754172641,5.964866871887724
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,0.6605082258482521 -0.5589926160739422 -1.2178980171654417,0.4113644030852689
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,5.916092798985315 0.05399383013890445 -2.4920559681370396,7.570728943702589
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,2.1776289552494577 -0.33221906838825305 2.824193666034774,1.716881051806843
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-0.5089335924627947 -0.0095493922634904 -0.35417716175547953,1.136547975933771
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,5.035312898688386 1.3404598061786732 3.594834729307039,8.306663234280071
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,1044.5766508971315 -116.9222409464919 316.057762023517,1099.2814573667508
2,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,4.8304443605954885 1.3026722097905559 -2.9170921180821354,7.053553577890185
3,0.45357058902072955 -0.5857664362345507 0.696295740846494,-3.705126659179793 5.4131419557276885 -7.379161248302017,10.885525723681567
4,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,0.43817590589721656 0.2757742471490555 -0.9512065745774506,2.239670698965836
5,1.4342114032216138 -0.419027360463262 0.07978750941271606,-273.7727366528762 65.4966565901109 -22.091896190615422,283.85793137962133
6,1.728382546845478 0.4439953450498987 0.247362103240496,24.461501479513995 4.812505851179774 6.270836095473703,23.91988334804601
7,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,0.7185940976811803 0.07481907631536489 -1.2195495815918336,2.6190427306755266
8,0.5190586580408638 0.48286723729437975 -0.38627130262387155,1.945500378635517 2.031389214946918 -1.1101065025174224,2.2263408755468914
9,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,2.4022933830832147 -0.7254662752360532 -0.9607231107699895,0.6631212521678157
10,-1.9356160527772448 -0.8410459669549014 0.612978652561118,-0.0952059059022318 -0.03561603747918875 0.018821262419775407,2.094958205854076
11,-1.4814106721574376 -0.16310506589811236 0.1635035819828512,21.694148802892204 3.6959675137333936 -4.390731082217846,23.931988039714426
12,1.6457580204271904 -0.10698233056601003 1.055894025410392,34.74833754672548 -3.459942319813951 17.35854019458306,37.0513074546856
13,2.029294752646892 -0.5068285909554975 -1.4955514957188436,1.702412046834124 -0.7291184542161486 -1.7032272307346417,0.44653588610801226
14,1.6235392403865951 -0.5099916687245605 -1.4773906474166134,0.04833219406978231 -0.022668485569323205 -0.03839151003225846,2.188487980547211
15,-1.2110973598736323 0.6387415479613107 1.4216168147294281,-2.1537916511731017 1.1961772655575416 2.3926289181730276,1.463650098600959
16,-0.8650357536253384 0.3398042700488556 0.5993472556537052,-1.443239112550473 0.4086259891494009 0.7527700753185613,0.6021578820261158
17,0.9286931458989471 0.29343198923814595 -0.11051744835857491,6.84546492905789 3.180806197742811 -0.7568889968098169,6.615354437410822
18,-0.05680893578125312 -0.2933536280066664 -1.2519175014713881,0.10025351091618823 -0.20272740641391382 -1.2874666721225916,0.18478492291513854
19,-1.6533546004599535 -0.05764025577762777 1.5459131065105103,-3.076780791327164 -0.04539645191011733 2.6649301210976266,1.810660407286619
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.2290610104595691 -1.1913315070590562 1.4943814770917128,1.0381077183110916
1,0.4709928888337087 -0.4835882504702588 1.0908725070025382,12.293010659183672 -10.957034953556375 24.8907491335661,28.563741306847433
2,1.933393761196776 0.22538399326206593 0.009510405009429235,-4.505585373891996 -0.7495067419600294 -0.778727803148851,6.559892050981556
3,0.8406396603165116 -0.7446820101459279 -1.4074916468700804,1.2692097352683578 -1.183400106929725 -1.9740246826165764,0.8349284748898966
4,0.8281278138379884 -0.7128107622896663 0.34572582375485794,-41.52060395404021 36.14784565279494 -15.225786749328615,58.26315368663381
5,0.7573828076600333 -0.4829897035929976 1.3574927623388051,2.8978661541675725 -1.8819589954270457 4.554243913965693,4.093653864409961
6,0.2572835006161318 0.2613544055268545 -0.7416055739986945,-1.1945792439507255 -1.2068328113078128 3.433619645036269,4.657894885289222
7,1.4923161734346615 0.6597033465429162 1.3150421514544268,-10.32804988651245 -4.8447956827696235 -9.353854650953949,16.847727512495325
8,-0.09186964851175228 -0.7418495760640871 -1.420202144873266,0.20949230053527457 1.4549001553644696 2.8706156368522993,4.8298701476165125
9,-1.4231014081524735 0.008198818233434602 1.551011750493445,-5.345552094453633 0.3556919435868867 6.425842053311276,6.266605248450179
10,1.7482746021632543 0.681677527665291 -1.3140353666280113,-4.014585789768235 -1.5745588194328495 3.0442459095455545,7.569397468299878
11,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,-1.4639689539952976 -2.2404823635297433 7.3755255988877195,6.294378213451325
12,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-1.148964374343428 0.15338461470670237 0.7262452356374511,1.0327752836728457
13,0.6475404019334752 0.59449251027997 -1.331433030984044,-4.44922932125261 -3.835395098639188 9.999967183404946,13.190966479280307
14,1.6166046332162294 -0.6775229796402341 1.3343980747415785,10.622404578416592 -5.283773966159598 10.507401213970454,13.655254204740542
15,1.7327907890207053 0.40991595622963495 -1.444314435548648,-2.6735448948940026 -0.660864951746976 2.5508043897335018,6.043454338402098
16,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-3.925806869763963 -2.9574203443921383 5.519178855269131,6.445126681878157
17,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,10.659115557471116 2.1474257784971043 3.666195376666846,13.551803351269575
18,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-6.439381501974528 2.127955624343906 7.547783649115085,8.365275118598358
0,-1.8956553329586494 0.48868895694739123 -1.1129498407858318,-0.9657698168882498 0.28964465561890346 -0.6459834001744256,1.0594165203290655
1,-1.8240322652140168 0.5867957763527899 -0.1862137938943753,-1.0529202174003274 0.3081631114028822 -0.06348524612445491,0.8290429715631289
2,1.5762315415935233 0.2092796576284287 1.069374539624862,2.0451060851769522 0.4733277493228282 1.5678842024180237,0.7335370585363596
3,0.052810176013954546 -0.48396116352348 -0.5221889873989345,0.0555474686820649 -0.5343171230540733 -0.5711862423053887,0.0703132023148263
4,0.3712252395078175 0.490331829528036 0.8088986527787063,0.4609748203672325 0.6046081021465233 0.9758692867073443,0.22134418072889725
5,1.8047373429757445 0.04298054037927235 1.409478776478449,4.251973737871908 0.23326692448454017 2.98208686214994,2.915179423568913
6,1.8445034203979604 0.7668637020642585 1.4968127151371902,1.841506273002806 0.7930670390945823 1.719814838190063,0.22455632845707488
7,1.100150548608379 -0.6759965343067005 -0.5572614048725637,1.4841780786078944 -1.1322189070053954 -0.6226338956394197,0.5999079593549483
8,1.9572275817419729 -0.08754001883756268 -1.583264909939205,0.9132472128372787 -0.08176399212612084 -0.6935445712410243,1.3716889786814497
9,-1.9628270611854202 0.7984954605508562 1.1662621861861622,-2.059114886301673 0.7783052570815082 1.2030499939626984,0.10503491030488459
10,-1.402499155729641 0.7279358108222199 1.5992697717098476,-1.8625275398233652 0.9631529949942969 2.0970407262688964,0.7174462775040027
11,0.43961410095011866 0.47273358494465956 0.6851576174865506,0.44988851401393803 0.4913603315382122 0.6367957589265937,0.05283359362980794
12,0.4180941065267847 0.6394450322145849 0.575772333385479,0.6597968044048944 0.9191786926106819 0.9602085175075847,0.5333500675752477
13,2.055288986604768 0.10444668422611947 -0.013637257030095329,-2.3787003207980075 -0.12262580373719445 0.002819322858691166,4.439830392253023
14,1.0131699388289115 -0.509643779288385 -0.12114856608202662,1.421249963756877 -0.8965905209047249 -0.2066855777920161,0.5688353610360263
15,1.042895733022554 0.8799298311601967 -1.234978786499308,-0.39981853582283616 -0.27262932340787716 0.4170717214564605,2.477718294549579
16,-1.0783979787569005 -0.1747278807945497 0.062480411251896184,-0.8862844700259065 -0.32833664129030926 0.04809926919458904,0.24639413301629115
17,0.8093389789326806 -0.7647667825300984 1.261798905938881,1.2674271820441116 -1.1159851533122922 1.9854338037638104,0.9256600948268507
18,0.4200056846110254 -0.11000275319829056 -0.13509069984605704,3.017191433456213 -0.6280130457214798 -1.2032939406144314,2.8556552034082396
19,-0.132270951051088 -0.5644887544039232 -1.5939341853059013,-0.11996879970676386 -0.2765912038054781 -0.8951641111981913,0.7558544562525099
0,1.3308392875675157 -0.35964650437234646 -0.964270844664938,-4.006174653537244 0.24375229764691672 2.141365200337392,6.204255246670833
1,1.4838583968571766 -0.24347837710447917 -0.7093818763049647,-5.796863139107304 1.8216308554479739 2.8274008612220145,8.353586915756562
2,-0.12659633345684274 0.8994127695902302 -0.2290840808823038,0.56416732820129 -10.516887459216285 2.96090227559503,11.873713753709348
3,-0.5152978958674135 0.10203960223427966 0.5421259310170181,-0.9073371360604249 0.10901723404172146 1.073138448271463,0.6600891960013101
4,-0.13751052973387723 -0.2539755854827679 -0.6417800811016247,0.8108162844302322 1.3851292003313505 3.9186557545824896,4.937971573098944
5,1.460484835557716 0.6638897464897159 -0.4817960096003471,-8.497876390328658 -4.628967319192021 1.1928825735728803,11.401221100387156
6,2.0769060075051518 -0.4877662579694984 -0.5798268280524508,-3.5519699429434937 0.8297688746850378 0.9976046509500378,5.992364588563192
7,-0.05754030238696606 -0.05661731797702407 1.2455012104683059,0.010471181916683055 -0.30095453129830574 2.206242858718521,0.9936552473032765
8,0.0922336742843144 -0.5522396119106671 -0.5281144273407505,0.8569201221561054 -9.32779869677473 -9.760757836257172,12.760755735132102
9,-1.3397002974635253 0.6747855542755771 -0.7791194651460945,-1.85009494424189 0.9276759746764057 -1.089981966193137,0.6489158302489946
10,1.8771304535371187 0.26277969148431246 -1.4074728795287645,-2.8511624875715285 0.17012373208710857 2.4710432083542084,6.116226476162955
