,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,15.309414770733074 -8.160445362647465 -2.532572006541684,19.124455419123375
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-8.062894476079308 -30.784571718929776 -114.03867530627232,116.79411688604657
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,7.9773731713009965 -6.369700353271218 15.659938281282667,19.443175982887645
3,-1.759033352229458 0.5444320590011676 1.033993487392955,12.432463477224386 0.19199831147196256 -7.14202902367973,16.382006467718274
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,9.59590455822745 -4.085092512774497 4.9759129024391004,12.8478422116038
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-13.64178011442203 -0.6478308723811153 10.353986161920712,18.729105835074424
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.782548883189637 -0.40388861614739674 6.959918022684001,9.868121552675605
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,-2.627887629924217 7.995219910417194 16.764314886595972,20.15517271050006
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-9.128888452135492 -54.21697010083331 -0.7462291611651164,54.233747719389626
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,11.23014214434379 -2.4005420323195095 -7.003740418063757,15.45477409843938
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-10.624852820837894 -3.8016116108989477 5.778825104270218,14.69355211041556
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,13.30615953339484 0.91420127615749 -7.792631349116897,17.549263646133102
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,7.066316087081085 9.975527034841381 117.20858692138007,119.34971552630407
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-24.917067048162664 15.685531227191328 9.666706309321853,32.64254213858424
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,9.371856068018618 7.04723623705802 23.313834684687933,27.650823106061402
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-23.36162268027494 -12.634822278997417 12.54188366777359,31.08608574035455
