,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,16.181775326443013 -8.62544358485311 -2.676882939133678,20.12348041815759
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-7.917874338575011 -30.23087690909011 -111.98756271602481,114.66464404867187
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-1.7076416887373598 1.3635021998396886 -3.3521765721549173,3.2518992068073715
3,-1.759033352229458 0.5444320590011676 1.033993487392955,19.62315311394816 0.3030463166480157 -11.2728365808333,24.672134716704157
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,9.807125151117349 -4.175011671236584 5.085440385444396,13.102185373289103
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-7.789121247264206 -0.36989550999746773 5.911871686191087,11.376357691527609
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,7.330184804688944 -0.5119849839016747 8.82266390865647,12.292297055598867
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,-2.019227489254916 6.143401126408965 12.881435671781821,15.810500904155498
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-8.384862956022097 -49.798161799193785 -0.6854097607790509,49.75235001819423
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,18.005513853449152 -3.8488375537157147 -11.22923855304215,23.569046888309447
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-8.813629955051534 -3.153549374874855 4.793706501431158,12.532380789839285
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,24.355186457078872 1.6733259874297062 -14.263393507547866,30.374408526232273
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-10.491139377701039 -14.81035424949068 -174.0159379374046,173.45454173503566
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-16.642876752538942 10.476849562898122 6.456690965997835,22.351935611270914
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,13.229375273749278 9.947926232131726 32.90996637970093,38.39234059413641
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-13.870809681541303 -7.501842555656264 7.446660867038336,19.153604236898932
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-39.18734049450765 -14.608753411173483 -49.323588147907905,63.52070705685175
17,-1.0566692317225062 0.628104284393565 -0.730429528267253,3.9437916199713157 -1.9723417584078682 2.4560620239064166,6.474616340982553
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,45.64843622928367 -21.88259655408005 29.245335270111177,60.918066522101775
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.196850484273359 -0.6069487093380083 -0.22988567426510245,0.3523375098868136
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.9598052855319402 -0.32290049908283974 0.4796915953563438,1.2410520381096999
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,0.8332270707665957 0.017900154004032418 -0.1923920821810735,2.9150005783441344
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-3.598471936184969 2.118916898902187 0.9505881618268052,5.407294129642333
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,5.560207696667578 1.4911511487440363 -7.011363598111799,7.446970413276922
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.8652960013601435 0.30442645254886197 -0.897940751334423,3.3075982538783903
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,0.06440305604957645 0.05501456353373909 -0.23767841209926563,1.3300298638830084
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.213423412649694 0.7174521525000679 1.7542389813026689,0.4762112254654739
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.0726077329172939 0.01420742727069279 -0.17755750659565891,1.5797049175195037
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,-2.357129557578714 -1.4934745653532184 0.7524897081487792,4.508646259912252
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-2.933271583374441 -2.675364071001093 0.9141335919986618,5.471642847679967
