,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.8846819070472207 -0.47156592684280085 -0.14634920184962882,2.6059005903136017
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.34366737258932334 -1.312140808777729 -4.8607075328028975,3.4520210960711144
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-0.155136434095914 0.12387192849658599 -0.30453971889647524,0.38681040671065225
3,-1.759033352229458 0.5444320590011676 1.033993487392955,-6.562722551057371 -0.10135011864465132 3.770061743585629,5.565836329110493
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,3.272176911147631 -1.3930052470917802 1.6967725358713273,5.23354876089222
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-0.528304925192478 -0.025088532266317305 0.4009785994816431,2.2547379955764377
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,-3.9806772265206676 0.2780348681569743 -4.791172151071701,5.424977427129477
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.1260735272300051 -0.3835725559981152 -0.8042719503225436,0.5015828211308493
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-11.458762665577236 -68.05422106859207 -0.9366817106767887,68.26701420459686
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,-7.317596641306397 1.5642008878635183 4.56365972051549,6.770816950550445
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-0.8519459999976053 -0.30482942776372474 0.4633708358400115,3.0336232763068454
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-18.123851720879927 -1.2452013919218574 10.614068975531218,18.945698141537395
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-0.22370505534664567 -0.31580469935685523 -3.710583152696236,2.2256491589628347
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,3.368578977688934 -2.120552577222212 -1.3068578093133032,2.5366373199923915
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,-2.296647164410053 -1.7269807606199061 -5.713238864479638,4.840899330297291
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-0.6972231947413847 -0.37708387276497723 0.3743101375532098,2.591018209675374
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-152.34958894009904 -56.794810493237925 -191.75652862785387,250.2622847907902
17,-1.0566692317225062 0.628104284393565 -0.730429528267253,-0.7625209992762191 0.3813467225092184 -0.4748726731071849,0.46121771780546994
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,109.04793899244332 -52.27456296728036 69.86314975457549,142.11512965273795
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.3389676980897351 -0.6790194154403939 -0.2571829114322752,0.19732109287484245
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.5224340846373385 -0.17575880150919357 0.26110216656009066,1.7515991965678006
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,5.584206934818604 0.11996509430697458 -1.2893930564825482,7.790769682337508
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-0.99274697220377 0.5845671087730335 0.26224840326719173,2.3077575168251476
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,4.768898659473165 1.2789358064050842 -6.0135312003100045,6.156005667983873
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,1.4644482194939814 -0.5152188103276547 1.5196969966760245,0.36380768089182286
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,0.6440332544996134 0.5501479366170969 -2.3767940631692595,0.9465349123492973
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.11164859148609106 0.3753220946606001 0.917698339469032,0.5542913292168511
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.15859790233699336 0.031033446055999656 -0.3878408946101536,1.8074265531181948
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,1.2480306323550339 0.7907507672673582 -0.3984211233880022,0.1005672627948492
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,0.48918710664996723 0.4461753956047635 -0.15245174347167936,0.7385911286972409
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,0.23471974278631347 -0.5833756946706615 -2.389282430332655,0.8775745217398943
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.6990884238193169 -0.4070931647591272 0.5958327682766015,0.7831039934244516
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,-12.480356986541176 -5.019431843946706 -7.891435459837576,17.991478752795018
14,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-1.278290141640429 -1.3247030938875946 -2.9965481412644586,1.62199791548203
15,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.7924720389785802 -0.46217399296659195 0.15351901697827466,0.8084638706480344
16,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-3.154615422703307 1.3340865167271252 -4.307094917232653,3.824276198254176
17,1.600752347255444 -0.022567221074882737 -1.5303730114754932,20.040317234847173 3.324867204960819 -18.286923318738342,25.139706614838317
18,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.4988143508600596 0.1880188166119574 -0.6081251514515734,1.3535262000019153
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,6.7716011445673026 -4.20909216854725 -1.624024336789205,9.777183129531188
