,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,5.598441652137816 -2.9841622232077545 -0.926126623439982,8.003567368275096
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-2.2378302637558725 -8.544158236693582 -31.65106520941346,31.25941863604727
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-1.1025412541371356 0.8803471099031054 -2.164337510807426,1.8340198710835027
3,-1.759033352229458 0.5444320590011676 1.033993487392955,9.237340193951443 0.1426550516701557 -5.306538956471839,12.699764076646032
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.693135361390677 -2.4236365105453705 2.952149589252376,8.148407539873874
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-3.487800992850506 -0.16563125493434125 2.6472090088396403,5.972606498477485
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.269463506289729 -0.29820546995462727 5.138757424256609,7.498072465413271
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.03360097754802058 -0.1022293349389385 -0.2143536739159213,1.1589926124762162
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-3.2244651233242636 -19.15027553453741 -0.2635797246072786,18.670673400749784
9,1.634958907181415 0.6915897345533922 -0.959767603724756,-3.8032079266770142 -1.3608018535901039 2.0685532133053477,6.554135848059443
10,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-5.466775319896374 -7.717453383769663 -90.6770943113031,89.66363659205211
11,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-8.656926496601926 5.449617751217727 3.358499851619097,12.41982877799846
12,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,6.489744966091739 4.880011553994741 16.14417039561261,19.625394108586924
13,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-6.43628522925913 -3.4809790878648066 3.455373871188105,9.806439224870855
14,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-22.200601519320237 -8.276221582858593 -27.943037525811246,35.48920821898614
15,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.493256252545899 -0.4776908415357275 0.2644315659610516,0.5488876360296738
