,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,7.732127117113279 -4.121490064850232 -1.2790932234234107,10.447009878989773
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-3.396892011193807 -12.969519327121946 -48.04441708424396,48.27880614921177
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-1.1969461917035564 0.9557267055738577 -2.3496586013459786,2.0552254764168905
3,-1.759033352229458 0.5444320590011676 1.033993487392955,11.347224324636894 0.17523863345466745 -6.518595901224751,15.13115661643041
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,6.3934995777522285 -2.721790019588008 3.315320285610764,8.991711522356294
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-4.335342471489016 -0.2058799270929768 3.290485228502468,7.037366895445883
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.785627255549461 -0.3342575062806863 5.760015878564282,8.306573828689615
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,-0.24125667525361214 0.734011664556737 1.539069945909907,3.1196926052093703
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-4.259096405559491 -25.295007567188346 -0.3481543185357403,24.9022815864572
9,1.634958907181415 0.6915897345533922 -0.959767603724756,-4.838377332360375 -1.7311892931389257 2.6315787017152408,7.789204617468224
10,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-6.566172767223245 -9.269474100461805 -108.91273784580895,107.99819674337665
11,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-10.196223878356392 6.4186201262875455 3.955678311000644,14.334246441863133
12,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,7.812195363127332 5.8744378759593 19.433955227071934,23.307844697057167
13,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-7.94296739201255 -4.295848055567049 4.264248865368968,11.700734903954544
14,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-25.320729298033473 -9.43938235762366 -31.87022154963312,40.63801531023837
15,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.7634296304614143 -0.5641189733697483 0.3122749078398366,0.2861868770231674
16,-1.0566692317225062 0.628104284393565 -0.730429528267253,2.5632064144252187 -1.2818930444977552 1.596279555446923,4.707989448818195
17,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,30.495306198029965 -14.618605530599535 19.53726189976171,41.511181518642545
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.4571243969971583 -0.7389392273499327 -0.27987792033621756,0.0888342040195403
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.862789283790417 -0.6266850146472492 0.9309850412616741,0.18812424617613566
2,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-2.317905490671195 1.3648707566268767 0.6123081015330537,3.8837023922741336
3,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.3762217707071601 0.1323614795954234 -0.39041537107086305,2.586556629924473
4,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.13683114578366642 0.4599767141418298 1.1246869629247311,0.3650952252560435
5,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.10440527593065252 0.02042937170550403 -0.2553163378726427,1.6639093258776398
6,1.2918975083772835 0.8688479430192452 -0.444140951402505,-1.0665732113381914 -0.6757795548824 0.3404926818463097,2.9264155859095546
7,1.125527796586514 0.7774539872013634 -0.32807029736367843,-1.3735150638150693 -1.2527489351948389 0.4280463718620707,3.307363230991003
8,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-1.4632943757051597 -0.03143584215795851 0.33787458624784783,0.5661394468644093
9,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-1.0872440813831137 -0.6331239638296122 0.9266576712337073,0.2258593723943302
10,2.0281460358843417 0.8277299971979065 0.9971722018834903,-7.362091879359181 -2.960934407338477 -4.655113069122113,11.596502699516995
11,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-1.1822474330385608 0.003245798430061372 -0.8311138080423199,0.2926585316556977
12,-1.448759575850457 -0.709292391613069 0.5558037372203533,-1.0555397093112902 -0.6155964856703048 0.204480928770514,0.5355637235367963
13,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.2718020899347641 0.10245075590563384 -0.33136513979888277,0.9857383811836297
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,3.964828797954834 -2.464458476927714 -0.9508797582159992,6.404532864094395
1,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,5.162084554786349 2.0503560048424596 -1.882153288826309,6.305544470027603
2,0.7537128819747969 -0.400880032317541 0.5561839104565589,2.601078975033644 -1.5226649471859683 2.2551767493548653,2.7491343262266397
3,1.7365289111057591 -0.2144562765037098 0.21309482441608973,2.3378398170427603 -0.45508121050557054 0.3914923871529042,0.6717892934935868
4,0.0872021833604344 -0.15004712404899445 0.13208074574839945,0.6614588220899172 -1.4125664980981238 1.3177691763583792,1.824714473953842
5,1.9008001216671224 0.38543904352841685 1.0371873162447982,5.287024019268309 1.4344419814847411 2.639297825634072,3.890202762430505
6,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,3.0349057882713555 0.7350293291527582 -0.6174587509720787,5.393836547530728
7,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,0.42620151961423774 -0.14562826149318234 -0.7179049010872428,0.14997996155981977
8,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,12.35571156240098 6.770135436564307 -3.3445222396544496,16.13358400025439
9,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,0.004514337234332363 1.0273976758571377 -4.26673159594127,5.210023904197936
10,0.5239309021164531 0.031137315196742454 1.1265973187056755,7.026382731598176 0.940484876646231 14.603253332525828,14.990965615899437
11,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,3.096507264063434 -1.6335566725144373 2.202731159529495,6.12934529437399
12,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-3.647514799438477 -3.4840820582600562 -12.582543552557244,12.463117098442343
13,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,1.419097088871026 -0.07775101925313135 -1.4161941193503083,0.1505620236710066
14,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,2.3104013707503723 0.4552415710655688 -1.2170260205378436,4.780783170002739
15,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,0.8852934641408592 -0.7492298962328985 -1.6323750596777384,0.14921558628396012
16,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,4.534844444428479 0.041387724797153504 -1.9102280079598084,6.072095940084003
17,1.3168113083214306 -0.3566092981463863 1.3389062724698078,1.7589594185448778 -0.26834684483462945 2.2812160155620202,1.0446209187859905
18,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-0.7851568857642018 -0.01473231714625127 -0.5464065281818974,0.8071890438480925
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,3.8719947710249336 1.0307707712950456 2.7643130734142463,6.844408810128824
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,928.2375242305222 -103.90009327744806 280.8570096627982,977.0380049895732
2,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,3.377560440217026 0.9108590833279507 -2.039699498223492,5.311952996181385
3,0.45357058902072955 -0.5857664362345507 0.696295740846494,-3.1590478152901116 4.615327853024684 -6.291586054788838,9.430423401454576
4,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,0.14810621134748841 0.09321342954451109 -0.3215138031860079,1.5259190081472345
5,1.4342114032216138 -0.419027360463262 0.07978750941271606,-248.6383583674108 59.48357521723355 -20.06369541837346,257.9348209368625
6,1.728382546845478 0.4439953450498987 0.247362103240496,22.044152591108045 4.336921567053168 5.651135842099459,21.3795733746513
7,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,0.3448266005941137 0.03590289403805456 -0.5852165190798215,1.8840204145992194
