,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,6.457254877428464 -3.4419392517001244 -1.0681964782182862,8.987054458909883
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-2.7039914423743987 -10.323987090753075 -38.24428101380995,38.10438816878972
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-1.1491782422464227 0.9175853878745975 -2.2558879923674158,1.9432972544634564
3,-1.759033352229458 0.5444320590011676 1.033993487392955,10.150635884511097 0.15675935455295184 -5.831196385880585,13.752139595366101
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,6.007334940308471 -2.5573950676012025 3.1150763596460553,8.526731216734714
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-3.8330196194180797 -0.18202525059587862 2.909226784550532,6.4063015500589255
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.502759917378846 -0.31450031960144303 5.419554686669202,7.863499843949731
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.01763224843785514 -0.05364525566864829 -0.11248295460008631,1.272798324094582
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-3.6768206977981768 -21.836840145857675 -0.30055694507151465,21.3952076722597
9,1.634958907181415 0.6915897345533922 -0.959767603724756,-4.197777272826707 -1.5019802240505038 2.2831582794982093,7.024893507587335
10,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-5.965629637069082 -8.421686631487184 -98.9515627719399,97.98298865937869
11,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-9.286748901879557 5.8460969590824226 3.602842743464327,13.20313598115672
12,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,7.084553484486215 5.327282202894768 17.6238418039492,21.281677760812528
13,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-7.062313207825412 -3.8195579768023236 3.791462258001198,10.593520726663003
14,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-23.670282729914756 -8.824107969831433 -29.792868359578666,37.9144607716655
15,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.7769886613634818 -0.5684564907054196 0.3146759932317344,0.27432603882854495
16,-1.0566692317225062 0.628104284393565 -0.730429528267253,2.41931996912177 -1.2099335517335497 1.5066718712388871,4.523881815774281
17,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,28.35123946537336 -13.59079929732377 18.163634331818663,38.76524189473744
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.5446450233271385 -0.7833228257103297 -0.29668848979359375,0.09050479513550169
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-2.0356010622751834 -0.6848228581882945 1.0173529316737198,0.028085528229294537
2,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-2.0995333030740673 1.2362849216515035 0.5546219447189126,3.6239299813256554
3,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.23669463803721744 0.08327336412250064 -0.24562434216948195,2.3813509415002665
4,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.13337518076063845 0.4483590124381928 1.0962805735499854,0.3888052852703423
5,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-0.1583562505496141 -0.030986161144929174 0.3872499508207324,0.968260831404093
6,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.9465713237549885 -0.5997464975039217 0.3021832961468894,2.7793006720474382
7,1.125527796586514 0.7774539872013634 -0.32807029736367843,-1.2582983904981755 -1.1476626724977856 0.3921399007278349,3.147602924944148
8,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-1.7244030028928963 -0.037045219004226665 0.39816455307990506,0.30752956022235733
9,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-1.1326839782762008 -0.6595845241854453 0.9653860761586457,0.1609007495710209
10,2.0281460358843417 0.8277299971979065 0.9971722018834903,-6.751327842233016 -2.7152933202770604 -4.268921793875047,10.833463055592171
11,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-1.211931550367167 0.0033272946200554724 -0.8519815884256067,0.25893078296217054
12,-1.448759575850457 -0.709292391613069 0.5558037372203533,-1.1283303287164297 -0.6580483698583526 0.21858205005514617,0.4679949983483009
13,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.1921938667813214 0.07244391291067336 -0.23431147107723094,0.8568143049287291
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,3.2278021734868707 -2.0063374318706293 -0.7741196169371739,5.518915256799036
1,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,4.7943417391865815 1.9042902668251434 -1.7480701790908089,5.8877547530503795
2,0.7537128819747969 -0.400880032317541 0.5561839104565589,2.3266810677883796 -1.3620331174899303 2.017269409196865,2.352193657279792
3,1.7365289111057591 -0.2144562765037098 0.21309482441608973,2.2348448977025455 -0.43503233794057256 0.37424495790510987,0.5682798491064558
4,0.0872021833604344 -0.15004712404899445 0.13208074574839945,0.5655768077825016 -1.2078073858787255 1.1267514458483314,1.5287474789625473
5,1.9008001216671224 0.38543904352841685 1.0371873162447982,4.829858915658255 1.3104068315217117 2.4110796712401417,3.3648968826097247
6,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,2.3261173192729894 0.5633665662121585 -0.47325406281916527,4.650463056422913
7,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,0.42518471797266777 -0.1452808318184142 -0.7161921740125543,0.15145154985074977
8,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,11.11856194801232 6.0922569993408215 -3.009642748642864,14.683812442773073
9,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,0.004040407497178767 0.9195381418444558 -3.8187963002813206,4.749306828581987
10,0.5239309021164531 0.031137315196742454 1.1265973187056755,6.442986791592458 0.8623970354865463 13.390754806540643,13.643158513765622
11,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,2.8590101824089857 -1.5082655269253848 2.033785254532303,5.812108815420206
12,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-3.352404287646789 -3.202194445495429 -11.564524141639978,11.366352273686145
13,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,1.4807148921277875 -0.08112700180212208 -1.4776858744274275,0.11974787627914464
14,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,1.9369884021006458 0.3816642659892872 -1.020327167686401,4.352368817498364
15,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,0.9519966287502702 -0.8056812393445464 -1.755367701914908,0.2795199710381022
16,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,4.032282952420352 0.036801045589130395 -1.6985323148615676,5.526852759515116
