,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,9.534249945155505 -5.082083601262346 -1.5772108128282296,12.510774091145501
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-3.9025034022703564 -14.899971248163654 -55.195602484126425,55.70313820627362
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-1.2255450352763204 0.9785620500032667 -2.405799403042047,2.1222376531501466
3,-1.759033352229458 0.5444320590011676 1.033993487392955,12.804891210759706 0.19774982613477304 -7.355976137781877,16.811296129637974
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,6.8629244636375315 -2.9216298653267714 3.55873843678443,9.556950982237918
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-5.082451451945314 -0.24135918702189813 3.8575341019052294,7.975958405455399
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.131899618824258 -0.35844328809391385 6.176791821249316,8.84896387996614
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,-0.9377126539374439 2.852945002533081 5.982032878706553,8.090633728982631
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-5.0741429279061965 -30.135613645853095 -0.414779240712224,29.81138250549389
9,1.634958907181415 0.6915897345533922 -0.959767603724756,-5.643248450462758 -2.019175154162263 3.0693456526013696,8.74953154489212
10,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-6.991754994881305 -9.870269050083804 -115.97184628476631,115.0955963958825
11,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-11.208393732401227 7.055790697854179 4.348354892690144,15.59307884080707
12,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,8.78396955019545 6.605170637499876 21.851382744494636,26.013814203770565
13,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-9.079229184820415 -4.910380102892 4.874260567748042,13.129316041533825
14,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-27.18757904400907 -10.13533026453742 -34.21995304053213,43.718681804675796
15,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.647976477409009 -0.5271856514797323 0.2918300190240437,0.3942045017303556
16,-1.0566692317225062 0.628104284393565 -0.730429528267253,2.7688783162149746 -1.384752251961168 1.7243651634218455,4.971159065632624
17,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,32.97065449955603 -15.80521897648081 21.123129827960085,44.68140071999319
