,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.262453907047869 -7.497783119048086 -0.10319765927751887,6.854398387821937
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.290711333148574 -1.2210280376942952 -0.37894272800619067,4.215780245579016
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,1.7402258590600765 0.11956242499289282 -1.0191474519617152,4.1354525613691555
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-0.9362828793217314 0.7475946353660182 -1.8379649276967138,1.4444610792114552
4,-1.759033352229458 0.5444320590011676 1.033993487392955,5.293066212025183 0.08174242997615602 -3.040687196048948,8.15777007698687
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-2.5260874946484666 -9.644740096500856 -35.728071656164126,35.49209389777504
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,3.6302434330584314 -1.545438491801252 1.882446311125775,5.6646332582747725
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.052272299908264 -0.09745981413434456 1.5576558788892076,4.169181656948704
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.711751878284748 -0.18940535317211146 3.2638843444260894,5.058140721485067
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.37461394865690145 -1.1397446629436112 -2.3898077393729724,1.279067555039374
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,6.041351185047057 -1.2913921538395776 -3.767722165096769,9.24182796481647
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-1.2492418129637215 -0.4469833381286132 0.6794588190342082,3.507424368535039
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-2.6417014573010515 -3.7292931678311043 -43.817753276630896,42.55011837567198
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-6.151881808217809 3.872668240699144 2.3866546802941873,9.304321959205609
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.735682048660488 3.5610310165125187 11.780687582097805,14.74108998255454
