,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,3.637214376619863 -0.8575988834340288 1.1559867484065551,3.9307325727628286
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,3.8747025828417097 -2.478213518827498 1.0832275536576637,6.238335354001694
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.655984199396325 -0.3436851528157497 0.43631063723511143,4.5716689198828195
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,9.89559612058593 -3.659377854391628 3.7649406350730197,11.775767323328001
4,-1.759033352229458 0.5444320590011676 1.033993487392955,6.771742266302574 -1.9921418274926093 0.17368813640617853,8.941390553617442
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,5.6333789913347925 -1.4731153630866987 1.7586409449361307,6.522589581374938
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,5.919980522015367 -0.812238911494746 1.959306927897634,7.564061890926149
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,7.2096074852958525 -2.617703303662182 -0.32898178949045653,6.522139635630073
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,6.701747136364027 -0.457573380773044 2.4119190372279586,7.859082949515094
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,3.994699115369856 0.8697565626395223 0.21133012529663237,4.261832544017258
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,6.582893388448861 -1.947352393349976 -0.6696662908939335,8.648355042067543
11,1.634958907181415 0.6915897345533922 -0.959767603724756,6.744245358846522 -1.7623603629831677 -0.05764996790048671,5.739381095138524
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,5.959841908957133 -0.9048527886881595 1.1468787283426982,6.624564393460168
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,9.73609051571092 -3.7687619817906595 1.0928828994050668,9.028551961716495
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,7.480881305609241 -1.559367409403228 2.886241807700713,9.178684005771867
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,3.506332324020688 2.0139581052723856 0.424921427860295,2.727917695259385
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,7.450496541980642 0.40913610753519897 3.673509490751038,9.419315974713438
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-0.023234511938581514 -0.11077525703385709 0.8714215771099438,2.143561739982234
