,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.9208210263771945 -11.407861614497318 -0.1570150266132858,10.81911142765124
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.7984623339223504 -1.4916768091656272 -0.4629378375587432,4.797197664255192
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.1528015146265167 0.14790848456656172 -1.2607686334439148,4.612632549514977
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.1940951106209587 -0.9534502002895925 2.344061802396037,3.5479125855792146
4,-1.759033352229458 0.5444320590011676 1.033993487392955,5.645408825318852 0.08718376402358222 -3.2430960891080387,8.563196553234645
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-3.0684133835075738 -11.715369976396522 -43.39853368853625,43.455481350612374
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.375574034947491 -1.8627347344684608 2.2689341232979645,6.561997085667385
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-3.541615078460883 -0.16818681775201982 2.688053406935253,6.040212577915715
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.0524764636101542 -0.21320364420853163 3.673982941097139,5.591834063802862
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.3212483035180727 -0.9773822910949619 -2.049367581640861,0.898913846341387
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,6.955393864021224 -1.4867768463936748 -4.337769950092167,10.336108249459393
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-1.8657711521473717 -0.667579814505552 1.0147872497307786,4.24279621012865
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-0.583821884221205 -0.8241820657058082 -9.683820709414567,8.231088659791721
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-9.192055118328858 5.786486319674725 3.5661057955268447,13.085365736056033
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,5.051851112473279 3.798776674082062 12.567203426200216,15.621483628788248
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-6.682236135955456 -3.613998357887097 3.5874146845333725,10.115664020177375
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-20.41711977617139 -7.611352656562282 -25.698238112063947,32.54613218342972
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.6287418986808593 -0.8409313054073336 0.46550773558823016,0.7022815617971182
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,27.604231811607026 -13.23270450897059 17.685053002679478,37.80853804261491
19,-1.0566692317225062 0.628104284393565 -0.730429528267253,3.20727844985734 -1.6040018913426506 1.99738616028738,5.5321357757862994
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.7032596500660804 -0.3566381453204278 -0.13507896012343998,0.9089139404572983
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.4511736064978402 -0.4882080655914492 0.7252677109963708,0.6675936279160175
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-0.26941147218383404 -0.005787746235977263 0.06220709325877825,1.7844030735176597
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-2.027240276142563 1.1937160426510582 0.5355247009992433,3.5379353919113314
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,3.0137074414346077 0.8082240014104167 -3.8002534802606927,3.292844063879273
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.4037141635665562 -0.14203379013090475 0.418944960785068,1.4460007013458098
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.784960993973637 -0.6705316350396018 2.8968855525100854,4.6560059215866385
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.16678056933039836 0.5606558201638461 1.3708569852336523,0.2414296633117082
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.09439802958530083 0.018471216300852546 -0.2308442653043784,1.6374083315245498
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,-1.0495706362530506 -0.6650067429453039 0.33506478216957847,2.9055713457434895
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-1.5243711778817743 -1.390341045571679 0.4750596256665865,3.5165775339483365
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8607438880589008 2.1393047626463533 8.761769352429894,10.678605616966767
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.41230959555647767 -0.24009612002819203 0.3514112941039288,1.1951744531226982
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,-5.45933641449653 -2.195671732410609 -3.451984667986669,9.219454881720186
14,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,0.12975077174106703 0.134461843333251 0.30415976875904793,2.274334718693631
15,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.5220261036225954 -0.3044484560679472 0.10112777526943881,1.1088118736157007
16,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.7419030060806681 0.3137507000087437 -1.0129433348903667,0.3845449149827606
17,1.600752347255444 -0.022567221074882737 -1.5303730114754932,5.740768972609482 0.952444727526363 -5.238490027999923,5.642740271035082
18,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.1690896205445265 0.06373519587263422 -0.20614413142932447,0.8194055940347839
19,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-28.68597625571132 0.07875584593680293 -20.166092390676553,33.34562314890516
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,1.1632074485530786 -0.7230265424047569 -0.2789705366359681,3.038095577860182
1,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,3.628433775954385 1.441197040021981 -1.322967202923638,4.563175912942557
2,0.7537128819747969 -0.400880032317541 0.5561839104565589,1.667868373458845 -0.9763658593845701 1.4460683481400463,1.3995565412646682
3,1.7365289111057591 -0.2144562765037098 0.21309482441608973,14.157909982769226 -2.7559624770774764 2.370869867064497,12.861024633741696
4,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,0.7106248083410416 0.14002153837117756 -0.37432841476798473,2.945375415468277
5,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-0.005455374376809948 0.01165012669256872 -0.010868286821758222,0.23487411482740006
6,1.9008001216671224 0.38543904352841685 1.0371873162447982,-4.940137108902158 -1.3403268147589418 -2.4661308672594418,7.877177685255719
7,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-0.3295192190006013 -0.07980685641741478 0.06704146341929679,1.8654367888555345
8,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,-5.336167509348277 1.8233083686002753 8.988379045318775,11.56748613206687
9,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,0.0034563324026351335 0.7866111221046658 -3.266756979572425,4.18152161584173
10,0.5239309021164531 0.031137315196742454 1.1265973187056755,5.466115317865032 0.7316422954499484 11.36047804122776,11.386316729717157
11,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,1.9273544205966318 -1.0167722551809029 1.3710426863762546,4.567664281324324
12,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-2.868675091290587 -2.7401395103542048 -9.895841760493113,9.568599477847513
13,-1.8268667372463392 -0.07476423848819935 0.59091091963939,7.117715628162464 0.38731869025738996 -2.387075886544014,9.438616410386782
14,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,0.9362812273851413 -0.051297983984085006 -0.9343659279407024,0.7831807782959115
15,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,0.5164173575813482 -0.43704753158776155 -0.9522117230567799,0.7316776879336288
16,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,2.321214497985733 0.021184803142658606 -0.9777731079579582,3.6706991307424506
17,1.3168113083214306 -0.3566092981463863 1.3389062724698078,1.810459058724989 -0.2762036298216783 2.3480065297353025,1.126248863347051
18,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-1.2124325284020607 -0.02274951777244523 -0.8437562740778483,0.32795046074818457
19,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,8.026035935679444 4.397751600857463 -2.1725382263560613,11.059935761657313
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,3.6661570217312787 0.9759743296291663 2.617360400432201,6.585689773824019
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,975.7186590749222 -109.2147829021126 295.22338594008653,1026.928854370247
2,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,1.6518150848791857 0.44546079949457845 -0.9975266051995746,3.2436824340428037
3,0.45357058902072955 -0.5857664362345507 0.696295740846494,-3.1908712509264827 4.661821479414445 -6.354965875409526,9.515220735122684
4,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,0.1146061501003647 0.07212953596310574 -0.24879077556594045,1.4436906361643655
5,1.4342114032216138 -0.419027360463262 0.07978750941271606,-267.0827456224338 63.89616104600063 -21.552052124447233,276.95800431838336
6,1.728382546845478 0.4439953450498987 0.247362103240496,21.31365955093068 4.1932058579809395 5.463870063354318,20.611928830047717
7,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,0.20432228373980021 0.0212737685842227 -0.3467620405578613,1.6082521968816779
8,0.5190586580408638 0.48286723729437975 -0.38627130262387155,-0.33767521162196945 -0.35258270344047965 0.1926781676719081,1.3293427007574445
9,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,2.873015535225144 -0.8676192065933451 -1.1489739104011827,1.1876448778967015
10,-1.9356160527772448 -0.8410459669549014 0.612978652561118,-1.6201232118418325 -0.6060797225449175 0.3202822748596907,0.49032238192149286
11,-1.4814106721574376 -0.16310506589811236 0.1635035819828512,11.333101054087875 1.9307866700067176 -2.2937336471788883,13.214919908351607
12,1.6457580204271904 -0.10698233056601003 1.055894025410392,23.03119691829443 -2.2932496493227155 11.50523983767522,23.901999697677457
13,2.029294752646892 -0.5068285909554975 -1.4955514957188436,6.347708960257709 -2.7186319278719555 -6.35074850063173,6.863942979527495
14,1.6235392403865951 -0.5099916687245605 -1.4773906474166134,1.0284867584372759 -0.4823748991865376 -0.8169535951043446,0.8893971229437836
15,-1.2110973598736323 0.6387415479613107 1.4216168147294281,-1.4861341025736372 0.8253722341713503 1.6509337976884124,0.4038099819762633
16,-0.8650357536253384 0.3398042700488556 0.5993472556537052,-0.7313297638257225 0.20706225707088605 0.3814497241728138,0.28805740390277157
17,0.9286931458989471 0.29343198923814595 -0.11051744835857491,3.472811573034824 1.6136728022975044 -0.3839816425712962,2.8792980118904636
18,-0.05680893578125312 -0.2933536280066664 -1.2519175014713881,0.10017280921070607 -0.20256421564586927 -1.2864302918976778,0.18459988721705212
19,-1.6533546004599535 -0.05764025577762777 1.5459131065105103,-2.8237779551134663 -0.04166351418518303 2.4457936519511905,1.4764589670738941
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.22332197374882273 -1.1614831481438335 1.456940316155236,0.9909989841997472
1,0.4709928888337087 -0.4835882504702588 1.0908725070025382,7.623804202227596 -6.795266956062732 15.436592638054014,17.22787519823906
2,1.933393761196776 0.22538399326206593 0.009510405009429235,23.282786305622228 3.87310501512135 4.024105976555836,22.027696390507185
3,0.8281278138379884 -0.7128107622896663 0.34572582375485794,-18.292583415585273 15.925526580234402 -6.7079702041016445,26.309513395272486
4,0.7573828076600333 -0.4829897035929976 1.3574927623388051,1.8947131844399285 -1.2304821311649687 2.9777034306903056,2.1159744622900707
5,0.2572835006161318 0.2613544055268545 -0.7416055739986945,-2.974487201263337 -3.0049984289261698 8.549669467208679,10.36538444053229
6,1.4923161734346615 0.6597033465429162 1.3150421514544268,-31.827567088869955 -14.930026609049122 -28.825425875562367,47.557356040779986
7,-0.09186964851175228 -0.7418495760640871 -1.420202144873266,0.1937280301887362 1.3454190941618203 2.6546021564298035,4.587187224182564
8,-1.4231014081524735 0.008198818233434602 1.551011750493445,-3.494988232717127 0.23255580253315522 4.201295201093203,3.371506108363387
9,1.7482746021632543 0.681677527665291 -1.3140353666280113,153.88194116887777 60.353964345818916 -116.68812039095323,200.0415302189535
10,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,-0.9936958743368461 -1.520768644094568 5.006273759207099,3.775367590100081
11,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-1.3781946523296118 0.18398643200683706 0.8711386726915352,0.7611224298804184
12,0.6475404019334752 0.59449251027997 -1.331433030984044,-1.8485222046336538 -1.5934923761991202 4.154688385207284,6.412108435807738
13,1.6166046332162294 -0.6775229796402341 1.3343980747415785,7.6575890755855855 -3.8090217240773265 7.574684258626561,9.232602508293395
14,1.7327907890207053 0.40991595622963495 -1.444314435548648,-0.8287936956027571 -0.20486684427808316 0.7907443787327093,3.454730216234047
15,0.8406396603165116 -0.7446820101459279 -1.4074916468700804,0.9317828743490916 -0.8687862395783278 -1.4492186292721887,0.1595308317773849
16,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-2.555596227940938 -1.9252022647305511 3.592839161928824,3.866300422145011
17,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,4.202829146641947 0.846717872928207 1.4455601595893595,6.602331170287265
18,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-3.572763245862284 1.1806540179597373 4.187738216940537,3.8488107217371317
