,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.6640179327783418 -9.882693931657077 -0.13602299038394067,9.272554602363217
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.76527387910056 -1.4739862196623845 -0.45744761125808,4.759193649629012
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.305219700118389 0.15838039416125516 -1.3500309579680254,4.7890074823675075
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-1.1007962362429524 0.8789537638907827 -2.160911963081896,1.829931052639585
4,-1.759033352229458 0.5444320590011676 1.033993487392955,6.414571623614066 0.09906217885184765 -3.6849540555056643,9.448525733886063
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-2.99450704461367 -11.433191535774135 -42.35322905144822,42.37025494724918
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.324053580894832 -1.8408018546833225 2.2422184248971977,6.499965929101107
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.449371080620326 -0.11631753265585965 1.859050216425961,4.668044849167419
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.2642395899056824 -0.2279944774134504 3.928862584835003,5.923529866703486
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.4396001561456791 -1.337462028823431 -2.8043799734448482,1.742460017160914
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,7.455420911040771 -1.5936620423456769 -4.649614590553795,10.934778949317202
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-1.514489638224032 -0.5418899904163171 0.8237263037057257,3.8237872443311334
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-3.114369892266765 -4.396559773713199 -51.657877984037825,50.432768969113106
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.316749235083992 4.605963389936816 2.838571082936816,10.753058175922078
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,5.622706936538642 4.228035917959843 13.987289075665908,17.211069396179337
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.8823930299757 -2.6405772010881847 2.621153771737193,7.852791478266394
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-14.547406775842525 -5.423166657357208 -18.310257633643396,22.860104080599665
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.9569150743210373 -0.6260147292687354 0.3465380551216503,0.16279489310152823
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,23.7034805584206 -11.362792350259168 15.185979920926002,32.81279270959797
19,-1.0566692317225062 0.628104284393565 -0.730429528267253,2.458612237002138 -1.2295841286886167 1.5311417865572914,4.574157283751391
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.5532366730397694 -0.28055825608309515 -0.10626321940885093,1.0790910466237076
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.2903155422807857 -0.4340917255377478 0.6448740492679425,0.8552966860824855
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-0.3146041782490324 -0.006758617714842869 0.07264208646090899,1.738100562945343
