,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.4849783292988614 -14.75842283397587 -0.20313133454406448,14.216831009449496
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.6825319752743795 -1.4298819351102563 -0.4437599665939127,4.664446357577726
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,2.0061008608595654 0.1378293986702672 -1.1748547293898404,4.442916461194513
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-0.8503555291067031 0.6789841465162075 -1.669285718119002,1.243134181391483
4,-1.759033352229458 0.5444320590011676 1.033993487392955,4.794419737098731 0.07404168093452695 -2.7542316916346783,7.584171972524213
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.6224024338885277 -6.194421151260562 -22.94667565391314,22.222799530847297
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,4.066920309097904 -1.7313371140714302 2.108883129926626,6.190377898517593
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-1.9981855191333824 -0.09489130136843102 1.5166045076613484,4.101234392489476
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,2.2947389397517948 -0.16027861649215608 2.7619645292689055,4.404956923558383
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.31570641556148205 -0.9605213673525292 -2.014013727955269,0.8594753260213344
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,5.96571921734781 -1.2752251530024132 -3.720553869071262,9.151287984262813
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-0.8512215829650709 -0.3045702286718919 0.46297682762134046,3.03275943965959
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-2.869572980774471 -4.050979675321965 -47.597445401466814,46.35031196174393
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-5.225957172887259 3.2897898564402697 2.027437381684944,8.15275956307077
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.256160905686789 3.200451559180522 10.58781003746166,13.405831690587517
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.014030509011745 -2.1709349045628903 2.1549660471755727,6.761035896113706
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-30.76644205058866 -11.469504171103496 -38.72452933345654,49.62451583400585
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.5489322830685026 -0.4955015353321654 0.27429089178840815,0.49247433452796174
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,33.90646500830011 -16.25382062651452 21.722670454939053,45.87990909893923
19,-1.0566692317225062 0.628104284393565 -0.730429528267253,1.610684545575007 -0.8055244026516021 1.0030806711102325,3.4892871760472697
